0	-141	-197	276	62	0	215.0271301
20	1243	1369	1776	1861	1562.25	302.3280503
30	1944	1810	2540	3076	2342.5	582.9199488
40	3429	3420	4224	4232	3826.25	463.9269878
50	4287	4640	5704	5046	4919.25	608.1717822
60	6244	6143	7625	7127	6784.75	713.5378406
70	6099	8289	8929	8875	8048	1331.261557
80	7615	10116	10817	10028	9644	1397.975918
90	8198	10261	10674	10895	10007	1234.29197
100	8459	10423	12374	11724	10745	1726.418451
120	11470	13466	14166	13922	13256	1225.50017
140		17175	18359	17575	17703	602.2889672
160	17305	19760	18072	19095	18558	1086.182612
180	17263	18519	20764	19578	19031	1493.370461
200	18435	20367	19394	19386	19395.5	788.7680267
300	19844	21168	21490	21723	21056.25	839.5897312
400	20464	21715	22158	20694	21257.75	809.8108318
500	20334	21022	21653	21679	21172	635.9124678
600	20744	22000	22103	21808	21663.75	625.2340229
700	20904	22421	22181	22421	21981.75	727.3529061
800	22279	22344	21694	23282	22399.75	656.794425
900	20749	22379	21936	21021	21521.25	764.7162328
