0	-140	150	26	-36	0	121.2050604
10	78	266	19	79	110.5	107.3949099
15	169	752	548	245	428.5	270.7674279
20	680	643	544	569	609	63.30350175
25	848	1068	852	566	833.5	205.8308367
30	1345	1589	1334	1483	1437.75	121.5054868
35	1621	1770	1328	1385	1526	206.2732815
40	1834	1875	2040	1650	1849.75	160.1881706
45	2463	2350	2547	1536	2224	465.7145048
50	2424	2909	3241	2124	2674.5	497.2299937
60	2585	3457	2964	2159	2791.25	552.3720817
70	4416	4874	4551	4367	4552	228.3316302
80	4520	6171	5950	5065	5426.5	770.4451094
90	4904	6525	6722	6085	6059	814.7445407
100	6916	6780	5426	6867	6497.25	716.3776355
150	6289	6688	6664	6397	6509.5	197.491772
200	7242	7488	7363	6814	7226.75	292.9224869
250	7396	7517	7558	6986	7364.25	261.3763251
300	7406	8442	7764	6870	7620.5	659.4732747
350	7628	8052	7927	7265	7718	350.4977413
400	7577	7535	7243	6570	7231.25	465.1869696
450	7658	7596	7275	6787	7329	398.4177038
