Wavelength [nm],H2O,prot_10uM,nir_1,nir_1,nir_2,nir_2-2,nir_3,nir_3-2,nir_4,nir_4-2,nir_5,nir_5-2,nir_6,nir_6-2,nir_7,nir_7-2,nir_8,nir_8-2,nir_9,nir_9-2,nir_10,nir_10-2,nir_12,nir_12-2,nir_14,nir_14-2,nir_16,nir_16-2,nir_18,nir_18-2,nir_20,nir_20-2,nir_22,nir_22-2,nir_24,nir_24-2
250,-0.000136375,0.041924,0.07973051,0.07973051,0.1184554,0.1184807,0.1543932,0.153717,0.194355,0.1917109,0.2281055,0.2276349,0.263649,0.2626977,0.2948465,0.2947135,0.3308768,0.3320856,0.365293,0.3644075,0.3981886,0.3985019,0.4577851,0.4581418,0.5230002,0.520062,0.5801735,0.5804396,0.6434588,0.6435552,0.7018971,0.7018991,0.7649426,0.765213,0.8226504,0.8218217
251,4.15E-05,0.04298544,0.07950068,0.07950068,0.1171293,0.1170654,0.1515274,0.1511245,0.1902671,0.1874814,0.2224007,0.2220273,0.2560616,0.2552075,0.2855554,0.2852302,0.3198462,0.3211198,0.3520908,0.3517003,0.3833799,0.3836408,0.4392295,0.4392152,0.5006919,0.4981775,0.5544286,0.5544729,0.614161,0.614181,0.6686192,0.668891,0.7280784,0.7281737,0.7824569,0.7815876
252,-2.38E-06,0.04468298,0.07933569,0.07933569,0.1151948,0.1148601,0.1478634,0.147254,0.1846633,0.1819024,0.214889,0.2143612,0.2465158,0.2454872,0.273735,0.2736344,0.306107,0.3073082,0.3364072,0.3360767,0.3657413,0.3659096,0.4179521,0.4177279,0.4750934,0.4726696,0.5249982,0.5252953,0.5810418,0.5808377,0.6317897,0.6317058,0.6875343,0.6873112,0.7380781,0.7373571
253,-4.72E-05,0.04649973,0.07886648,0.07886648,0.1122684,0.1122832,0.1427994,0.1420622,0.177351,0.1746631,0.2053399,0.2048893,0.23488,0.2337747,0.2600675,0.2599916,0.2903452,0.2914586,0.3186016,0.3178964,0.3456898,0.3457785,0.3938293,0.3939209,0.4474854,0.4446359,0.4933057,0.4935241,0.5452781,0.5450168,0.5918603,0.5918441,0.6440496,0.6436949,0.6903005,0.6894498
254,0.000112534,0.04797459,0.07787228,0.07787228,0.1091232,0.1089063,0.1370606,0.1364117,0.1692967,0.1667576,0.1951127,0.1946378,0.2225251,0.2213626,0.245708,0.2455592,0.2738695,0.2750063,0.3001256,0.2993641,0.325079,0.3251715,0.3693633,0.3693881,0.4191122,0.4163108,0.4610038,0.4611259,0.5092869,0.5088239,0.552083,0.5520239,0.5997839,0.5997868,0.6428752,0.6416798
255,0.00010252,0.04972553,0.07740784,0.07740784,0.1064572,0.1062551,0.1321883,0.1315022,0.1622543,0.1596808,0.1860237,0.1856022,0.21137,0.2101498,0.2327085,0.2324238,0.2588768,0.2599473,0.283154,0.2824135,0.306181,0.3063579,0.3467669,0.3467984,0.3928318,0.3901081,0.4310532,0.4312716,0.4754982,0.4752812,0.5147896,0.5149117,0.5589905,0.558795,0.5978618,0.5970664
256,2.43E-05,0.05237484,0.07813787,0.07813787,0.1051393,0.1050348,0.1286755,0.1282148,0.1570477,0.1543121,0.1787314,0.1783342,0.202189,0.2011008,0.2216177,0.2214794,0.2459402,0.246994,0.2682133,0.267714,0.2894149,0.2896776,0.3266368,0.3268099,0.3691196,0.366467,0.4039865,0.4040995,0.4448266,0.4446945,0.4806547,0.4805427,0.5214744,0.521203,0.5566535,0.5557775
257,-1.10E-05,0.05629015,0.08021212,0.08021212,0.1052642,0.1051645,0.1271996,0.1265192,0.1535735,0.1508603,0.1736264,0.1730437,0.1951456,0.1942921,0.2127414,0.2128515,0.2352891,0.2364616,0.2558985,0.2553592,0.2753778,0.275424,0.3090968,0.3092103,0.3483438,0.345685,0.3798871,0.3799076,0.4174209,0.4172454,0.4497705,0.4494491,0.486938,0.4867072,0.5188818,0.5177708
258,-4.58E-05,0.06080294,0.08306694,0.08306694,0.1062498,0.106154,0.1264777,0.1257739,0.1509838,0.1484041,0.169498,0.1688671,0.1890998,0.1883092,0.20509,0.2051167,0.2261076,0.2270412,0.244895,0.2442036,0.2627521,0.2627459,0.2932568,0.2933455,0.3292122,0.3265991,0.3575835,0.357615,0.3919125,0.3916783,0.4208426,0.4208293,0.4550114,0.4547777,0.4834857,0.4829292
259,-1.19E-05,0.06445408,0.08478212,0.08478212,0.1063995,0.1063118,0.1247706,0.1241279,0.1474829,0.1447744,0.1643367,0.1636815,0.1823258,0.1813211,0.196578,0.1965246,0.215838,0.2168627,0.2329049,0.2323117,0.249146,0.2492347,0.276597,0.2766919,0.3093371,0.30688,0.3345675,0.334806,0.3657289,0.3656278,0.3916497,0.3916407,0.4227796,0.4225044,0.4483638,0.4475765
