Wavelength [nm],H2O,prot_2uM,nir_1,nir_1,nir_2,nir_2,nir_3,nir_3,nir_4,nir_4,nir_5,nir_5,nir_6,nir_6-2,nir_7,nir_7-2,nir_8,nir_8-2,nir_9,nir_9-2,nir_10,nir_10-2,nir_12,nir_12-2,nir_14,nir_14-2,nir_16,nir_16-2,nir_18,nir_18,nir_20,nir_20,nir_22,nir_22-2,nir_24,nir_24-2
250,0.000196457,0.009290218,0.01930571,0.01930571,0.02724075,0.02724075,0.0365591,0.0365591,0.04435968,0.04435968,0.05039454,0.05039454,0.06074619,0.05705214,0.06539202,0.06459618,0.0709796,0.07162094,0.08421946,0.08080864,0.09311438,0.08803558,0.1005263,0.1014805,0.1158953,0.1147437,0.1270595,0.127111,0.1413255,0.1413255,0.152627,0.152627,0.1673203,0.1658335,0.1836882,0.1781292
251,1.19E-05,0.009394646,0.01898384,0.01898384,0.02654219,0.02654219,0.03544617,0.03544617,0.04277849,0.04277849,0.04844856,0.04844856,0.05833626,0.05459309,0.06253338,0.06172752,0.06752825,0.06827784,0.08039856,0.0770278,0.08889389,0.08366489,0.09519863,0.09620714,0.109827,0.1085358,0.1198654,0.1200824,0.1333036,0.1333036,0.1439023,0.1439023,0.1575694,0.1559877,0.1727815,0.1674213
252,0.000121117,0.009789467,0.01899195,0.01899195,0.02606916,0.02606916,0.03444481,0.03444481,0.04120016,0.04120016,0.04643202,0.04643202,0.05574083,0.0521512,0.05958271,0.0588026,0.06419897,0.06481981,0.0763402,0.07303762,0.08447838,0.07930803,0.08983564,0.09095192,0.1034884,0.1023154,0.1126165,0.1129074,0.1252303,0.1252303,0.1349578,0.1349578,0.1474867,0.1460304,0.1619692,0.1565809
253,0.000130653,0.01007462,0.0187397,0.0187397,0.02527952,0.02527952,0.03319883,0.03319883,0.03938389,0.03938389,0.04403543,0.04403543,0.05288887,0.04933929,0.05622053,0.05530691,0.0602994,0.06090975,0.07211161,0.06865978,0.07955313,0.07447052,0.08396912,0.08522272,0.09678841,0.09551954,0.1050477,0.1052542,0.1165581,0.1165581,0.1254349,0.1254349,0.1370263,0.1355567,0.1506,0.1450577
254,0.000127316,0.01036024,0.01841068,0.01841068,0.02440882,0.02440882,0.03179359,0.03179359,0.03751373,0.03751373,0.04162073,0.04162073,0.04996681,0.04640102,0.05273438,0.05193233,0.05636787,0.05700445,0.06767035,0.0642662,0.07468414,0.06961346,0.07833576,0.07952547,0.09022999,0.0888052,0.09753418,0.09772539,0.1081295,0.1081295,0.1160927,0.1160927,0.12674,0.12536,0.1393886,0.1338625
255,8.49E-05,0.01080751,0.0182929,0.0182929,0.02378559,0.02378559,0.03060818,0.03060818,0.03584194,0.03584194,0.03954506,0.03954506,0.0474472,0.04372311,0.04978704,0.04900026,0.05286932,0.05343103,0.06375027,0.06041574,0.07036686,0.065238,0.07315588,0.07427502,0.0841856,0.08291531,0.09069204,0.09081507,0.1004915,0.1004915,0.1076255,0.1076255,0.1172576,0.1159363,0.1291494,0.1236329
256,0.000138283,0.01138401,0.01841974,0.01841974,0.02342129,0.02342129,0.0298295,0.0298295,0.03467846,0.03467846,0.03779221,0.03779221,0.04540539,0.0417881,0.04725981,0.04638004,0.04997158,0.05054998,0.06036758,0.05695963,0.06662512,0.06144047,0.06846142,0.06968927,0.07867908,0.07747793,0.08438587,0.08462381,0.09350824,0.09350824,0.09990978,0.09990978,0.1086993,0.1072073,0.1197557,0.1142216
257,0.000213623,0.01218843,0.01875639,0.01875639,0.02345562,0.02345562,0.02933073,0.02933073,0.03381157,0.03381157,0.03652287,0.03652287,0.0437789,0.04003811,0.04521132,0.04434156,0.04755926,0.04811859,0.05742264,0.05407763,0.06346369,0.05818033,0.06450701,0.0656352,0.07391119,0.07260752,0.07876301,0.07902336,0.08715248,0.08715248,0.09276676,0.09276676,0.1008787,0.09943867,0.1111259,0.105638
258,0.000126839,0.01311874,0.01916838,0.01916838,0.02344513,0.02344513,0.02899075,0.02899075,0.03304195,0.03304195,0.03547144,0.03547144,0.0422821,0.03847647,0.04336023,0.04245138,0.04525709,0.04579878,0.05472898,0.05150557,0.06055117,0.05512428,0.06076241,0.06188202,0.06950474,0.06822968,0.07364416,0.07379961,0.08129978,0.08129978,0.08633089,0.08633089,0.09343243,0.09203196,0.1030946,0.097579
259,0.000108242,0.01381922,0.01962328,0.01962328,0.02331066,0.02331066,0.02850246,0.02850246,0.03233719,0.03233719,0.0342741,0.0342741,0.04072475,0.03699255,0.04126167,0.04051065,0.04287148,0.04342651,0.05199575,0.04873753,0.05747318,0.05207205,0.05690384,0.05816126,0.06513405,0.06377983,0.06855583,0.06866264,0.07550812,0.07550812,0.07980061,0.07980061,0.08622742,0.08482838,0.09523773,0.08971214
260,0.000210285,0.01443863,0.01975918,0.01975918,0.02307987,0.02307987,0.02793169,0.02793169,0.03125763,0.03125763,0.03284788,0.03284788,0.03893614,0.03525925,0.0392437,0.03846741,0.04035902,0.04103756,0.04914188,0.04604673,0.0544548,0.04900551,0.05315733,0.0543313,0.06067085,0.05932856,0.06351423,0.06360674,0.06973648,0.06973648,0.07343578,0.07343578,0.07935953,0.07780361,0.08752012,0.08198118
261,8.58E-05,0.01486111,0.01979399,0.01979399,0.02276182,0.02276182,0.02705479,0.02705479,0.03012085,0.03012085,0.03126669,0.03126669,0.03716469,0.03339911,0.03707123,0.03620291,0.0378561,0.03854561,0.04636478,0.04319286,0.05135202,0.04594707,0.04953241,0.05072117,0.05644608,0.05500126,0.05865431,0.05879736,0.06437683,0.06437683,0.06760168,0.06760168,0.07259989,0.07124138,0.08023739,0.07479763
262,-2.05E-05,0.01547241,0.01992035,0.01992035,0.02250671,0.02250671,0.02636242,0.02636242,0.02904034,0.02904034,0.02980804,0.02980804,0.03539276,0.03155041,0.03507805,0.03429556,0.03556204,0.03623009,0.04381371,0.04076815,0.04858685,0.04314184,0.04625416,0.04740667,0.05251265,0.05129766,0.05436087,0.05455875,0.05959225,0.05959225,0.06247902,0.06247902,0.06679916,0.06545115,0.07411671,0.06854439
263,0.000158787,0.01646662,0.02046871,0.02046871,0.0225358,0.0225358,0.02614594,0.02614594,0.02854395,0.02854395,0.02900267,0.02900267,0.03436184,0.03069353,0.03378868,0.03310871,0.03421831,0.03485727,0.04201698,0.03902721,0.0468173,0.04119253,0.04391718,0.04513693,0.04989767,0.04859114,0.05134916,0.05154991,0.05625296,0.05625296,0.05879164,0.05879164,0.06287527,0.06138897,0.06962156,0.06416607
264,3.77E-05,0.01756096,0.02116346,0.02116346,0.02303648,0.02303648,0.02646732,0.02646732,0.02858639,0.02858639,0.02880859,0.02880859,0.03399515,0.03043509,0.03319693,0.03247499,0.03348684,0.03407526,0.04118204,0.03825331,0.04589128,0.04026222,0.04275799,0.04392195,0.0485425,0.04710102,0.04973364,0.04981041,0.05422163,0.05422163,0.05649042,0.05649042,0.06031561,0.05890131,0.06691122,0.06152725
265,0.000196934,0.01851463,0.02188635,0.02188635,0.02354765,0.02354765,0.02671194,0.02671194,0.0287199,0.0287199,0.02890825,0.02890825,0.03397465,0.03022528,0.0331707,0.03235149,0.03325462,0.03378296,0.04073858,0.03787088,0.04533339,0.0396924,0.04206228,0.04330015,0.04777765,0.04647255,0.04888058,0.04899549,0.05332804,0.05332804,0.05546761,0.05546761,0.05904102,0.05756617,0.06552505,0.05987549
266,7.92E-05,0.01924515,0.02250004,0.02250004,0.02393675,0.02393675,0.02704382,0.02704382,0.02880526,0.02880526,0.02892065,0.02892065,0.03393984,0.03029823,0.03318644,0.03233242,0.03321123,0.03375912,0.04071712,0.03779745,0.04523897,0.03957653,0.04181051,0.04298973,0.04737425,0.04600382,0.04854202,0.04849195,0.05272961,0.05272961,0.05502319,0.05502319,0.0583415,0.0569191,0.06466389,0.05924416
