Wavelength [nm],H2O,prot_5uM,nir_1,nir_1-2,nir_2,nir_2-2,nir_3,nir_3-2,nir_4,nir_4-2,nir_5,nir_5-2,nir_6,nir_6-2,nir_7,nir_7-2,nir_8,nir_8-2,nir_9,nir_9-2,nir_10,nir_10-2,nir_12,nir_12-2,nir_14,nir_14-2,nir_16,nir_16-2,nir_18,nir_18-2,nir_20,nir_20-2,nir_22,nir_22-2,nir_24,nir_24-2
250,8.63E-05,0.02268028,0.04049492,0.04036713,0.05803871,0.05791092,0.07501936,0.07529068,0.09366798,0.09397602,0.1125622,0.112474,0.128489,0.1279798,0.1439261,0.1433539,0.1606197,0.1600413,0.1603475,0.1597939,0.1747141,0.1742678,0.2037253,0.2042613,0.2315936,0.23138,0.261898,0.2617249,0.2901397,0.2910314,0.3198309,0.3200445,0.352294,0.3517051,0.3815126,0.3816786
251,0.000274658,0.02323771,0.04027891,0.04017115,0.0571599,0.05715466,0.07365084,0.07376385,0.09145784,0.09161282,0.1094289,0.109313,0.1246762,0.1239119,0.1390162,0.1383281,0.154686,0.1539097,0.1534476,0.1529479,0.1668553,0.1666317,0.1939511,0.194521,0.2199483,0.2197332,0.2482648,0.2481337,0.2746239,0.2755413,0.3023629,0.3024387,0.3327608,0.332377,0.3602719,0.3606586
252,0.000236511,0.02406502,0.04029036,0.04012108,0.05612755,0.05611324,0.07169056,0.07184649,0.08854818,0.08870792,0.1054926,0.1052833,0.119626,0.1189604,0.1329575,0.132442,0.1477242,0.1470385,0.1456113,0.1449647,0.1579995,0.1577544,0.1830368,0.1835246,0.2070827,0.2070327,0.2335248,0.2332711,0.2578964,0.2587104,0.2835231,0.2837887,0.3120856,0.3115926,0.337419,0.3378553
253,7.25E-05,0.02490902,0.03983068,0.03983355,0.05477619,0.05465603,0.06906128,0.06923437,0.08461809,0.08490181,0.1005769,0.1003494,0.1136284,0.1130657,0.1258831,0.1254177,0.1395936,0.1390376,0.1364012,0.1357865,0.1479964,0.1475892,0.1709609,0.1715288,0.1929097,0.1928511,0.2173343,0.2171984,0.2398238,0.2404957,0.263474,0.2636533,0.2899327,0.2893548,0.3133321,0.3137002
254,0.000282764,0.02572632,0.03950262,0.03934336,0.05320168,0.05308819,0.06639004,0.06649399,0.0807209,0.08109665,0.09547567,0.09528112,0.1076956,0.106988,0.118701,0.1182928,0.1314754,0.1307597,0.1272006,0.1268153,0.1377969,0.1375513,0.1590295,0.1594949,0.1789188,0.1787343,0.2014136,0.2011566,0.2218795,0.2226229,0.2436242,0.2437687,0.2680469,0.267488,0.2895746,0.2898641
255,0.000267029,0.02663469,0.03930569,0.03918123,0.05187607,0.05182886,0.0639782,0.0640769,0.0773015,0.07748985,0.09087086,0.09070444,0.1021538,0.1015038,0.1120892,0.1117716,0.1240396,0.1232009,0.1188788,0.1183524,0.1285319,0.1283302,0.1479702,0.1483221,0.165843,0.1657696,0.1866431,0.1861401,0.2050576,0.2059484,0.224966,0.2251682,0.2476935,0.2471509,0.2671018,0.2674022
256,0.000235558,0.02793598,0.03969622,0.03959656,0.05132389,0.05110693,0.06252432,0.06253004,0.0746603,0.07497597,0.08744049,0.08714199,0.09773254,0.09704256,0.1067562,0.1063352,0.1176186,0.1168981,0.1117458,0.1112719,0.120513,0.1203246,0.138103,0.138443,0.1543889,0.1542864,0.1731176,0.1727157,0.1899881,0.1907611,0.2080903,0.208343,0.2289772,0.2282529,0.2466946,0.2468929
257,0.00017643,0.02987814,0.04079056,0.0406065,0.05155516,0.05136299,0.06186485,0.0619421,0.07307005,0.07330704,0.08490944,0.08466196,0.09430742,0.09349775,0.102478,0.1018834,0.112493,0.1115789,0.1058035,0.1052256,0.1135893,0.1133952,0.1294303,0.1299391,0.1441169,0.1439791,0.1610084,0.1607895,0.1763215,0.1770225,0.1928272,0.1929798,0.2119336,0.2112784,0.2279696,0.2280617
258,0.000343323,0.03221369,0.04221869,0.04208374,0.05209732,0.0519166,0.06158161,0.06166697,0.07192612,0.0722208,0.08271122,0.08261108,0.0914464,0.09070587,0.09876204,0.09817457,0.1079206,0.1070256,0.1004138,0.09982443,0.1077018,0.1073742,0.1218295,0.122376,0.1348319,0.1346712,0.1502228,0.149941,0.1638827,0.1645622,0.17869,0.1788793,0.1961455,0.1955609,0.2105818,0.2107801
259,0.00022316,0.0340414,0.04318047,0.04306793,0.05214643,0.05196571,0.06075668,0.06088686,0.0702014,0.07047844,0.0801363,0.07992792,0.08801222,0.08722687,0.09439325,0.09399319,0.1026654,0.1020474,0.0946188,0.09400368,0.1012235,0.1008711,0.1136541,0.1142569,0.1250477,0.1249208,0.1390481,0.1386251,0.1510205,0.1518698,0.1642966,0.164506,0.1801343,0.1795444,0.192986,0.1932268
