Wavelength [nm],H2O,Nir_600uM_2,Nir_600uM_4,Nir_600uM_6,Nir_600uM_8,Nir_600uM_10,Nir_600uM_12,Nir_600uM_14,Nir_600uM_18,Nir_600uM_24
190,-0.000252724,2.706156,2.777487,3.06806,2.744793,2.878654,3.298796,2.988799,2.774554,3.488445
191,-0.000240326,2.665377,2.852651,3.017447,2.911806,3.181782,3.136755,3.123451,3.104497,3.02422
192,-0.000266552,2.79998,2.880338,3.05872,3.274078,3.020393,3.145486,3.10155,3.358742,3.275414
193,-8.82E-05,3.05526,3.12781,3.090022,3.567143,3.214961,3.999999,3.470233,3.391052,3.567143
194,-0.000263691,3.083591,3.115221,3.493145,3.176692,3.782275,3.468338,3.483731,3.564836,3.99986
195,-7.39E-05,3.093701,3.291466,3.61953,3.377286,3.309788,3.481078,3.626051,3.630201,3.519298
196,-3.81E-05,3.071458,3.299749,3.328994,3.30682,3.355834,3.343081,3.416958,3.684974,3.340468
197,-6.44E-05,3.148362,3.143207,3.219638,3.39853,3.347188,3.388332,3.317126,3.509444,3.829543
198,-4.58E-05,3.040856,3.201226,3.257965,3.409473,3.405442,3.453679,3.391811,3.482618,3.571853
199,-3.29E-05,3.113237,3.342072,3.550526,3.435336,3.573924,3.690136,3.502926,3.716062,4
200,-2.38E-06,3.152779,3.284137,3.491672,3.600586,3.424961,3.420043,3.636745,3.600463,3.964945
201,-0.000137806,3.010744,3.125432,3.188265,3.174718,3.320526,3.415035,3.413513,3.353138,3.601833
202,-5.82E-05,2.89407,3.003997,3.079032,3.140615,3.254065,3.330755,3.244292,3.555597,3.346903
203,-3.58E-05,2.868396,2.928609,3.157417,3.018762,3.444449,3.327742,3.391129,3.860967,3.565985
204,-4.48E-05,2.740199,2.865433,2.945619,2.95715,3.078649,3.05514,3.241585,3.106862,3.198696
205,-9.06E-05,2.728789,2.819244,2.945593,2.890864,3.049188,3.214214,3.177129,3.23026,3.266858
206,-0.00017786,2.682274,2.776433,2.886255,2.911057,2.951191,2.992216,3.094839,3.227069,3.437922
207,-7.10E-05,2.637142,2.710338,2.768507,2.856223,2.970106,2.886084,3.032248,3.069795,3.247101
208,-6.53E-05,2.578981,2.632703,2.696059,2.740596,2.898122,2.858333,2.865784,2.982561,3.058525
209,-8.63E-05,2.53024,2.617327,2.664999,2.710868,2.801647,2.805075,2.859438,2.970138,3.143584
210,-6.58E-05,2.503201,2.598412,2.646838,2.700269,2.766092,2.775741,2.75246,2.886754,2.996717
211,-2.81E-05,2.465587,2.539591,2.553882,2.610765,2.637251,2.663732,2.71697,2.810946,2.872459
212,-7.20E-05,2.436821,2.50771,2.564967,2.590808,2.69091,2.684941,2.70095,2.805548,2.887513
213,-2.38E-06,2.469062,2.505235,2.568206,2.635406,2.636706,2.675539,2.669587,2.776826,2.855109
214,0.000103474,2.461656,2.499798,2.563708,2.633587,2.658156,2.682837,2.690858,2.784788,2.872351
215,-3.58E-05,2.44451,2.527802,2.586211,2.657978,2.680883,2.683018,2.750508,2.765397,2.910201
216,-4.53E-05,2.468748,2.550622,2.592559,2.645181,2.672661,2.690407,2.732082,2.766958,2.905333
217,-5.53E-05,2.497481,2.564032,2.624046,2.679984,2.703134,2.74259,2.775901,2.813825,2.908188
218,-4.20E-05,2.525514,2.562491,2.653077,2.716201,2.732576,2.775851,2.792454,2.849007,2.979005
219,6.68E-06,2.491558,2.557082,2.596238,2.685051,2.719334,2.74238,2.766192,2.791933,2.894872
220,-5.58E-05,2.42135,2.543321,2.605079,2.68842,2.680325,2.750609,2.744148,2.768709,2.828051
221,-0.00013113,2.260793,2.556996,2.611151,2.638711,2.70663,2.723231,2.742529,2.789896,2.896894
222,-4.24E-05,1.952622,2.538608,2.615268,2.673841,2.702722,2.709033,2.77418,2.797755,2.92398
223,-1.48E-05,1.592167,2.443821,2.604098,2.653858,2.687261,2.69743,2.728312,2.762111,2.847989
224,6.68E-05,1.25382,2.214501,2.545305,2.631624,2.670765,2.683808,2.712759,2.796778,2.822684
225,5.29E-05,0.9714003,1.836598,2.369565,2.544278,2.600264,2.639557,2.661367,2.712824,2.756862
226,1.24E-05,0.7398148,1.441069,2.025543,2.39353,2.544678,2.608651,2.639669,2.721289,2.770622
227,6.87E-05,0.5605969,1.1075,1.616125,2.047759,2.341146,2.503604,2.574313,2.666069,2.740187
228,-6.44E-05,0.4196854,0.8343062,1.235412,1.613091,1.954361,2.218702,2.415114,2.589161,2.676225
229,0.000144959,0.3139434,0.6266527,0.9342346,1.236021,1.527093,1.799942,2.04186,2.367072,2.606306
230,2.43E-05,0.2334046,0.4668503,0.6990037,0.9291792,1.15846,1.385332,1.599939,1.965263,2.379202
231,0.000136375,0.1745143,0.3494115,0.5240364,0.6986289,0.875412,1.051716,1.222814,1.529895,1.95525
232,0.000108242,0.1304359,0.2610087,0.3923788,0.5235476,0.6578178,0.7919588,0.9248753,1.166194,1.517727
233,4.29E-05,0.09870386,0.1975956,0.2971435,0.3968511,0.4998345,0.6021461,0.7043924,0.8901768,1.169043
234,7.87E-05,0.07554007,0.1507411,0.2269492,0.3032646,0.3820271,0.460392,0.5398622,0.6825328,0.8998861
235,-4.77E-05,0.05868483,0.1171732,0.176568,0.235796,0.2974057,0.3580623,0.4206457,0.5316601,0.7017121
236,0.000132561,0.04720306,0.09348536,0.1410708,0.1881623,0.2374406,0.285593,0.3361297,0.4240947,0.559833
237,9.73E-05,0.03859758,0.07641792,0.1151619,0.1535158,0.1939836,0.232636,0.274467,0.3458366,0.4565592
238,5.01E-05,0.03269482,0.06442404,0.09708548,0.1291709,0.163208,0.1954894,0.2310948,0.290597,0.3836927
239,9.54E-06,0.02830172,0.05576324,0.08403921,0.1116366,0.1409526,0.1686153,0.1995363,0.2505445,0.3305845
240,-2.48E-05,0.02526522,0.04952097,0.07460737,0.09911489,0.1250463,0.1494112,0.1771088,0.2219272,0.292407
241,0.000134468,0.02297831,0.04488087,0.06777811,0.08975315,0.1133146,0.1350269,0.1602859,0.2006516,0.2642136
242,0.000115395,0.021245,0.04145193,0.06249905,0.08280563,0.1047435,0.1242437,0.1477208,0.1846008,0.2430515
243,0.000153065,0.01992226,0.03860521,0.05817556,0.07697678,0.0972023,0.1156249,0.1376662,0.1716952,0.2259316
244,4.82E-05,0.0185442,0.03614187,0.05443668,0.07208681,0.09118176,0.1083803,0.1290345,0.1608133,0.2115817
245,7.01E-05,0.01747131,0.03403473,0.0513792,0.06792736,0.0858593,0.1021304,0.1216826,0.1514826,0.1994009
246,-4.77E-06,0.01646423,0.03196049,0.0484271,0.06412125,0.08102274,0.0961833,0.115068,0.1427917,0.1879621
247,4.91E-05,0.01553726,0.03029537,0.04580736,0.0605917,0.07680321,0.0908308,0.1088438,0.135056,0.1776171
248,0.000126362,0.01453733,0.02859974,0.04313135,0.0569725,0.07236767,0.08566475,0.102838,0.1274047,0.1675615
249,3.05E-05,0.01377821,0.02676821,0.0405035,0.05347157,0.06784487,0.08052778,0.09668255,0.1196666,0.1570959
250,8.54E-05,0.01287746,0.02498293,0.03782463,0.04987288,0.06340647,0.07493782,0.09053469,0.1116991,0.1468015
251,5.15E-05,0.01184464,0.02299976,0.034935,0.04606104,0.05871964,0.0694046,0.08394289,0.1033268,0.1358576
252,3.19E-05,0.01093292,0.02107906,0.0321784,0.04244423,0.05410767,0.06383848,0.0774188,0.09503031,0.1248541
253,6.15E-05,0.009964943,0.0192976,0.02938747,0.03869581,0.04934216,0.05805206,0.07091522,0.08665848,0.1138172
254,0.000186443,0.00909996,0.01757002,0.02674913,0.0351491,0.04480696,0.05286455,0.06458759,0.07866287,0.1032925
255,0.000167847,0.008241177,0.01575375,0.02422714,0.03173923,0.04063892,0.04784679,0.05868196,0.07121372,0.09341145
256,0.000117302,0.007424355,0.01422405,0.02183294,0.02861786,0.03666067,0.04299021,0.05312634,0.06407022,0.08397388
257,6.91E-05,0.006683826,0.01268101,0.01946449,0.02554846,0.03293085,0.03842306,0.04787254,0.05729914,0.07512379
258,1.24E-05,0.005953789,0.01120138,0.01734686,0.02263165,0.02939844,0.03428602,0.04277372,0.05101395,0.06674957
259,0.000118256,0.005324841,0.009993076,0.0154829,0.02007055,0.02596283,0.0302763,0.03802013,0.04492998,0.05879164
260,5.44E-05,0.00466013,0.00867939,0.01354218,0.01752281,0.02287817,0.02641821,0.03353596,0.03918409,0.05122566
261,9.97E-05,0.004137039,0.007592678,0.01178503,0.01515865,0.01993036,0.02295351,0.02950048,0.03392029,0.04448748
262,0.000116348,0.003621578,0.006625652,0.01032352,0.01334381,0.01753235,0.02009821,0.02626467,0.02972364,0.03872919
263,4.63E-05,0.003203869,0.00587225,0.009269714,0.01204634,0.01574516,0.01800776,0.02381134,0.02669573,0.03453875
264,0.00025034,0.003174305,0.005626202,0.008661747,0.01113844,0.0148325,0.01686144,0.02236462,0.02470779,0.03195381
265,3.81E-05,0.003004074,0.005224228,0.008234024,0.01045704,0.01408672,0.01596212,0.02129221,0.02354908,0.03031015
266,3.24E-05,0.002804756,0.005255699,0.008132935,0.01034594,0.01377916,0.01562023,0.02091742,0.02304554,0.02962875
