Wavelength (nm),H2O,prot_5uM,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_12,vel_14,vel_16,vel_18,vel_20,vel_24,vel_28,vel_32,vel_40
200,0.005853361,3.403739929,3.986068964,4.196163177,4.396109104,4.214390278,4.148363113,4.099012375,4.223847866,4.247934341,4.154751778,4.232879162,4.36143446,4.282718658,4.234198093,4.344991684,4.375991344,4.329098701,4.449372292,4.58022356,4.283819199
201,0.006064464,3.12028861,4.0399189,4.191151142,4.153524399,4.160120964,4.241253853,4.266854286,4.174888134,4.291416645,4.157115459,4.328400612,4.303215027,4.327843189,4.508282185,4.304296017,4.307694912,4.483867168,4.511538982,4.572181702,4.476695538
202,0.003140475,2.897170544,4.138939857,4.109872341,4.34126091,4.14613533,4.130526543,4.244997025,4.075266838,4.24866581,4.059641361,4.309461117,4.453225136,4.249389172,4.410810471,4.348164558,4.458106518,4.341899872,4.409849644,4.393400669,4.641802788
203,0.002775569,2.694429874,4.200746059,4.120839119,4.193245411,4.205388546,4.154785633,4.268511295,4.095441341,4.294779301,4.260599613,4.178210735,4.154044628,4.310437679,4.311296463,4.315023422,4.214483738,4.425707817,4.402188778,4.418943405,4.305160522
204,0.003670984,2.507311583,4.00135088,4.18482399,4.120841503,4.090883255,4.224243641,4.333626747,4.169665813,4.22065258,4.305052757,4.304203033,4.311088562,4.192011833,4.348925591,4.317876339,4.357710838,4.38031292,4.449713707,4.426487446,4.440832615
205,0.004878588,2.319022417,4.101055622,4.087657928,4.256810665,4.196974754,4.155299664,4.269188881,4.170229435,4.263047695,4.395109177,4.256660461,4.489317894,4.258377075,4.352524757,4.351761341,4.316624165,4.712985992,4.385245323,4.373960495,4.325809002
206,0.002839036,2.155998707,4.12086153,4.269993305,4.201953411,4.332745075,4.476664066,4.306447983,4.41518259,4.436148167,4.667059422,4.56529808,5.068396568,4.37746048,4.999555588,4.680222988,4.377037048,4.665234566,4.517328262,5.494236946,5.096045017
207,0.005761776,2.012782812,4.131362915,4.294778824,4.393596649,4.202763081,4.221403122,4.25315094,4.335193634,4.347183228,4.387863159,4.414906502,4.236318588,4.174199581,4.319709778,4.382316589,4.393752098,4.532568455,4.373599052,4.574951172,4.849795341
208,0.003328821,1.86963141,4.18063736,4.222321033,4.51604414,4.302799225,4.247873783,4.184493065,4.343731403,4.609053135,4.18243742,4.405897617,4.552004814,4.53212595,4.573802471,4.266196728,4.320717812,4.617281914,4.448688507,4.396610737,4.821271896
209,0.00405462,1.737334132,4.113433838,4.304906368,4.268520355,4.085262775,4.282433987,4.185427189,4.289673328,4.264031887,4.311555386,4.4251194,4.258162022,4.272537708,4.780371666,4.324937344,4.51329422,4.463414192,4.471613407,4.494454384,4.56522274
210,0.003597947,1.618457079,4.149223804,4.199793816,4.45072794,4.250239372,4.308557034,4.235886574,4.288702488,4.302388668,4.232481956,4.271438599,4.269305229,4.583229542,4.351129532,4.470060349,4.578034878,4.246085167,4.31774044,4.967443943,4.423959732
211,0.00285936,1.512793183,4.176997662,4.193477154,4.308775425,4.211381912,4.316518307,4.310142994,4.183599472,4.083874226,4.316269398,4.282976151,4.263190746,4.303759575,4.33509016,4.463911057,4.464342117,4.518224716,4.819932461,4.497969627,4.68472147
212,0.00259215,1.417051196,4.042217731,4.263807774,4.089082241,4.346745014,4.236784458,4.308841228,4.263012886,4.249789238,4.362941742,4.215556622,4.367650509,4.351981163,4.640263081,4.568937778,4.359334469,4.640092373,4.450006485,4.558256626,4.495524883
213,0.004229091,1.339510322,3.947576523,4.178052425,4.299819946,4.221597672,4.265498161,4.343440056,4.213039875,4.236865044,4.218206406,4.311664581,4.280205727,4.332692623,4.510221958,4.372760773,4.324518681,4.394981861,4.641406059,4.495601177,4.382831097
214,0.004622849,1.265645027,3.879013538,4.105312824,4.25487566,4.082148552,4.199696541,4.290889263,4.150146008,4.142348766,4.247427464,4.209388733,4.29229784,4.299272537,4.349901199,4.343408585,4.423761845,4.395699024,4.664682865,4.404202938,4.469678402
215,0.003100089,1.203150392,3.837449789,3.987393379,4.154886723,4.003707886,4.054809093,4.276699066,4.258238316,4.267943859,4.255073071,4.210671425,4.380159378,4.312107086,4.240767002,4.285757542,4.367557049,4.523643017,4.501164913,4.412613392,4.40214777
216,0.002360994,1.146804094,3.692395449,3.907569408,4.033314705,4.092815876,4.200399399,4.092989922,4.049725533,4.26260376,4.21437645,4.206750393,4.208004475,4.255331993,4.301064968,4.237386703,4.315114021,4.318686485,4.44977808,4.485057354,4.706059933
217,0.003270812,1.092613339,3.455323458,3.849698305,3.952320576,3.963560104,4.016515732,4.09837532,4.083197594,4.110560894,4.169854164,4.122870922,4.149900436,4.116706848,4.246641636,4.301980019,4.425026894,4.321835995,4.25993681,4.369334698,4.465641022
218,0.002338793,1.042651892,3.217460632,3.703939199,3.844834566,3.898961306,3.952710152,4.026298046,4.08302021,4.000699043,4.086410522,4.022938728,4.244934082,4.241969109,4.189686775,4.227423668,4.244190216,4.345689774,4.276525497,4.257150173,4.431806564
219,0.002324193,0.991710901,2.8679111,3.628147364,3.777612925,3.808166981,3.894907236,3.856885672,3.925082207,4.022665977,3.986746311,4.126574039,4.061278343,4.189786911,4.151152134,4.22235775,4.364113331,4.264473438,4.278258801,4.268281937,4.288573265
220,0.001581792,0.938959658,2.506501675,3.431987286,3.644222736,3.726067305,3.740675449,3.849943876,3.865496397,3.898951769,3.97464776,3.974208832,4.085374355,4.045228481,4.024483204,4.04600668,4.292955875,4.241034031,4.201203823,4.237276554,4.297276497
