Wavelength (nm),H2O,prot_5uM,vel_1-2,vel_2-2,vel_3-2,vel_4-2,vel_5-2,vel_6-2,vel_7-2,vel_8-2,vel_9-2,vel_10-2,vel_12-2,vel_14-2,vel_16-2,vel_18-2,vel_20-2,vel_24-2,vel_28-2,vel_32-2,vel_40-2
200,0.005853361,3.403739929,4.015324116,3.94682622,4.140482426,4.271824837,4.193713188,4.217601776,4.0398736,4.037474155,4.400784016,4.176389217,4.268875122,4.187256336,4.367241859,4.232654095,4.29356575,4.547945023,4.14111948,4.257397652,4.30172348
201,0.006064464,3.12028861,3.960158587,4.092271805,4.290545464,4.141557693,4.130126953,4.434971333,4.14880085,4.239693642,4.185937405,4.249084949,4.228314877,4.244841576,4.203634739,4.360135555,4.194572449,4.258508205,4.519617558,4.310374737,4.227239132
202,0.003140475,2.897170544,4.127915382,4.146852493,4.085319519,4.150363922,4.041155815,4.224336624,4.278769493,4.198409557,4.299902439,4.176368713,4.344189167,4.311964989,4.107119083,4.366532326,4.240914345,4.572398186,4.427464008,4.317407131,4.528612614
203,0.002775569,2.694429874,3.988492727,4.116225719,4.376079082,4.114265442,4.099791527,4.318653584,4.120571136,4.169496536,4.243309021,4.258327961,4.328898907,4.23027277,4.275519371,4.370165348,4.603523254,4.349137783,4.283340454,4.415787697,4.477731228
204,0.003670984,2.507311583,4.078582764,4.260869503,4.267333031,4.055767059,4.185208797,4.142230511,4.148081303,4.131536007,4.336243629,4.301094532,4.24654007,4.272889137,4.360459805,4.33572197,4.370056629,4.379380226,4.410062313,4.304657459,4.476243973
205,0.004878588,2.319022417,4.093545437,4.089395046,4.206202984,4.091334343,4.180150986,4.340889931,4.186355114,4.345659256,4.36281538,4.329510212,4.700771809,4.265483856,4.416775227,4.391017437,4.405693531,4.449405193,4.579149723,4.429462433,4.441180229
206,0.002839036,2.155998707,4.061287403,4.219304562,4.432848454,4.365250587,4.385307312,4.361709595,4.097295284,4.234743118,4.51956892,4.397869587,4.478399277,4.5664258,4.741391182,4.807843685,4.551489353,5.474466324,10,5.049930573,4.860084057
207,0.005761776,2.012782812,4.228169441,4.267570972,4.426789284,4.201968193,4.322851181,4.293188572,4.287505627,4.282778263,4.286468029,4.233032227,4.3230443,4.392472267,4.716011524,4.326637745,4.332200527,4.427162647,4.541371822,4.604644299,4.79260397
208,0.003328821,1.86963141,4.074477196,4.149663448,4.085386276,4.209570885,4.268121719,4.176400185,4.266358852,4.325743675,4.421156883,4.283559322,4.527077675,4.435187817,4.282087803,4.561638355,4.47077322,4.407680988,4.446789265,5.264716625,4.429902077
209,0.00405462,1.737334132,4.12885046,4.299336433,4.34264183,4.205263615,4.130569935,4.34935236,4.185292721,4.350408077,4.247970104,4.288020134,4.472191811,4.305342197,4.242874146,4.578838348,4.468708038,4.4074893,4.563793182,4.444440365,4.552070141
