Wavelength (nm),H2O_2ml,vel_2,vel_4,vel_6,vel_8,vel_12,vel_16,vel_20,vel_28,vel_36
200,-0.042462256,4.05550909,3.946978569,4.111871719,4.10137701,4.144299507,4.262499809,4.334398746,4.233616829,4.471914768
201,-0.035378359,4.087805748,3.97420311,4.007780552,4.243122101,4.072419167,4.410301685,4.3206954,4.261403084,4.336480141
202,-0.03221754,4.098610878,4.000769138,4.141740799,4.099743366,4.096576691,4.178515911,4.277900219,4.399460793,4.324323177
203,-0.027715234,3.98914361,4.042865276,4.131690979,4.291627884,4.215257168,4.357025623,4.322390079,4.409424305,4.447883606
204,-0.024941087,4.196366787,3.998403072,4.180602074,4.015295029,4.166961193,4.318754673,4.310828686,4.264741421,4.521229267
205,-0.023854047,4.181137562,3.934596539,4.105239868,4.11163187,4.16153717,4.285037041,4.216135502,4.277092934,4.226693153
206,-0.023066264,4.108673096,4.03929472,4.184402466,4.139483929,4.286301613,4.416198254,4.62958622,4.688264847,4.420910835
207,-0.021350974,4.28894043,4.066841602,4.456071377,4.452340126,4.363413334,4.685318947,4.53412199,4.631762505,4.959558964
208,-0.022777742,4.132256508,4.110298157,4.184650898,4.094685555,4.32879591,4.523519039,4.293330669,4.610265255,4.405741692
209,-0.021157721,4.124111176,4.039021492,4.061202049,4.144948006,4.210149288,4.418324471,4.272325039,4.481654644,4.468668461
210,-0.020480659,4.122641563,3.916120291,4.181505203,4.136841774,4.341932774,4.503597736,4.464130402,4.314954281,4.426327229
211,-0.021771152,4.029548168,3.97482872,4.093965054,4.085593224,4.350008488,4.336123943,4.234203815,4.453131676,4.40578413
212,-0.02098594,3.919171572,4.003062725,4.101081848,4.093025208,4.081471443,4.358799934,4.443377018,4.35482645,4.524566174
213,-0.01916175,3.851418972,3.959403276,4.062615395,3.994206429,4.177218914,4.412220001,4.494917393,4.294528484,4.513725281
214,-0.018261567,3.759926558,3.885127544,4.167628765,4.032195568,4.228867531,4.295700073,4.334454536,4.226752758,4.66534853
215,-0.018139783,3.69857502,3.789264441,4.043777466,4.040627956,4.235948563,4.211346626,4.343605042,4.285513401,4.339731693
216,-0.017721891,3.607605219,3.726745129,4.003669739,4.066449642,4.151521683,4.151032925,4.298517704,4.288016319,4.279697895
217,-0.015611601,3.470887661,3.66637516,3.828944683,3.941381693,4.057209015,4.148200035,4.207748413,4.226177216,4.329132557
218,-0.016723776,3.307794333,3.578313351,3.735926867,3.774563551,3.973903179,4.113657475,4.171506405,4.248378754,4.448586941
219,-0.014454708,3.114781141,3.472496033,3.670821667,3.736013651,3.873696089,3.973109722,4.212744713,4.097112179,4.256706715
220,-0.014032654,2.779811621,3.383584499,3.504062414,3.612641335,3.870854855,3.911543369,4.043493271,4.102471352,4.232134819
221,-0.012982401,2.349425554,3.251801729,3.433899164,3.527898788,3.731560707,3.795871496,3.98517108,4.038882732,4.151536942
222,-0.012919889,1.927727342,3.036798239,3.28873682,3.426966429,3.580564976,3.740541697,3.840343714,3.917915106,4.216027737
223,-0.011249338,1.542973876,2.678990602,3.180033445,3.327503443,3.50288558,3.618299961,3.750481606,3.814163208,4.029268742
224,-0.009365865,1.214384556,2.210680008,2.898035049,3.174678802,3.424828529,3.497413635,3.637423515,3.754665136,3.85367465
225,-0.009378177,0.938099086,1.759788275,2.434585094,2.890771151,3.272707462,3.414220095,3.524681091,3.639020443,3.806826115
226,-0.007788108,0.720492303,1.372925878,1.951140285,2.450595856,3.052454948,3.248842239,3.400118828,3.494978189,3.632820129
227,-0.006660839,0.545586765,1.052591324,1.516842842,1.941817999,2.642257214,3.059712648,3.246544361,3.384854317,3.537766933
228,-0.005337524,0.409555137,0.795699894,1.159976482,1.502255917,2.12265563,2.623532057,2.982687473,3.273137331,3.414533615
229,-0.004826442,0.303426296,0.594087958,0.87264055,1.140343904,1.642624497,2.097000837,2.479733229,2.994555712,3.26610589
230,-0.00442321,0.222710893,0.44129476,0.652764559,0.858054698,1.248065829,1.617584944,1.962329388,2.523978949,2.930682182
231,-0.004149873,0.163422659,0.324855506,0.484025925,0.638851464,0.937474906,1.225097775,1.497965336,1.994259357,2.421261787
232,-0.003627328,0.118661992,0.237405896,0.355237216,0.47228843,0.697324872,0.916158736,1.136061788,1.523754239,1.894003272
233,-0.003236496,0.08690764,0.173938021,0.261273682,0.348191053,0.517891228,0.682839572,0.845927954,1.147284508,1.442837477
234,-0.001972116,0.063147493,0.127408221,0.191717774,0.256435186,0.3817994,0.50866425,0.63222903,0.863998175,1.092445612
235,-0.002415472,0.046502996,0.093471147,0.141654655,0.188467935,0.284226358,0.379829347,0.472597063,0.649824143,0.826519072
236,-0.00331506,0.033118777,0.069076344,0.105019048,0.140046254,0.211140364,0.283479422,0.35564357,0.489803523,0.627637804
