Wavelength (nm),H2O,prot2uM,mef_1,mef_1-2,mef_2,mef_2-2,mef_3,mef_3-2,mef_4,mef_4-2,mef_5,mef_5-2,mef_6,mef_6-2,mef_7,mef_7-2,mef_8,mef_8-2,mef_9,mef_9-2,mef_10,mef_10-2,mef_12,mef_12-2,mef_14,mef_14-2,mef_16,mef_16,mef_18,mef_18-2,mef_20,mef_20-2,mef_24,mef_24,mef_28,mef_28-2,mef_32,mef_32-2,mef_40,mef_40-2
250,-0.001900216,0.007562401,0.010932482,0.011117387,0.014864951,0.015015201,0.018330961,0.018248398,0.021449599,0.021736536,0.02530933,0.025445094,0.028920032,0.029000307,0.033308849,0.032418258,0.037139844,0.036877915,0.042763319,0.040510062,0.043844894,0.043746971,0.051842641,0.052523781,0.059330523,0.060180571,0.067834981,0.067834981,0.074951485,0.074650094,0.081561118,0.081762806,0.096095689,0.096095689,0.108465046,0.109075375,0.123156063,0.124359757,0.149653807,0.15030767
251,-0.001968921,0.008205694,0.011186574,0.010672782,0.014350029,0.014677962,0.017364746,0.018060837,0.021760132,0.021067249,0.025589466,0.025389049,0.028446302,0.027701013,0.031836566,0.032162033,0.035832763,0.036004424,0.041149568,0.039630543,0.043098342,0.043532502,0.051529665,0.051260516,0.058608413,0.058838755,0.066050522,0.066050522,0.073156357,0.071390338,0.079021059,0.079728283,0.09276291,0.09276291,0.10613326,0.106523342,0.119937107,0.120863825,0.146526665,0.146389037
252,-0.002999997,0.00814347,0.010283814,0.011427313,0.014569079,0.014708729,0.016494639,0.018609846,0.020816952,0.02083637,0.024849635,0.024332874,0.027971791,0.02783772,0.03091071,0.032022312,0.03452969,0.035371237,0.03956195,0.038728949,0.04342046,0.04220216,0.049200371,0.049199589,0.057101496,0.057331365,0.063968338,0.063968338,0.071060464,0.070052214,0.076977707,0.076598473,0.090785354,0.090785354,0.104454555,0.103774406,0.117216639,0.116624899,0.142511621,0.14208056
253,-0.001598619,0.009043795,0.011888388,0.011465903,0.014138792,0.01509348,0.017479695,0.01811902,0.020913588,0.021457378,0.023852797,0.024173565,0.02724978,0.027401481,0.031367604,0.031171734,0.034673553,0.035244517,0.039588857,0.038296901,0.042159829,0.042354096,0.049552262,0.048717938,0.055754341,0.056260247,0.062878624,0.062878624,0.070691712,0.069477133,0.076011583,0.075992674,0.089288749,0.089288749,0.101518221,0.102389544,0.116157778,0.116315901,0.139822185,0.140878648
254,-0.001557971,0.009393667,0.011691534,0.011114678,0.01443694,0.015219385,0.016855571,0.017889651,0.020281447,0.020889115,0.024401953,0.023659138,0.027529487,0.027324285,0.030902455,0.029870763,0.033895008,0.034766115,0.039053645,0.038173568,0.042021673,0.041107051,0.048279952,0.049329545,0.055313528,0.055113755,0.061991151,0.061991151,0.069516994,0.068286635,0.075099535,0.075227819,0.088314578,0.088314578,0.101668157,0.101048768,0.114399158,0.116142727,0.139124245,0.140183508
255,-0.001727606,0.008958274,0.010907583,0.011831512,0.014883515,0.014483105,0.017850997,0.018211063,0.020779287,0.021124179,0.024422957,0.024203615,0.026665384,0.027670609,0.030945595,0.030632954,0.034199756,0.033851855,0.038707666,0.038429856,0.040718518,0.041635998,0.048438951,0.048840102,0.055674467,0.055831283,0.062872186,0.062872186,0.069416873,0.069771253,0.075666584,0.075616978,0.089662403,0.089662403,0.100907214,0.102802783,0.114985645,0.115710184,0.140891969,0.140946075
256,-0.001370103,0.011244216,0.014458055,0.013577427,0.015933847,0.017355209,0.019212687,0.019348588,0.022740634,0.022618692,0.026429474,0.026154295,0.029454555,0.0286428,0.032328621,0.032690208,0.03706279,0.036391519,0.041192714,0.039670248,0.044275645,0.043435622,0.051352691,0.050465122,0.057792302,0.058097072,0.064562984,0.064562984,0.07258673,0.071821213,0.078444906,0.077943601,0.091847666,0.091847666,0.105265915,0.104992047,0.118548892,0.118730754,0.144027442,0.144557893
257,-0.002632375,0.010311116,0.013033912,0.013371397,0.016824383,0.016465062,0.019090245,0.019027956,0.022116426,0.022248799,0.025887614,0.0254547,0.02845653,0.029200986,0.031732596,0.032014679,0.035971239,0.035944946,0.04118298,0.040507872,0.043851536,0.042835251,0.051025044,0.05224558,0.057601672,0.05783397,0.06565354,0.06565354,0.072460637,0.071977615,0.079424486,0.079372399,0.09269654,0.09269654,0.106653675,0.105883323,0.119626664,0.120275706,0.145187229,0.146716565
258,-0.002328454,0.011701984,0.014330498,0.01479547,0.018258683,0.017788373,0.021272777,0.020995708,0.023713103,0.023717942,0.027578417,0.02679703,0.030448938,0.029971654,0.034730528,0.03411255,0.038023878,0.037990227,0.042700913,0.042779718,0.046079729,0.045794666,0.053011954,0.053335369,0.059937272,0.061147448,0.068022646,0.068022646,0.07595706,0.075655282,0.082212985,0.082239792,0.096940391,0.096940391,0.110030398,0.10903541,0.123909764,0.124053478,0.150699154,0.151824698
259,-0.00196753,0.012774658,0.015564315,0.015187644,0.018464237,0.01858118,0.022152683,0.021989297,0.024821978,0.025444737,0.028652534,0.028779056,0.031471346,0.032305002,0.036014099,0.035555862,0.039989807,0.039578453,0.044653777,0.043749031,0.048083041,0.047187898,0.054764025,0.055887658,0.063179351,0.062741198,0.070785761,0.070785761,0.078433618,0.077115782,0.085198902,0.085241802,0.099612385,0.099612385,0.113517791,0.113259308,0.128265366,0.128786579,0.154826686,0.156622753
260,-0.002826075,0.012572952,0.015965508,0.016174143,0.018688047,0.018959373,0.021955179,0.022951595,0.02538603,0.025126457,0.028398573,0.028801462,0.031673618,0.03246244,0.036431998,0.035944074,0.040436838,0.039653346,0.045098342,0.044807777,0.047844779,0.047977712,0.056256976,0.056631707,0.062476907,0.063596338,0.072389133,0.072389133,0.080899492,0.079991922,0.087256782,0.08667814,0.102259539,0.102259539,0.116911724,0.115670651,0.131911665,0.131317407,0.160193399,0.160762385
261,-0.002865885,0.014119484,0.016005391,0.01608452,0.019992679,0.020788167,0.023796301,0.023689426,0.026903763,0.026378859,0.030498421,0.030626593,0.033637658,0.033668369,0.037421342,0.038621843,0.04178657,0.042020392,0.047558554,0.046338137,0.050610784,0.049893897,0.058888495,0.058986545,0.066126086,0.066559546,0.074523278,0.074523278,0.082913488,0.082200319,0.089844175,0.090285063,0.105723836,0.105723836,0.12141484,0.120761022,0.135311365,0.136027411,0.165970549,0.165191129
262,-0.001914442,0.015313737,0.017841287,0.018508023,0.021687336,0.022249479,0.025016513,0.025591169,0.02887488,0.028940618,0.031686455,0.032088723,0.035650916,0.036713038,0.040210653,0.039551005,0.044296142,0.045088377,0.049120508,0.047875557,0.052489106,0.052672211,0.060491964,0.061404966,0.069359899,0.069454387,0.07876499,0.07876499,0.086119391,0.085967056,0.093451664,0.093379669,0.109269887,0.109269887,0.124642737,0.124771923,0.14055334,0.141511455,0.170896068,0.170767978
263,-0.001104908,0.016096368,0.019209089,0.019478738,0.022971436,0.02367912,0.027563054,0.026918193,0.030574264,0.029624017,0.034298938,0.033608373,0.037540935,0.037789285,0.041443303,0.041593719,0.046278697,0.046039004,0.051266227,0.050505798,0.054254521,0.054589778,0.062782861,0.063699827,0.07149101,0.072163381,0.080400117,0.080400117,0.089884512,0.088447578,0.096803367,0.097338855,0.113667958,0.113667958,0.129188642,0.129067689,0.144693002,0.145266548,0.177015469,0.176476479
264,-0.001901195,0.016562562,0.020261405,0.020617692,0.02434596,0.024387058,0.027427729,0.027766906,0.031230394,0.031783395,0.035580669,0.034691945,0.039549131,0.039187826,0.042806771,0.04314065,0.047896888,0.048034236,0.053810451,0.052415848,0.056182697,0.0571591,0.065400295,0.065738946,0.074236274,0.07426241,0.083216004,0.083216004,0.092528813,0.091630265,0.099748336,0.09983889,0.117516376,0.117516376,0.133157,0.132738143,0.149153188,0.149654642,0.181015506,0.182404131
265,-0.000568291,0.018216299,0.020993942,0.021536665,0.025098756,0.026345247,0.029035978,0.029699015,0.03370896,0.032972243,0.037672646,0.037004858,0.040857423,0.041321177,0.045299448,0.045191083,0.049939286,0.05041866,0.055941332,0.053394876,0.058767118,0.058854911,0.067843392,0.068271331,0.076973625,0.077185661,0.086001642,0.086001642,0.095153928,0.094607286,0.102747649,0.102983944,0.120327167,0.120327167,0.137367874,0.136092395,0.153176189,0.154898524,0.185645089,0.186629549
266,-0.002194598,0.018929955,0.022653436,0.02235431,0.026046593,0.025968265,0.029806215,0.029535593,0.03363033,0.032956798,0.037886411,0.037017766,0.041259889,0.04137516,0.046079297,0.045496363,0.050499082,0.0501973,0.056675889,0.054883998,0.059995223,0.060106661,0.069014803,0.069419876,0.077241227,0.078497939,0.087012701,0.087012701,0.096892208,0.095125183,0.104817927,0.105609268,0.122604616,0.122604616,0.139760286,0.139819115,0.156607047,0.156650424,0.188758448,0.189940572
267,-0.002043387,0.020695116,0.022688974,0.023047177,0.027544795,0.027740249,0.030997496,0.031369355,0.035523299,0.035209876,0.039453533,0.038861953,0.042974006,0.043180078,0.047434293,0.047781084,0.053240489,0.05199784,0.058857579,0.056959629,0.06169384,0.062497146,0.071340762,0.071268953,0.080227666,0.081147373,0.089088649,0.089088649,0.099273309,0.098328739,0.107455693,0.108230539,0.125925392,0.125925392,0.142784163,0.142807514,0.159958944,0.160378471,0.194174409,0.195368022
268,-0.001582989,0.021382811,0.024927268,0.024792269,0.029093105,0.029569702,0.033291686,0.032729812,0.037351824,0.036469892,0.040877987,0.040351667,0.044562642,0.045494437,0.049135871,0.049173005,0.05488006,0.054224048,0.060237098,0.059550114,0.063601702,0.064517669,0.074084371,0.074147925,0.083101235,0.083993413,0.091828406,0.091828406,0.101481795,0.102063261,0.111324966,0.111251354,0.129270762,0.129270762,0.146166906,0.14647691,0.16468896,0.165907696,0.199817166,0.200138673
