Wavelength (nm),H2O,prot5uM,nir_1,nir_1-2,nir_2,nir_2-2,nir_3,nir_3-2,nir_4,nir_4-2,nir_5,nir_5-2,nir_6,nir_6-2,nir_7,nir_7-2,nir_8,nir_8-2,nir_9,nir_9-2,nir_10,nir_10-2,nir_12,nir_12-2,nir_14,nir_14-2,nir_16,nir_16-2,nir_18,nir_18-2,nir_20,nir_20-2,nir_24,nir_24-2,nir_28,nir_28-2,nir_32,nir_32-2,nir_40,nir_40-2
250,-0.000699962,0.022429481,0.041096039,0.040420301,0.05981762,0.060384411,0.078011967,0.07821019,0.094629303,0.095519505,0.112989858,0.11257752,0.129991338,0.128474578,0.144909889,0.146101207,0.16298148,0.163612619,0.177625984,0.17826891,0.194362283,0.195070028,0.223375842,0.223418623,0.252135754,0.252192766,0.281947523,0.281257004,0.310209632,0.310017794,0.338125497,0.337060005,0.395068884,0.394505203,0.449514836,0.451036185,0.506381154,0.504965365,0.616522253,0.61334455
251,-0.000409995,0.022691401,0.040490825,0.04038405,0.059825253,0.058208376,0.075625665,0.075661533,0.093057193,0.092058636,0.110182501,0.110179134,0.126426578,0.125147179,0.14131999,0.140618488,0.155663386,0.155964598,0.171129555,0.171857968,0.185768202,0.186492205,0.21357511,0.212602764,0.241038591,0.240944579,0.26818943,0.266526908,0.296105355,0.29441908,0.321260721,0.319891363,0.374343723,0.37206623,0.424199015,0.424720556,0.477767617,0.475564808,0.579754293,0.576815665
252,-0.000758521,0.023628252,0.039914086,0.040667918,0.058746282,0.057913203,0.074599192,0.07411661,0.090958051,0.09023656,0.10655795,0.105851315,0.121425793,0.120260306,0.13541393,0.134954095,0.149439767,0.150340751,0.163479224,0.163928941,0.177972376,0.177203611,0.202617973,0.202233166,0.228602856,0.227593601,0.253671169,0.253287017,0.278006852,0.27788201,0.301998675,0.301098406,0.349717081,0.350119919,0.397928089,0.39893952,0.447707504,0.446882248,0.541610777,0.539727271
253,0.0004329,0.024936754,0.04101,0.040114224,0.057555005,0.05620547,0.072285905,0.07163199,0.087252133,0.086250745,0.102437876,0.101077519,0.115356796,0.114453875,0.128187612,0.129047573,0.142360091,0.142509103,0.155362457,0.155326441,0.168228239,0.168190599,0.189854264,0.191011652,0.214133114,0.214269489,0.23750858,0.236484334,0.26135397,0.259633362,0.282925278,0.281440318,0.327315927,0.3267169,0.370905429,0.372017175,0.415627688,0.414706618,0.502476633,0.498869002
254,-0.000549108,0.026074162,0.039281782,0.039559368,0.054529611,0.055687975,0.068616927,0.069274388,0.083930127,0.08271198,0.09655606,0.09599109,0.11036469,0.108583622,0.121706732,0.121406108,0.133229017,0.13451229,0.145600572,0.145971611,0.157282665,0.158114955,0.178900391,0.177900627,0.200449616,0.19952102,0.221098214,0.220964715,0.242066339,0.240803763,0.262387991,0.261043727,0.302502722,0.301961452,0.343291968,0.342908561,0.383129478,0.382898539,0.462805688,0.460252374
255,-0.000893751,0.027109757,0.040282104,0.040179871,0.053748395,0.054619662,0.066428311,0.066634141,0.079583801,0.079398133,0.09234947,0.091764323,0.103846408,0.102879249,0.114865206,0.114690989,0.126094759,0.12681146,0.137022585,0.137295395,0.1472276,0.147261828,0.166550845,0.167316839,0.187164158,0.186459959,0.205865219,0.205417335,0.224398851,0.223660603,0.243454397,0.242267385,0.279732645,0.279887617,0.316219539,0.316007882,0.353333563,0.35215044,0.425494999,0.423704982
256,0.000260595,0.029524565,0.041385923,0.041277908,0.054297786,0.053893115,0.066532366,0.066827454,0.07807254,0.078305908,0.090367317,0.089106478,0.10135033,0.100849509,0.110908486,0.11011225,0.12067847,0.120689139,0.130767435,0.131131217,0.141225055,0.140703335,0.157872379,0.158050776,0.176257432,0.175518155,0.193320766,0.193157136,0.210745797,0.209562033,0.22715795,0.225842431,0.259543806,0.259225339,0.293231398,0.29384017,0.326693028,0.325476736,0.391213,0.38917619
257,-0.000974909,0.029892752,0.041216765,0.041122872,0.053925615,0.053293224,0.064365193,0.063827269,0.074608713,0.074881539,0.085496239,0.085969582,0.095332406,0.095369808,0.10590671,0.104159489,0.113702498,0.114378542,0.124372274,0.123421781,0.133012399,0.132430777,0.148362473,0.146916717,0.163816556,0.164341733,0.179756627,0.178925201,0.194877878,0.195435524,0.209929496,0.209333986,0.239438638,0.23916629,0.268669754,0.269312054,0.299276084,0.298029691,0.357823342,0.355563998
258,0.000156198,0.032400072,0.043813568,0.043250591,0.054769605,0.054814801,0.06367483,0.064629518,0.074393578,0.07323084,0.083498523,0.084391519,0.092999086,0.092700191,0.101946838,0.101275705,0.109754615,0.110636659,0.117435291,0.118013285,0.126423121,0.126821473,0.140475839,0.140718371,0.155333847,0.154971719,0.168537527,0.168536112,0.182754085,0.181848034,0.195684299,0.195086852,0.222505003,0.222091347,0.250052989,0.248753563,0.275797606,0.274908423,0.327917576,0.325111598
259,-0.001163258,0.034370601,0.044917166,0.045544397,0.055163335,0.055371247,0.064034,0.064053498,0.073585339,0.073337667,0.08246731,0.08209113,0.090464383,0.089687958,0.097752959,0.098169081,0.104257911,0.105678141,0.112406768,0.113441721,0.120328292,0.119795464,0.13265565,0.132042825,0.144956365,0.145173669,0.157667607,0.157125518,0.170798555,0.16862382,0.181911871,0.181055099,0.20469889,0.204982817,0.228517458,0.229121462,0.252760619,0.250845939,0.298239768,0.295393139
260,-0.000455923,0.037033387,0.045510218,0.045463998,0.054161493,0.054019324,0.062136404,0.062611498,0.07035844,0.070205539,0.078671686,0.078571387,0.085396685,0.085430115,0.092137203,0.091971517,0.098854862,0.099221848,0.105198562,0.10537082,0.11305131,0.112426855,0.123711892,0.122700103,0.133987486,0.13392511,0.144687071,0.145046905,0.156289086,0.155609608,0.167120531,0.165632188,0.187537223,0.186261833,0.207240671,0.208246276,0.227390572,0.22621496,0.26801157,0.266399503
261,-0.000678407,0.038395356,0.045537382,0.046358269,0.054690383,0.053348072,0.061399717,0.061301302,0.068491012,0.06849847,0.075995326,0.07561063,0.082091227,0.081525542,0.088466369,0.087548308,0.09414421,0.094145849,0.099409454,0.09948314,0.105418004,0.104994722,0.115192004,0.115465082,0.125208825,0.124713138,0.134719431,0.134074956,0.144193664,0.143092796,0.152496994,0.152212814,0.170950979,0.170569837,0.187725037,0.187977925,0.206243008,0.204790548,0.240315467,0.239607647
262,-0.000587163,0.040864393,0.047981877,0.047448006,0.054780178,0.054213755,0.060628887,0.060100179,0.066803329,0.06715183,0.073593862,0.072854675,0.078389123,0.077742897,0.08373373,0.083810143,0.088080175,0.089759819,0.094215915,0.094574362,0.100029632,0.099144138,0.107244663,0.106629752,0.115974359,0.116463147,0.124897905,0.125426292,0.133493856,0.133192107,0.141803429,0.14078559,0.155802667,0.156030178,0.172025532,0.17301622,0.188094676,0.187278971,0.217736855,0.21643424
