Wavelength (nm),H2O,prot_1uM,mef_1-1,mef_1-2,mef_1-3,mef_2-1,mef_2-2,mef_2-3,mef_3-1,mef_3-2,mef_3-3,mef_4-1,mef_4-2,mef_4-3,mef_5-1,mef_5-2,mef_5-3,mef_6-1,mef_6-2,mef_6-3,mef_7-1,mef_7-2,mef_7-3,mef_8-1,mef_8-2,mef_8-3,mef_9-1,mef_9-2,mef_9-3,mef_10-1,mef_10-2,mef_10-3,mef_12-1,mef_12-2,mef_12-3,mef_14-1,mef_14-2,mef_14-3,mef_16-1,mef_16-2,mef_16-3,mef_18-1,mef_18-2,mef_18-3,mef_20-1,mef_20-2,mef_20-3,mef_24-1,mef_24-2,mef_24-3,mef_28-1,mef_28-2,mef_28-3,mef_32,mef_32-2,mef_32-3,mef_36-1,mef_36-2,mef_36-3,mef_40-1,mef_40-2,mef_40-3
250,-0.000153321,0.004667328,0.007140286,0.006983082,0.006731069,0.009241013,0.008322915,0.008868964,0.010698543,0.010213631,0.010691725,0.012552035,0.011902595,0.012393553,0.015120577,0.01536788,0.015835736,0.016534004,0.015878212,0.017692242,0.018606389,0.019180031,0.018061053,0.01970773,0.020491408,0.020739507,0.024344729,0.022879636,0.022653708,0.025000473,0.025946472,0.025432825,0.028849926,0.029478962,0.029319583,0.033331681,0.032091569,0.032550681,0.036735658,0.03691661,0.036707349,0.041470472,0.042590283,0.041728545,0.04587087,0.044599645,0.044904161,0.053141918,0.052867208,0.052124873,0.059968028,0.060819536,0.059750095,0.068528987,0.068293571,0.068425275,0.077531897,0.076185875,0.076115176,0.085636988,0.084640548,0.084695943
251,-0.000365563,0.006135792,0.007550179,0.006838294,0.007508669,0.009328097,0.008533085,0.009411363,0.011237575,0.010634474,0.010037403,0.013285126,0.012721238,0.012907492,0.014392947,0.015164805,0.015433884,0.016294342,0.016808778,0.016602958,0.018789129,0.018733801,0.018015828,0.020566989,0.020322597,0.020653225,0.024301199,0.023131425,0.022376576,0.024732389,0.024993069,0.025246087,0.028787935,0.029456411,0.02884727,0.032077521,0.031821441,0.03236245,0.035132065,0.03689846,0.036162674,0.041247163,0.041398425,0.040987726,0.043617468,0.042864051,0.043696411,0.050778002,0.051793378,0.051088631,0.059348416,0.058431461,0.057485942,0.066834517,0.065457962,0.066165574,0.074947484,0.07367038,0.073775783,0.083186686,0.082257591,0.081393108
252,-0.000370425,0.005325972,0.006690504,0.006587206,0.007236636,0.008895491,0.008888622,0.008669539,0.010379327,0.010411355,0.010423259,0.01230673,0.011828346,0.012496004,0.014147991,0.014765742,0.016529972,0.015558439,0.015359968,0.01605355,0.018447706,0.017952263,0.017578097,0.02001645,0.019905895,0.019804472,0.023815442,0.021995179,0.021182448,0.022621939,0.024220038,0.02353847,0.026919212,0.028057579,0.028120238,0.031009395,0.030677207,0.030993827,0.0343889,0.034833003,0.035213832,0.039547741,0.040468205,0.038941026,0.041665714,0.042090233,0.041678622,0.049678233,0.049871426,0.049276885,0.056296021,0.05648572,0.055103086,0.063919842,0.064024702,0.063855097,0.071221374,0.070726201,0.071353301,0.080500804,0.078954987,0.078316666
253,0.000108579,0.004820948,0.00720392,0.006796405,0.007656263,0.008693069,0.008694733,0.008580343,0.010575932,0.010835866,0.010269606,0.011998996,0.01206891,0.011369434,0.014042743,0.014675125,0.01498334,0.015006144,0.016435891,0.015902324,0.016955126,0.018034123,0.017750727,0.019133933,0.018846897,0.018927142,0.023632459,0.021176877,0.02044449,0.023238679,0.023285899,0.022600641,0.025979009,0.027990097,0.027331922,0.029874589,0.030216044,0.029840013,0.033221178,0.03449247,0.033269662,0.038436223,0.039119896,0.037834443,0.041268628,0.040857423,0.039429184,0.047849547,0.048376326,0.048622761,0.054693498,0.055543542,0.055351779,0.062831923,0.061765336,0.061797388,0.0704353,0.069400012,0.069675356,0.077704728,0.077046752,0.076350152
254,-0.000638758,0.005696202,0.006702124,0.007639059,0.007992362,0.008777667,0.009169227,0.008533639,0.01095502,0.010011866,0.010096217,0.011835289,0.011741797,0.011642846,0.013702171,0.013539476,0.014851183,0.015001266,0.016481087,0.015401377,0.018004792,0.017964754,0.016829174,0.01933925,0.019274652,0.018788129,0.022441611,0.020466333,0.019811841,0.022674382,0.023663923,0.022690909,0.026916789,0.027352873,0.02614459,0.030808019,0.029283443,0.030327007,0.033434946,0.033886638,0.033158951,0.037687749,0.038922649,0.037422977,0.040387232,0.04007218,0.04024101,0.048123702,0.047691513,0.046672843,0.05485072,0.054269422,0.054372884,0.062543899,0.062191453,0.062445346,0.068655282,0.068924785,0.06835819,0.076968029,0.07674817,0.075299732
255,-0.000898917,0.006332848,0.007107156,0.007692859,0.008809656,0.00901792,0.009034147,0.009153945,0.010626728,0.010896514,0.010603013,0.012038995,0.012272752,0.011609105,0.013569628,0.013395396,0.015089246,0.014832432,0.015189494,0.015006545,0.017087387,0.017876109,0.0174725,0.018820433,0.018150086,0.018662078,0.022830686,0.021273701,0.021571539,0.02292949,0.023906538,0.023070052,0.026137689,0.026531219,0.026388101,0.029511044,0.028973574,0.029854404,0.033065785,0.033144508,0.032453377,0.038266793,0.038880918,0.037431445,0.041261252,0.040081888,0.039848283,0.047040954,0.04724605,0.047065791,0.054933466,0.05399514,0.053476434,0.062179416,0.061003122,0.06178781,0.068866111,0.068344742,0.068301842,0.076882124,0.075793304,0.075093478
256,-0.000235602,0.005953494,0.007983107,0.008117147,0.007746588,0.009719863,0.009715416,0.009448452,0.011241081,0.0104279,0.011070383,0.013144839,0.013099136,0.011876948,0.014482516,0.014391663,0.015192121,0.015197643,0.015948966,0.01570772,0.017390044,0.018368118,0.01725279,0.019825904,0.019545073,0.018773425,0.023543635,0.021534108,0.021431569,0.023569953,0.024042057,0.022598187,0.026100468,0.027490463,0.026799949,0.030334668,0.030245878,0.031065086,0.033366818,0.033045977,0.03339041,0.038390774,0.03846224,0.038187925,0.04149041,0.041332938,0.040151704,0.047650866,0.048743855,0.047866713,0.055565722,0.055282772,0.054053333,0.061702672,0.06238623,0.062441938,0.069495149,0.069950998,0.069023632,0.077529728,0.076661654,0.07521911
257,-0.000436891,0.006591621,0.008034524,0.007150286,0.007714966,0.010244878,0.009004812,0.009692862,0.01083223,0.01154966,0.010870157,0.013237379,0.012241918,0.01201672,0.014154543,0.014929138,0.01628902,0.016164256,0.016068028,0.016428581,0.017257934,0.018696317,0.017903974,0.019575184,0.019617565,0.020416625,0.023641972,0.021027224,0.021010678,0.023141226,0.024635449,0.023840846,0.026020316,0.027968589,0.027452132,0.030058308,0.030574126,0.030840088,0.034526635,0.034028918,0.034359787,0.038934655,0.039846186,0.038273804,0.042671267,0.040910892,0.041483998,0.048426826,0.048823535,0.048748229,0.055059478,0.055416033,0.054845992,0.062733777,0.062457956,0.062893309,0.07085944,0.071076922,0.070714682,0.07899116,0.077459022,0.077673897
258,-0.000891116,0.007018885,0.00872286,0.008615406,0.009102951,0.010316047,0.01020743,0.0097057,0.011549288,0.011016083,0.011952589,0.013838363,0.013324629,0.01332898,0.015515352,0.014806077,0.016587304,0.016064482,0.016589833,0.016904283,0.017995214,0.019190177,0.018267296,0.020236209,0.020494854,0.019799948,0.025197584,0.022708312,0.022694346,0.024003919,0.025576396,0.024967406,0.02773796,0.027981373,0.028249092,0.031894144,0.03087919,0.031490661,0.03522585,0.035242945,0.035138156,0.039916839,0.04044411,0.039740052,0.042436723,0.042642366,0.042227093,0.050409939,0.049858909,0.048808385,0.057804514,0.057061553,0.056547873,0.065098688,0.064518414,0.064436048,0.071811229,0.072542831,0.071737207,0.080804728,0.079905629,0.079454944
259,-0.000859443,0.007813131,0.009761452,0.010174119,0.010562059,0.010845022,0.011831219,0.011818185,0.012849736,0.01312907,0.012962829,0.015563,0.014328892,0.014415531,0.016406132,0.016686151,0.017463338,0.018086258,0.017590282,0.018286115,0.020051746,0.021085644,0.019872429,0.021969473,0.021940203,0.021902658,0.026107725,0.024251433,0.023349568,0.026368737,0.026717493,0.026530037,0.029467603,0.029460538,0.029871151,0.033774287,0.03241583,0.033594556,0.037345365,0.037958782,0.036163799,0.041736726,0.043576028,0.041969921,0.044552889,0.044797331,0.044477258,0.052220646,0.05191122,0.052268878,0.059480231,0.060492795,0.058570463,0.066662177,0.066927969,0.0671838,0.075289324,0.074535318,0.074346632,0.083218388,0.082402654,0.081456617
