Wavelength (nm),H2O,prot_5uM,mef_1-1,mef_1-2,mef_1-3,mef_2-1,mef_2-2,mef_2-3,mef_3-1,mef_3-2,mef_3-3,mef_4-1,mef_4-2,mef_4-3,mef_5-1,mef_5-2,mef_5-3,mef_6-1,mef_6-2,mef_6-3,mef_7-1,mef_7-2,mef_7-3,mef_8-1,mef_8-2,mef_8-3,mef_9-1,mef_9-2,mef_9-3,mef_10-1,mef_10-2,mef_10-3,mef_12,mef_12-2,mef_12-3,mef_14,mef_14-2,mef_14-3,mef_16-1,mef_16-2,mef_16-3,mef_18-1,mef_18-2,mef_18-3,mef_20-1,mef_20-2,mef_20-3,mef_24-1,mef_24-2,mef_24-3,mef_28-1,mef_28-2,mef_28-3,mef_32,mef_32-2,mef_32-3,mef_36-1,mef_36-2,mef_36-3,mef_40,mef_40-2,mef_40-3
250,-0.001883618,0.02142526,0.029486552,0.028350795,0.028861573,0.03566429,0.035076272,0.035538077,0.041921254,0.04174462,0.041523077,0.048963521,0.049287468,0.047765136,0.05534431,0.054553002,0.055288181,0.062688529,0.062895194,0.064087495,0.070204996,0.069486313,0.070391499,0.076028697,0.075351827,0.076314077,0.084925033,0.082591712,0.083118446,0.09096536,0.091140054,0.091748722,0.106246576,0.104789391,0.105323412,0.121569783,0.120487802,0.120531842,0.135038763,0.137250543,0.135596976,0.150923193,0.150505558,0.150266767,0.167597756,0.166932493,0.166358411,0.19824706,0.197057307,0.197349325,0.229334608,0.227600992,0.229761586,0.258578777,0.257843763,0.257146776,0.28830412,0.291151464,0.287302315,0.317663699,0.31728068,0.31706211
251,-0.001409686,0.022497578,0.031100038,0.029618723,0.030647928,0.03543875,0.036831871,0.036601108,0.043281335,0.043050345,0.042790659,0.050484836,0.049845003,0.049874704,0.057291489,0.056498013,0.05654861,0.064791165,0.064001031,0.06424503,0.070944592,0.07032907,0.070581429,0.076582782,0.076972976,0.077097759,0.085679397,0.084186338,0.08472234,0.093695536,0.091266066,0.093303315,0.107648388,0.105101407,0.105836287,0.122391038,0.122726508,0.121888682,0.136410192,0.139209449,0.136711285,0.152800202,0.152943745,0.151414558,0.168152168,0.167959526,0.167077258,0.198571011,0.198255152,0.198679879,0.230573326,0.229712769,0.229784653,0.260565758,0.258743137,0.259153366,0.288639963,0.29346779,0.288685739,0.318049938,0.317169547,0.317290545
252,-0.002228027,0.023131479,0.031677932,0.030572765,0.030837253,0.036234479,0.037294984,0.037356228,0.043209072,0.044353563,0.042571582,0.050325524,0.050255448,0.048965286,0.056964498,0.056148995,0.056163635,0.063560702,0.063867874,0.064051762,0.071432419,0.069787093,0.070693485,0.077101901,0.076271184,0.076570868,0.084775232,0.084807545,0.083902769,0.092514686,0.091113292,0.092757881,0.105733678,0.106751703,0.106445476,0.122386508,0.12209481,0.121787213,0.135833889,0.138388291,0.136620283,0.151240274,0.151295826,0.151217863,0.168118209,0.167566389,0.167142823,0.198076248,0.198937669,0.197544903,0.229900003,0.229029164,0.231051981,0.259383142,0.258305192,0.259700835,0.289166123,0.29288429,0.288295627,0.317515969,0.316017449,0.316491038
253,-0.00239807,0.024011578,0.03224653,0.030582486,0.030843312,0.037018612,0.036859401,0.036762562,0.043568417,0.043264631,0.043956101,0.049935568,0.049663808,0.048913077,0.056726415,0.054833245,0.055986062,0.063408539,0.062800035,0.063220754,0.070335127,0.069411129,0.069147736,0.076494917,0.075674169,0.07560432,0.084989473,0.083199732,0.083737843,0.091528147,0.090308741,0.09131024,0.105193481,0.105285443,0.105395928,0.121887684,0.121204749,0.120273762,0.135144904,0.136238739,0.135601953,0.151371896,0.150869012,0.150826797,0.16743657,0.167193607,0.166443318,0.198396757,0.198872238,0.198090553,0.229884714,0.22929813,0.229617715,0.259227425,0.258228093,0.258699268,0.290260434,0.293333232,0.288222879,0.318336725,0.317969382,0.317935646
254,-0.001788141,0.025442157,0.03363061,0.033002015,0.032714657,0.037862659,0.038272645,0.037889801,0.044028342,0.044909615,0.044423636,0.051721405,0.050507922,0.050401218,0.057754129,0.056484953,0.057916515,0.064292483,0.064124003,0.06492497,0.070572324,0.070180073,0.069702923,0.076880947,0.07713443,0.077588499,0.08587639,0.084196709,0.083790801,0.092888944,0.091429695,0.092963651,0.107379712,0.106508061,0.106930904,0.123105638,0.122315213,0.121829286,0.138072133,0.139514789,0.137386665,0.153070733,0.153384641,0.152190015,0.171166524,0.17010136,0.169478029,0.201176867,0.201711983,0.201322272,0.23337397,0.232820079,0.233005032,0.263920158,0.262511909,0.262957811,0.293631017,0.297818124,0.292345733,0.324346274,0.322906733,0.323126793
255,-0.001469233,0.026191577,0.034704901,0.033505462,0.033684652,0.039112136,0.038884431,0.039294615,0.045795009,0.045068275,0.045668982,0.052338604,0.051672742,0.051445495,0.058010466,0.05783784,0.058678273,0.065534957,0.065035902,0.065866329,0.07219132,0.070566565,0.071257703,0.078167669,0.07850045,0.078244783,0.086046234,0.086193256,0.085239567,0.093104474,0.093396097,0.094222605,0.108613141,0.107881621,0.108060859,0.125475392,0.124936871,0.123959005,0.140204534,0.14167206,0.140527934,0.156344473,0.157346517,0.154675305,0.174734429,0.172962606,0.172443643,0.205083922,0.205040798,0.204550892,0.238804117,0.238230094,0.238285929,0.269200593,0.269213319,0.269582421,0.300759971,0.304430664,0.29905349,0.331404477,0.330498219,0.329646677
256,-0.002087339,0.027933998,0.035837572,0.034892298,0.034979802,0.040736828,0.041506957,0.041064087,0.047549106,0.046286561,0.046948709,0.053977408,0.053660281,0.053099558,0.060207453,0.059850357,0.060489196,0.06703268,0.067079231,0.067637168,0.074254267,0.074417353,0.073424377,0.08074259,0.080664322,0.080819942,0.08897686,0.087816231,0.088182181,0.09684588,0.09631148,0.096138418,0.112075821,0.111445703,0.112393186,0.128931597,0.128441557,0.127975926,0.144655541,0.145094991,0.144327283,0.160475582,0.161581993,0.160574481,0.179503039,0.178132892,0.177622214,0.212063044,0.211066797,0.210987479,0.24499543,0.245505884,0.245049894,0.276413351,0.276284128,0.277384073,0.309752584,0.314222187,0.308876157,0.342528284,0.341276795,0.340840191
257,-0.001541669,0.030789789,0.039014906,0.036568582,0.037195001,0.043482028,0.042386461,0.044244833,0.049086452,0.050747976,0.04993888,0.057084933,0.056703113,0.056031443,0.063892372,0.063739039,0.063412666,0.070567206,0.070776016,0.070797585,0.077935115,0.077548914,0.076912589,0.084698588,0.084965356,0.085412912,0.093949638,0.091731936,0.091789551,0.101522379,0.100500405,0.10166999,0.116972275,0.115654707,0.116179019,0.134648591,0.134359613,0.133736819,0.150482506,0.151654914,0.151041567,0.166949332,0.167817444,0.166533634,0.186601073,0.185796782,0.184962645,0.219736368,0.220171884,0.219233647,0.255925953,0.255102366,0.254542172,0.287727237,0.286697894,0.287541151,0.322773784,0.324999094,0.319398999,0.354580075,0.354210347,0.352973998
258,-0.00182588,0.032702405,0.04156398,0.039847832,0.04078795,0.04722631,0.047213294,0.046001647,0.05304477,0.052995432,0.053877965,0.059898969,0.060488064,0.059120234,0.067171954,0.067210637,0.066069566,0.075077385,0.074993663,0.075032093,0.082846195,0.081980504,0.08128719,0.088981599,0.08920256,0.089073077,0.09819027,0.096200757,0.096502751,0.105377354,0.105857991,0.106320202,0.122955471,0.12186034,0.122169092,0.140016928,0.140063807,0.139100984,0.15672034,0.157713905,0.156831384,0.17517674,0.174609959,0.174025849,0.194213644,0.192954004,0.19301407,0.229061097,0.228398889,0.228543088,0.265023321,0.265495002,0.26510796,0.299314976,0.298178196,0.298843861,0.334440917,0.338451445,0.332514584,0.367565721,0.36695683,0.366582304
259,-0.002332883,0.034783922,0.043116838,0.041933913,0.041610841,0.048351645,0.04816049,0.04789079,0.055172391,0.05552892,0.055368189,0.063185364,0.061453599,0.062208928,0.070604637,0.069855005,0.069562353,0.077986814,0.076978013,0.077869669,0.084803522,0.083892658,0.083504014,0.092297025,0.091577142,0.091818973,0.101195045,0.100273356,0.100128889,0.11001803,0.109193459,0.109910056,0.127193064,0.125381261,0.126686543,0.145340517,0.145130709,0.144475818,0.16283612,0.164587766,0.162665248,0.180951104,0.180734217,0.179005638,0.201302141,0.199934557,0.199745044,0.236622676,0.236399949,0.236094371,0.274132252,0.274721772,0.273235261,0.309056401,0.308463365,0.308900982,0.347390175,0.350427628,0.345043808,0.38113901,0.379976004,0.379315287
260,-0.002243942,0.036658335,0.046043206,0.044254262,0.043877482,0.051214784,0.051564086,0.051191196,0.058724709,0.058703106,0.058742311,0.065825872,0.065836832,0.0654926,0.073634654,0.073615976,0.072687924,0.081105463,0.08051274,0.082378931,0.089096531,0.088839054,0.088347726,0.095775418,0.095986247,0.096169941,0.106040388,0.104609527,0.103507824,0.114415363,0.113180757,0.114128232,0.132068828,0.131474838,0.131364867,0.151200742,0.150639132,0.15041621,0.169315413,0.170560911,0.169216231,0.188571751,0.188481122,0.187855274,0.209062308,0.207525477,0.207413584,0.245099694,0.245852456,0.24509728,0.284870356,0.284628987,0.285402864,0.322051287,0.321309179,0.321545929,0.35985747,0.362443149,0.357804,0.395305991,0.394275904,0.394065172
