Wavelength (nm),H2O,prot_30uM,vel_1-1,vel_1-2,vel_1-3,vel_2-1,vel_2-2,vel_2-3,vel_3-1,vel_3-2,vel_3-3,vel_4-1,vel_4-2,vel_4-3,vel_5-1,vel_5-2,vel_5-3,vel_6-1,vel_6-2,vel_6-3,vel_7-1,vel_7-2,vel_7-3,vel_8-1,vel_8-2,vel_8-3,vel_9-1,vel_9-2,vel_9-3,vel_10-1,vel_10-2,vel_10-3,vel_12-1,vel_12-2,vel_12-3,vel_14-1,vel_14-2,vel_14-3,vel_16-1,vel_16-2,vel_16-3,vel_18-1,vel_18-2,vel_18-3,vel_20-1,vel_20-2,vel_20-3,vel_24-1,vel_24-2,vel_24-3,vel_28-1,vel_28-2,vel_28-3,vel_32-1,vel_32-2,vel_32-3
250,0.00099747,0.142325416,0.169953719,0.170771048,0.170513898,0.198764473,0.199980289,0.19890964,0.22859177,0.228235409,0.228727281,0.259829372,0.260121584,0.259391874,0.291121453,0.289357752,0.289744496,0.32009992,0.319742054,0.319800049,0.351425558,0.350041866,0.350179285,0.378704161,0.378011614,0.377553582,0.407243133,0.405739218,0.407289714,0.436384291,0.434454501,0.4356502,0.489275694,0.487533331,0.488952249,0.543213069,0.539314449,0.54023695,0.596869826,0.596412718,0.59606725,0.651583672,0.650350869,0.647640824,0.70330739,0.70170027,0.701291978,0.763309777,0.761423945,0.762457192,0.860477686,0.861353457,0.861215651,0.959655583,0.957477629,0.957183898
251,6.68E-05,0.144205272,0.173978657,0.173330829,0.174374595,0.204359159,0.203505084,0.203982741,0.235474363,0.236057952,0.235831872,0.26943782,0.268277854,0.26849407,0.300296754,0.300472975,0.299126893,0.332517743,0.330646426,0.331859648,0.364657462,0.363334537,0.364074737,0.394463599,0.394785017,0.393237174,0.423823297,0.423806369,0.423646867,0.455595434,0.455614001,0.454883725,0.511494935,0.510866165,0.510543525,0.566074729,0.567297161,0.565357387,0.624867678,0.625180721,0.625300825,0.683722377,0.68337816,0.681107342,0.737523377,0.738898993,0.736999869,0.801275551,0.803470731,0.800509632,0.906301081,0.907104909,0.90732789,1.011787176,1.010122895,1.011763573
252,-0.000400944,0.149457648,0.180288836,0.181121707,0.181604624,0.212921366,0.21381256,0.213341519,0.246379435,0.246987104,0.247719199,0.281532317,0.282672137,0.280787557,0.315095395,0.314995199,0.314996302,0.348640055,0.347673953,0.346802682,0.383053392,0.383182496,0.383620203,0.415370554,0.41428557,0.414416701,0.445988178,0.44657585,0.446796268,0.479159087,0.478879362,0.479565442,0.539322674,0.537304878,0.537637293,0.598464072,0.597960472,0.59697783,0.658697963,0.660163403,0.661162376,0.719739974,0.72110045,0.718667209,0.780970871,0.780613422,0.778724432,0.84613961,0.848160803,0.845971048,0.959958196,0.959159851,0.958635569,1.069705248,1.068609715,1.068009496
253,0.000146721,0.156372711,0.190068618,0.188856006,0.189108431,0.223281592,0.224608123,0.222981513,0.258619189,0.258883178,0.258502096,0.295755386,0.294772118,0.295081317,0.33072561,0.33101058,0.330769092,0.366219014,0.364937156,0.3655276,0.402696937,0.402608573,0.402465671,0.435605347,0.435327441,0.434908152,0.46931836,0.470174849,0.469861448,0.504701018,0.504726172,0.504790068,0.566514969,0.567148864,0.566060305,0.630934179,0.631093621,0.62953949,0.695630431,0.694893003,0.696098924,0.761811554,0.760995448,0.759932876,0.824181616,0.823908448,0.823372304,0.895674348,0.895665884,0.893468857,1.014606237,1.014985561,1.016334176,1.132226825,1.131022096,1.129439592
254,-0.001152776,0.16231449,0.196327806,0.196914911,0.196392536,0.232737914,0.232863262,0.232516736,0.269178897,0.269954473,0.271479577,0.309351385,0.307871103,0.309585273,0.345411867,0.347207457,0.345404506,0.383452386,0.381467521,0.382255793,0.421196401,0.420541704,0.42134735,0.456804544,0.45617488,0.455545872,0.493081391,0.491900265,0.490616411,0.530255735,0.527780414,0.528789341,0.596576512,0.593834877,0.595959187,0.663517833,0.661403477,0.662378967,0.730458558,0.731235921,0.732574999,0.799482584,0.801014841,0.799381495,0.86932528,0.868428111,0.8666628,0.943213999,0.943424523,0.94115305,1.070177555,1.068932176,1.069285393,1.193364859,1.190234423,1.190611959
255,-0.00026732,0.168927655,0.206910327,0.20597896,0.206201017,0.24375999,0.243242785,0.243854106,0.282629073,0.282604247,0.284080207,0.324889123,0.325870544,0.32394287,0.364042819,0.364341438,0.362359822,0.402613878,0.402051121,0.400936991,0.442656815,0.442587197,0.442887038,0.480872989,0.480144203,0.479981273,0.517251492,0.516263723,0.518169463,0.55671823,0.557046771,0.556721628,0.629264712,0.627585769,0.627620399,0.698928773,0.698015213,0.697300613,0.769460678,0.770231664,0.771732926,0.842987359,0.844056249,0.839579105,0.913478673,0.913866878,0.912388027,0.993924201,0.994871676,0.992476642,1.127892256,1.127988577,1.127578735,1.259341717,1.257149458,1.258689165
256,-0.000114401,0.178106874,0.21749641,0.218010634,0.217251092,0.25647518,0.257446528,0.257324547,0.298714161,0.298328728,0.298875421,0.342151493,0.34261027,0.341425031,0.382900715,0.383155584,0.38241753,0.424347818,0.424335569,0.423480094,0.467319667,0.46637091,0.46626091,0.506731689,0.506065965,0.505071819,0.546349406,0.544682145,0.545443296,0.587065518,0.585483193,0.586428344,0.662797272,0.660821199,0.660352111,0.737426996,0.735014081,0.734841347,0.813098848,0.810753048,0.811914444,0.888877809,0.890143096,0.888629019,0.962361097,0.963871837,0.962780118,1.049847722,1.046916366,1.047464132,1.188650131,1.186302185,1.189277291,1.329097986,1.330074906,1.326910496
257,-0.00026137,0.190653577,0.231747344,0.233118579,0.231514275,0.273693442,0.274374902,0.272976399,0.31748718,0.318589926,0.319739878,0.363245308,0.364990473,0.363505691,0.407166421,0.406860352,0.406357825,0.449905515,0.4490439,0.450192481,0.495173156,0.494794101,0.494693369,0.537486911,0.537048161,0.535830319,0.579690635,0.578148305,0.577761233,0.621101797,0.620544851,0.621230364,0.701018214,0.699971557,0.699539244,0.780317843,0.778846622,0.778502584,0.860343933,0.860000312,0.861208201,0.941152871,0.940988481,0.938713312,1.018872619,1.020068884,1.017218709,1.107162714,1.106592059,1.107581973,1.256092668,1.257635236,1.259479523,1.405359745,1.404595256,1.404651403
258,-0.001236829,0.205808163,0.24908115,0.248788908,0.248697385,0.293543965,0.293375492,0.292414337,0.339434922,0.340583831,0.341277659,0.387175858,0.388288409,0.386551052,0.432106644,0.433172166,0.432196081,0.478012323,0.47635895,0.477680475,0.525218308,0.524644435,0.524936616,0.568116427,0.568186283,0.567851841,0.613405824,0.612609267,0.613071501,0.658677042,0.658073306,0.657801449,0.740966678,0.739932478,0.741056204,0.82415241,0.822670698,0.822013676,0.908046246,0.909567952,0.909101844,0.991649151,0.993205667,0.990840137,1.074757457,1.076204538,1.072552085,1.170720577,1.169773459,1.171001434,1.32703495,1.325900912,1.326590896,1.483331203,1.478925824,1.479257941
259,-0.000551228,0.218862161,0.264811009,0.264620394,0.265375376,0.311393678,0.311825097,0.311310709,0.359434903,0.35962376,0.360975474,0.410895288,0.410896897,0.410203189,0.458073169,0.457760662,0.456758589,0.505373776,0.502955377,0.503281415,0.553515315,0.553081453,0.553028047,0.599557042,0.600034237,0.599250674,0.646509409,0.646213651,0.646397114,0.693847001,0.694697261,0.694495022,0.781619847,0.780962765,0.781571865,0.868438244,0.868273795,0.865441382,0.957249582,0.954897881,0.956755221,1.043377161,1.046388507,1.043614149,1.133591294,1.136572123,1.132634044,1.230353713,1.231190681,1.232019544,1.394672275,1.396557927,1.393411517,1.558584809,1.555801034,1.555274248
260,0.000180618,0.229781404,0.277480125,0.278289586,0.278053045,0.32739678,0.327041924,0.326227099,0.376526445,0.376640856,0.377969325,0.429560632,0.430137843,0.42943269,0.478009909,0.479434252,0.478478193,0.527337611,0.527309656,0.528914571,0.579559624,0.5791412,0.578569055,0.628625333,0.62704885,0.62768352,0.677062452,0.674723625,0.675557792,0.72435087,0.724608779,0.725720286,0.816551983,0.814880073,0.816154599,0.907327652,0.906386375,0.905517757,0.998374701,0.998472512,1.001599431,1.092272282,1.092596054,1.091994286,1.183410406,1.180164456,1.182887077,1.28674078,1.286483884,1.287689924,1.459669471,1.458465815,1.458081841,1.627989054,1.624368548,1.625702024
261,0.000804763,0.240512103,0.290202916,0.290457487,0.291141152,0.3413876,0.340704829,0.340665966,0.393202066,0.393346489,0.394683868,0.447553486,0.447590113,0.445905507,0.499200255,0.499096394,0.497140974,0.550182283,0.549701154,0.54968518,0.603191435,0.602734029,0.602097511,0.653351009,0.652768791,0.651744902,0.702884793,0.702693045,0.704571605,0.754591227,0.755696535,0.753926218,0.850430965,0.84953475,0.850004554,0.94438684,0.941958427,0.941007674,1.040161014,1.039989829,1.039600253,1.135692954,1.137099862,1.134034872,1.232402086,1.232579589,1.229634404,1.339909434,1.33857286,1.336213589,1.517377257,1.51642406,1.514337063,1.690146089,1.692760587,1.693552732
262,-0.000241294,0.251846373,0.302629113,0.303598046,0.303203255,0.354985863,0.354993463,0.353094071,0.409024894,0.409003019,0.410232931,0.463788062,0.463203132,0.46433112,0.51811415,0.516317546,0.516905665,0.570854187,0.568213463,0.570261478,0.625864387,0.624029815,0.62467736,0.67691195,0.676128566,0.675526798,0.729075015,0.727820873,0.727974355,0.780226529,0.781809807,0.78223908,0.88011086,0.878199637,0.879678071,0.975989044,0.976587832,0.975392282,1.076854825,1.076987267,1.079016924,1.177485704,1.177645206,1.174869657,1.275274277,1.273608923,1.274278402,1.3846457,1.383432984,1.384021163,1.567574739,1.570532084,1.569617033,1.755585313,1.750548363,1.757104397
263,-0.000924284,0.266340077,0.31778276,0.317186207,0.318184018,0.371447235,0.372109979,0.372115701,0.427200824,0.427159697,0.429020137,0.4842664,0.483440429,0.482699424,0.538342953,0.537707508,0.536066234,0.592264473,0.592137456,0.591795862,0.64846766,0.648755908,0.646973014,0.700989664,0.703172922,0.701745868,0.756518304,0.754099011,0.756107688,0.808502138,0.808798254,0.810600519,0.910604715,0.909493685,0.908664107,1.012425184,1.010941386,1.007701993,1.112586498,1.114729404,1.112604499,1.217307568,1.216324925,1.212888002,1.317780733,1.315480232,1.312577963,1.429796576,1.432562828,1.430602074,1.621772289,1.623338938,1.625132203,1.812449336,1.807143569,1.80377686
264,-0.000488918,0.282816827,0.335311443,0.335422963,0.335506141,0.391089439,0.391204,0.391068608,0.446108252,0.447445929,0.447628021,0.505266249,0.506221831,0.504405439,0.560330927,0.560974658,0.55921638,0.616730511,0.613847733,0.614998341,0.673317552,0.67253381,0.672808945,0.726625979,0.72589463,0.726834416,0.780732453,0.781146467,0.781619191,0.835515142,0.837215185,0.838822246,0.940415382,0.938809454,0.94069171,1.043812156,1.041900635,1.042461514,1.146806479,1.147764087,1.146871567,1.254157543,1.252995491,1.251466036,1.352911949,1.356091976,1.356922388,1.477962732,1.473795056,1.471156716,1.661417842,1.666573286,1.665839672,1.859741449,1.856181026,1.85773468
265,0.000817186,0.30075103,0.354761303,0.354497701,0.354561597,0.409440756,0.410617173,0.409036577,0.467304289,0.467169076,0.468903095,0.525938153,0.526586175,0.526410341,0.581456602,0.581490874,0.581828952,0.638088226,0.637213945,0.638156414,0.697799444,0.696362972,0.69604063,0.751917839,0.752284527,0.7504282,0.807363212,0.808017433,0.80702126,0.86374718,0.864527881,0.863562763,0.966956615,0.969127476,0.966422439,1.072894931,1.071424007,1.071195364,1.181643248,1.180040956,1.179328084,1.285746932,1.287685394,1.283561349,1.390619993,1.390287638,1.390619278,1.509878159,1.506554604,1.511074185,1.710090876,1.707355022,1.708045006,1.903096437,1.903915524,1.903591037
266,-0.000446045,0.313983321,0.368691951,0.368555844,0.368947625,0.424505413,0.424323708,0.424207836,0.482504368,0.483807743,0.485179246,0.542565763,0.543726146,0.542231917,0.599021137,0.600892425,0.597081542,0.656417549,0.65562439,0.654869914,0.716142654,0.714172959,0.715208471,0.769831181,0.770040095,0.770613551,0.827018023,0.826446235,0.82743907,0.883856416,0.883483291,0.88531059,0.991048038,0.991281509,0.989508927,1.097625017,1.094865084,1.094125509,1.202781677,1.204219222,1.203149438,1.31273675,1.313198686,1.31099236,1.418597937,1.418549895,1.418105125,1.543180346,1.539095283,1.538134933,1.74366641,1.739664912,1.742574453,1.939225316,1.932035685,1.936951518
