Wavelength (nm),H2O,prot_15uM,vel_4uM_1-1,vel_4uM_1-2,vel_4uM_1-3,vel_2-1,vel_2-2,vel_2-3,vel_3-1,vel_3-2,vel_3-3,vel_4-1,vel_4-2,vel_4-3,vel_5-1,vel_5-2,vel_5-3,vel_6-1,vel_6-2,vel_6-3,vel_7-1,vel_7-2,vel_7-3,vel_8-1,vel_8-2,vel_8-3,vel_9-1,vel_9-2,vel_9-3,vel_10-1,vel_10-2,vel_10-3,vel_12-1,vel_12-2,vel_12-3,vel_14-1,vel_14-2,vel_14-3,vel_16-1,vel_16-2,vel_16-3,vel_18-1,vel_18-2,vel_18-3,vel_20-1,vel_20-2,vel_20-3,vel_24-1,vel_24-2,vel_24-3,vel_28-1,vel_28-2,vel_28-3,vel_32-1,vel_32-2,vel_32-3,vel_36-1,vel_36-2,vel_36-3,vel_40-1,vel_40-2,vel_40-3
250,-0.001241527,0.070442364,0.085484669,0.086361676,0.084573798,0.100466177,0.099812508,0.099920437,0.112452209,0.111505032,0.112041645,0.124831408,0.124028608,0.123893164,0.139828578,0.1383297,0.138042927,0.151809424,0.151951611,0.152096361,0.169756144,0.1681481,0.169039339,0.183058739,0.182422221,0.183386788,0.198862627,0.197789446,0.19787547,0.210835353,0.210483298,0.210661575,0.23406592,0.231795952,0.231875673,0.256757379,0.256355077,0.255928159,0.278360695,0.278749049,0.278992385,0.301655114,0.301452786,0.301428527,0.325307816,0.327836335,0.324841797,0.368223131,0.367035329,0.366988063,0.409709305,0.409415156,0.410355717,0.453642994,0.452396572,0.453895539,0.496785671,0.496911079,0.496050805,0.539359212,0.537066758,0.538092017
251,-0.000529666,0.072541788,0.088230006,0.087559357,0.087935366,0.102735549,0.102262385,0.102446988,0.115151711,0.115977809,0.115082063,0.128723517,0.128142476,0.128959119,0.144880578,0.143433169,0.143323839,0.157344431,0.157075167,0.156512618,0.175012708,0.173419625,0.174479812,0.189077139,0.189174533,0.191071168,0.206221655,0.204715982,0.20449248,0.219455749,0.217403904,0.218409032,0.242001757,0.240838647,0.241012573,0.266580492,0.266496807,0.265875161,0.289451063,0.289564848,0.2900877,0.314344853,0.314412504,0.314810485,0.338680297,0.341709912,0.338207573,0.38534075,0.382332653,0.383702576,0.42890659,0.428181917,0.428926885,0.473941565,0.473779649,0.472959757,0.520823002,0.520322204,0.519030869,0.564067483,0.563648999,0.562554181
252,-0.00131684,0.075274549,0.092074156,0.091554418,0.090943977,0.106044687,0.106710263,0.107476778,0.119383566,0.120185807,0.11969953,0.133457914,0.133436695,0.133613735,0.150551722,0.148363814,0.147939757,0.163073957,0.163975418,0.162887082,0.182540476,0.18044965,0.181429744,0.196043491,0.19757843,0.197858393,0.214593813,0.211509511,0.212975889,0.227479681,0.226466134,0.227796063,0.252950788,0.25034532,0.251779944,0.278293818,0.278236151,0.277310431,0.30270952,0.301367044,0.302752137,0.328036338,0.328276247,0.327839643,0.353190184,0.355961323,0.353040099,0.401340216,0.401424259,0.401394099,0.447991818,0.448134005,0.448158979,0.496354073,0.496833444,0.496759117,0.545016527,0.544590175,0.545191586,0.592497349,0.590398669,0.591379702
253,-0.001462216,0.078552462,0.094596766,0.094559073,0.094287798,0.110101439,0.109824777,0.110365659,0.12498302,0.124829203,0.12431144,0.13933447,0.139012709,0.138457686,0.156776905,0.154573754,0.154735148,0.170770899,0.17063877,0.17015402,0.188444406,0.187673912,0.189838797,0.205110654,0.204493523,0.205711886,0.223003447,0.222150713,0.221601933,0.236705348,0.235589683,0.236309215,0.263660401,0.262101889,0.261882812,0.290881634,0.291120768,0.289062917,0.31580025,0.315704405,0.316548705,0.34356606,0.34302938,0.34463045,0.370712072,0.371182054,0.369124502,0.421169817,0.419055522,0.419710428,0.46842429,0.468454152,0.470977366,0.519966185,0.520266831,0.521385014,0.572105765,0.570234299,0.571934342,0.621517539,0.62059772,0.620734453
254,-0.001866452,0.081540219,0.099178776,0.098578125,0.098012529,0.114616938,0.115483247,0.114805013,0.129079804,0.129700959,0.128729016,0.144749418,0.145145208,0.1447763,0.162674129,0.160904765,0.161183059,0.177513555,0.177647144,0.177404285,0.197381586,0.196816206,0.19629921,0.214198098,0.212963641,0.21452941,0.232213959,0.231430203,0.230675116,0.247605234,0.24710685,0.246507406,0.275192946,0.272520512,0.274320424,0.303524822,0.303421468,0.301897556,0.330981493,0.330226332,0.332014322,0.358037263,0.359022498,0.360080749,0.387960196,0.389226168,0.386455923,0.44101125,0.439620018,0.439746946,0.491649807,0.491469383,0.493599385,0.545810103,0.54616487,0.545691788,0.600221753,0.599028885,0.600283563,0.652831316,0.651543617,0.6509794
255,-0.000703115,0.084395416,0.103265405,0.102943979,0.102214664,0.11980594,0.119224325,0.118892506,0.134394318,0.134101048,0.133882761,0.150906816,0.150592402,0.151092485,0.16916807,0.16767183,0.168846726,0.185454845,0.184881166,0.184352726,0.205652565,0.204884186,0.205461532,0.221667439,0.223596826,0.223407492,0.242257848,0.240270764,0.239917159,0.258196771,0.257211059,0.257269889,0.287164003,0.284247547,0.285830766,0.316077948,0.317346245,0.314989209,0.346789271,0.345479518,0.347281426,0.375653595,0.37529704,0.375466228,0.405263335,0.406131208,0.403753132,0.461682499,0.460528135,0.460815042,0.516376734,0.515478373,0.515547395,0.57207191,0.572262049,0.571809471,0.629019797,0.62743032,0.629080296,0.684649289,0.68222028,0.682951629
256,-0.001446942,0.088197626,0.107766978,0.107541733,0.106919743,0.125180468,0.125020579,0.125785902,0.142333612,0.140163064,0.141145721,0.157862932,0.158577487,0.15833582,0.17713584,0.176227912,0.176269352,0.192954689,0.193905219,0.194318548,0.214825079,0.214388892,0.215298995,0.234203592,0.234012976,0.234511569,0.253701538,0.252380818,0.252527893,0.270429075,0.268983513,0.269968361,0.301422387,0.298565209,0.299948067,0.332295954,0.334560514,0.331129402,0.363327384,0.362555295,0.363742441,0.392736524,0.393512309,0.394919723,0.425141126,0.426965505,0.422998548,0.484318346,0.481963813,0.483739883,0.541207492,0.541973054,0.543178856,0.601377308,0.601246238,0.601059496,0.661435306,0.659329951,0.658729553,0.719273388,0.717652857,0.717147708
257,-0.001434455,0.095960803,0.115896165,0.114509903,0.114822142,0.134037957,0.133791477,0.133896291,0.150480405,0.151074261,0.150977135,0.168274999,0.168608159,0.168493718,0.188983023,0.18606402,0.186949849,0.206147119,0.206285551,0.206153035,0.228575602,0.227025986,0.228395999,0.246500567,0.247349635,0.24825336,0.2663261,0.267382711,0.266638398,0.285635501,0.284987032,0.285390168,0.318518877,0.315313429,0.316695541,0.352375567,0.352086335,0.349665731,0.382998884,0.382462114,0.384848237,0.414630026,0.416542023,0.415731907,0.44821772,0.449679524,0.446695179,0.50970155,0.508988977,0.510199666,0.570254803,0.572132587,0.571481347,0.63357532,0.634676337,0.633129537,0.696231782,0.697458446,0.696843326,0.759030104,0.756887198,0.756289661
258,-0.002353634,0.10257525,0.121776797,0.122519456,0.122188814,0.14273195,0.141529486,0.142085046,0.159661755,0.159953177,0.159608483,0.178179666,0.178075969,0.178265348,0.199065507,0.197254822,0.19817932,0.217396259,0.217932716,0.2178137,0.239832208,0.239301235,0.241129503,0.260443866,0.260837585,0.261036843,0.281518251,0.280918717,0.281891137,0.301049411,0.300146014,0.300204873,0.335650623,0.332541198,0.333613098,0.369669855,0.370905668,0.367293567,0.403048217,0.402430505,0.403619856,0.437578142,0.436927021,0.438127399,0.471690923,0.472865701,0.470351458,0.536635697,0.533671379,0.535086215,0.600459099,0.600118876,0.600883603,0.666025162,0.666754425,0.664423764,0.732124746,0.731346846,0.731997848,0.79652524,0.793986559,0.794467151
259,-0.00188769,0.109310173,0.129906818,0.129576773,0.130037054,0.150527299,0.150044113,0.150196523,0.168911085,0.167861179,0.167810276,0.188114509,0.187623873,0.18751666,0.209479168,0.208045289,0.208274677,0.228596851,0.228039831,0.228653908,0.251790166,0.251692325,0.252329856,0.272878528,0.273431152,0.273881227,0.295754254,0.294786155,0.295276403,0.314105749,0.315233856,0.314556181,0.351863742,0.349330783,0.349626988,0.387499481,0.387010872,0.386568338,0.421677023,0.421265066,0.422178447,0.456948191,0.458281726,0.458946794,0.492917538,0.494830579,0.492850214,0.561330795,0.560754538,0.561353505,0.628022373,0.62975198,0.629932821,0.696633458,0.699375808,0.696848273,0.765227914,0.764632106,0.766057015,0.833317399,0.831885576,0.8322137
