Wavelength (nm),H2O,prot_20uM,vel_1-1,vel_1-2,vel_1-3,vel_2-1,vel_2-2,vel_2-3,vel_3-1,vel_3-2,vel_3-3,vel_4-1,vel_4-2,vel_4-3,vel_5-1,vel_5-2,vel_5-3,vel_6-1,vel_6-2,vel_6-3,vel_7-1,vel_7-2,vel_7-3,vel_8-1,vel_8-2,vel_8-3,vel_9-1,vel_9-2,vel_9-3,vel_10-1,vel_10-2,vel_10-3,vel_12-1,vel_12-2,vel_12-3,vel_14-1,vel_14-2,vel_14-3,vel_16-1,vel_16-2,vel_16-3,vel_18-1,vel_18-2,vel_18-3,vel_20-1,vel_20-2,vel_20-3,vel_24-1,vel_24-2,vel_24-3,vel_28-1,vel_28-2,vel_28-3,vel_32-1,vel_32-2,vel_32-3,vel_36-1,vel_36-2,vel_36-3,vel_40-1,vel_40-2,vel_40-3
250,-0.000426495,0.094673082,0.114033103,0.114150316,0.113360956,0.132361636,0.132536486,0.132722616,0.150870502,0.150289014,0.151165992,0.169835776,0.16903846,0.168538943,0.189347878,0.190036506,0.190211445,0.204107687,0.20297733,0.204372823,0.221644059,0.221015573,0.221789807,0.239892364,0.240098134,0.239030495,0.256279677,0.256230652,0.255081058,0.275013596,0.275321454,0.27465573,0.308567464,0.307897091,0.30719623,0.340311796,0.340948194,0.340516686,0.373660982,0.372883529,0.372745186,0.404733449,0.40585807,0.406564444,0.43815878,0.437312782,0.438091129,0.499979138,0.498898238,0.498894244,0.559291065,0.55887723,0.560313344,0.621394634,0.621062756,0.620892704,0.681602478,0.6819309,0.682927728,0.739978552,0.74001348,0.741961122
251,-6.62E-05,0.096949421,0.116979733,0.117378503,0.117129952,0.13695012,0.137266204,0.137113467,0.155773863,0.156328782,0.155767754,0.174954578,0.174392507,0.175221682,0.195920706,0.196501583,0.196387738,0.211502597,0.211473241,0.213009164,0.230636671,0.230451331,0.23051773,0.249254763,0.249675676,0.249229595,0.266691387,0.2675502,0.267643869,0.28780973,0.286970973,0.285945386,0.32119754,0.322913468,0.320931941,0.356215805,0.357062548,0.356901228,0.391205788,0.390623421,0.3905904,0.424852788,0.425193548,0.425329357,0.459110469,0.458613753,0.459794164,0.525511742,0.523765564,0.526435494,0.589130223,0.589292586,0.588889599,0.653077364,0.652412117,0.652746022,0.71720767,0.717258215,0.717765331,0.780050874,0.7790851,0.778392196
252,0.000358254,0.100895882,0.121480815,0.121625096,0.120738559,0.141867489,0.141714916,0.14211075,0.162065268,0.162209705,0.161642119,0.181879044,0.183306992,0.18224299,0.203277171,0.20430474,0.204413027,0.221025348,0.220970407,0.220842421,0.24116537,0.240794763,0.240541145,0.260142803,0.259734303,0.259703636,0.278935164,0.279944181,0.280237407,0.301257104,0.299669802,0.299770802,0.338061363,0.33693254,0.336895585,0.374247968,0.373827279,0.374075294,0.410816848,0.409875512,0.408877283,0.446002334,0.44657591,0.447271854,0.482077301,0.48180598,0.482329398,0.552230358,0.551017284,0.552506983,0.620173872,0.620130181,0.621138752,0.689493477,0.686977208,0.68778944,0.756255746,0.754439473,0.756935656,0.824042201,0.822506964,0.823395431
253,-0.000352113,0.104609788,0.126620472,0.12673448,0.126851603,0.147948638,0.147991002,0.14886488,0.168385491,0.169983193,0.168280557,0.190767348,0.190084621,0.19013764,0.212734431,0.213359043,0.212822229,0.231343672,0.231032416,0.230808094,0.251784325,0.251895428,0.251165211,0.272826642,0.272580028,0.272276491,0.291685909,0.292544454,0.292184085,0.314430833,0.31553942,0.313793123,0.353677601,0.354374826,0.35391596,0.392459571,0.392123252,0.392228901,0.431720197,0.430528402,0.429002345,0.468606621,0.468958378,0.470539242,0.507093549,0.507368624,0.507395327,0.579814315,0.580183983,0.581163704,0.653777182,0.652545333,0.654087305,0.725621283,0.724296987,0.724179626,0.797658563,0.798955977,0.797085166,0.868454278,0.86897409,0.867016554
254,-0.000222252,0.108070321,0.131853804,0.131118715,0.132545099,0.153500438,0.155034035,0.154627889,0.175682917,0.17580016,0.17597051,0.198328838,0.197924867,0.198744878,0.222206578,0.222377732,0.222421542,0.241054282,0.241077781,0.241675496,0.264276087,0.262578934,0.263313472,0.284327477,0.285687089,0.285177529,0.305294842,0.306236684,0.307122052,0.330886036,0.33009246,0.328856587,0.3700248,0.370911151,0.370589554,0.411569536,0.41175437,0.41158244,0.45192185,0.451411367,0.452494055,0.492663115,0.492728055,0.493640363,0.532221437,0.532656491,0.533486962,0.610718548,0.610282064,0.611083269,0.687436223,0.688297868,0.688558638,0.763235271,0.762565076,0.762578845,0.839838207,0.840579152,0.838530779,0.914254427,0.914859831,0.91478461
255,0.000606491,0.112606399,0.137281433,0.137104601,0.137523115,0.160571083,0.160407648,0.160411805,0.183200926,0.182846323,0.183996543,0.207911655,0.207175732,0.20736301,0.232634902,0.231490761,0.233365059,0.25163269,0.252477795,0.253373057,0.275598556,0.274819493,0.275776357,0.297667325,0.29890269,0.297634214,0.32059747,0.320482403,0.321796,0.345750272,0.345715463,0.344987392,0.388163567,0.389472663,0.387831092,0.430727333,0.43017444,0.430766583,0.473445386,0.474265784,0.474354744,0.516132772,0.517181158,0.516923368,0.558728755,0.559993208,0.558496356,0.641159177,0.641763866,0.643062055,0.722172499,0.721309602,0.722254396,0.804188967,0.80385381,0.80146277,0.883931875,0.883832395,0.883441269,0.961915314,0.964237034,0.964325607
256,-0.00058132,0.118546851,0.144083053,0.144199655,0.143577755,0.168224737,0.169571921,0.168397695,0.192450285,0.193547308,0.192856491,0.217297494,0.218563616,0.217936307,0.24431479,0.24469088,0.244346365,0.264568269,0.265680939,0.265412241,0.291201115,0.28929311,0.289490879,0.31418103,0.313920528,0.313659608,0.337934256,0.337863326,0.3390432,0.364384323,0.3634758,0.362311095,0.408083975,0.408777952,0.407326162,0.45419535,0.453662992,0.453914374,0.498544991,0.498736888,0.49778825,0.542421103,0.543584645,0.544162691,0.589154899,0.589320898,0.588190436,0.676181555,0.676188886,0.676814199,0.758987308,0.759854436,0.761142194,0.846340835,0.845651925,0.844453573,0.932750642,0.931224883,0.931797981,1.014507413,1.017156959,1.013226271
257,0.001397344,0.128376022,0.154049158,0.15485841,0.155134007,0.180251911,0.180560157,0.181182206,0.205227703,0.20580022,0.205501959,0.232093096,0.231708512,0.232892335,0.259246647,0.258986533,0.260225117,0.282659024,0.282592088,0.282114804,0.309526056,0.308253139,0.308701694,0.333586574,0.335044861,0.334122747,0.358197749,0.359388322,0.35992226,0.385633171,0.385028333,0.384735644,0.432527542,0.432993919,0.431649,0.480184645,0.479107499,0.480027229,0.527179241,0.52750963,0.527435064,0.574854851,0.574887216,0.577007592,0.622050762,0.62392962,0.62261498,0.715222299,0.713127494,0.71466744,0.804107606,0.804686725,0.805088818,0.891769469,0.893568456,0.891899943,0.982859135,0.982929707,0.9850775,1.070884824,1.073763967,1.070174932
258,0.000398931,0.136437908,0.1648231,0.165270314,0.165009171,0.191778794,0.192137227,0.191989034,0.219250619,0.2191405,0.219410181,0.245630369,0.245606169,0.245826557,0.273456574,0.274919808,0.274977773,0.29855141,0.299136341,0.298054874,0.326589733,0.325016201,0.32697466,0.35161069,0.353204519,0.352547258,0.379502565,0.377926171,0.379691005,0.406784803,0.406372368,0.406720161,0.457063556,0.45564425,0.455751568,0.50540942,0.504161537,0.505795121,0.555527151,0.556337595,0.555860937,0.605629981,0.605987012,0.608595669,0.656365573,0.656339943,0.655987918,0.751637161,0.751505673,0.752637029,0.845941901,0.845812023,0.847389102,0.940068305,0.941023171,0.940698385,1.035726547,1.036825538,1.036803007,1.127544165,1.129963875,1.129954696
259,-0.000962409,0.146192208,0.174657255,0.174648747,0.17464751,0.203641087,0.203489989,0.203815997,0.231865794,0.231093451,0.231369034,0.260263145,0.259773016,0.259563029,0.289818406,0.290337205,0.291176885,0.315372139,0.314637095,0.315249383,0.344527513,0.343549937,0.343710482,0.37155363,0.371914238,0.371619821,0.398343712,0.399222583,0.398379803,0.427970082,0.426864058,0.427067906,0.480495036,0.479600102,0.47880587,0.531793118,0.531439483,0.532543957,0.584995508,0.584569097,0.583357394,0.638777316,0.637019932,0.637890101,0.688610613,0.690784335,0.688382328,0.790061474,0.789191246,0.790509045,0.888700783,0.889688432,0.88866353,0.989112139,0.988894224,0.986749947,1.086866617,1.086401224,1.087059259,1.184443593,1.187702775,1.184753299
