Wavelength [nm],TBS,599_400_2,599_402_4,599_404_6,599_406_8,599_408_10,599_410_12,TBS2,599_400_2,599_402_4,599_404_6,599_406_8,599_408_10,599_410_12
190,0.08756304,0.362534,0.4430356,0.7508798,0.5485311,0.666646,0.5113358,0.1427164,1.472098,1.129277,1.44706,1.452096,1.009646,1.155691
191,-0.07533312,0.151433,0.2256827,0.4102807,0.3211727,0.3657055,0.4841728,0.1692004,0.9200387,0.6403222,0.9471211,1.115339,0.7966475,1.407265
192,0.01579666,0.2188869,0.4410992,0.397923,0.493649,0.4924865,0.9110036,0.09773922,1.398136,0.7902098,0.9113932,0.9190645,0.793117,0.6263051
193,0.07378578,0.3590217,0.4259686,0.3590217,0.463757,0.6020598,1.50515,0.1249385,0.8061795,1.028028,1.50515,1.028028,1.028028,0.7269983
194,0.09563112,0.3619051,0.5220284,0.5724616,0.7772622,1.002199,1.48036,0.2201529,1.002058,1.177447,0.7666092,0.6371622,0.7721152,0.4528389
195,0.00870657,0.3251133,0.3760629,0.3212214,0.4717569,0.7709255,1.534708,0.07638311,0.6298652,1.06738,1.101393,1.273455,0.7821665,1.583997
196,-0.02308321,0.3408713,0.3936028,0.6079364,0.6185074,0.8858814,0.9798074,0.1221185,0.5722919,0.8733244,1.260485,1.275248,1.001172,1.215317
197,0.00605154,0.3829117,0.380168,0.9502444,0.5623059,0.9377661,1.561364,0.0774827,1.266602,1.092428,1.290843,1.574262,1.606817,0.7541375
198,0.05492067,0.3425293,0.3769794,0.6284666,0.6411295,0.7854438,0.9402041,0.07531452,0.7789383,0.975831,1.566979,1.622618,1.505175,1.01516
199,0.006530762,0.2738304,0.3803458,0.607563,0.5270181,1.043055,0.9094701,0.005908012,0.8616838,0.8111892,0.9170203,1.607829,0.8504419,1.6141
200,0.02234793,0.3938217,0.5404797,0.5764785,0.8218427,0.7902622,1.19327,0.03620005,1.166547,1.114614,1.241691,1.110227,1.706038,0.9129887
201,0.02404356,0.3630123,0.5356975,0.5649395,0.647296,0.7758737,0.9676657,0.0499835,0.8396711,1.259641,1.415389,1.191926,1.352059,1.241063
202,0.01708508,0.56709,0.6452374,0.8452587,1.004735,0.9995532,1.026179,0.03726673,1.125149,1.358751,1.81824,2.217119,1.871359,1.904369
203,0.02449417,0.7519403,0.9885359,1.081865,1.287471,1.434028,1.399245,0.06784391,1.770935,1.76958,1.823218,2.262818,1.992401,2.401394
204,0.01389885,0.9259324,1.277909,1.366298,1.570603,1.821717,1.928686,0.0467062,2.563316,2.388725,2.188249,1.872999,1.966074,2.371671
205,0.01392126,0.903944,1.359258,1.553852,1.642934,1.844736,1.802557,0.04714251,1.785777,2.116585,2.796093,2.181477,2.785273,2.489802
206,0.0119276,0.8953457,1.46043,1.697085,1.782385,1.844893,1.965671,0.04275656,2.264728,2.295808,2.531128,2.35096,2.862042,2.901253
207,0.01284266,0.8539081,1.471131,1.787272,2.02712,1.997167,2.121472,0.04175711,2.241882,2.445887,3.205417,2.522436,2.867611,3.368394
208,0.01316023,0.7998376,1.391487,1.829947,2.038579,2.165243,2.144743,0.04056025,2.294743,2.465878,2.743624,2.808784,2.939019,3.146763
209,0.01280785,0.749064,1.338464,1.823675,2.078685,2.296482,2.353141,0.04010868,2.474075,2.834543,3.343155,3.237043,3.061132,3.168533
210,0.01302147,0.6958437,1.255972,1.742536,2.071551,2.289476,2.361254,0.04014254,2.502024,2.829014,2.929276,3.270062,2.961574,3.385332
211,0.01324368,0.650269,1.183073,1.64716,1.999145,2.247792,2.326307,0.03977728,2.478671,2.534058,2.949424,2.876497,3.41847,3.507448
212,0.01288986,0.6107845,1.112329,1.570462,1.957377,2.20922,2.361917,0.03960562,2.490174,2.664622,2.922271,2.975267,3.920703,3.451011
213,0.01313448,0.5785904,1.052283,1.497739,1.8951,2.174428,2.347972,0.03937864,2.478062,2.671144,2.87473,3.06077,3.531586,3.505909
214,0.01310253,0.5501423,1.005428,1.439522,1.831116,2.158987,2.373318,0.03916645,2.577397,2.905412,3.261059,3.338808,3.420803,3.378274
215,0.01310301,0.524219,0.9583812,1.378231,1.764042,2.105212,2.355245,0.03888988,2.725386,2.929399,3.250754,3.363402,3.737036,3.62523
216,0.01306248,0.4993377,0.9135528,1.313383,1.688959,2.034245,2.293243,0.03855944,2.648102,2.745409,2.906739,3.149829,3.699142,3.9793
217,0.01312208,0.4790978,0.8766799,1.263879,1.630622,1.985566,2.254731,0.0382843,2.686962,2.87994,3.036491,3.383587,3.839459,4
218,0.01317358,0.4600711,0.8420901,1.213941,1.570318,1.925606,2.226943,0.03785849,2.726609,2.826393,3.164599,3.300259,3.664597,3.831806
219,0.01326799,0.4403591,0.8047037,1.161556,1.503329,1.852441,2.17579,0.03736067,2.69243,2.867253,3.22738,3.170156,3.55384,3.99959
220,0.0133543,0.4188919,0.7652316,1.104636,1.433715,1.774271,2.094272,0.0370698,2.748881,2.980034,3.277607,3.342576,3.889087,3.593809
221,0.01345634,0.3979049,0.7263393,1.049264,1.363946,1.694479,2.002302,0.03668118,2.754935,2.998357,3.302298,3.380509,3.761049,3.810627
222,0.01339149,0.3783822,0.6885328,0.9953794,1.294038,1.60914,1.905884,0.03618479,2.687743,3.032274,3.314682,3.419572,3.670988,3.891873
223,0.01336718,0.3600664,0.6539764,0.944859,1.229038,1.527061,1.813706,0.03564692,2.60319,2.98604,3.211146,3.331139,3.86909,3.913204
224,0.01334858,0.3420501,0.6192799,0.8946409,1.163852,1.44835,1.729514,0.03522968,2.54072,2.991528,3.240282,3.541221,4,4
225,0.01337528,0.3234954,0.584455,0.8424382,1.09647,1.36436,1.630444,0.03459311,2.45062,2.964469,3.362515,3.45661,3.6676,3.698206
226,0.01328278,0.3032956,0.5456767,0.7860503,1.024306,1.272017,1.521539,0.03387976,2.312728,3.002824,3.160908,3.51111,3.59781,3.785184
227,0.0133152,0.2824411,0.505631,0.7275214,0.9474239,1.175691,1.409587,0.03340054,2.172511,2.923315,3.273456,3.311535,3.723677,3.675778
228,0.01332569,0.2601719,0.4632831,0.6652589,0.8653159,1.073753,1.287148,0.03308296,2.00514,2.861141,3.133641,3.220253,3.464099,3.525824
229,0.01327133,0.2378659,0.4205856,0.6027713,0.7834568,0.9702029,1.163499,0.03234863,1.821234,2.726852,2.984318,3.1096,3.11557,3.213701
230,0.01318312,0.2155032,0.3776731,0.5389218,0.7010198,0.8651991,1.038555,0.03180552,1.634465,2.662327,2.943657,3.088901,3.408266,3.404513
231,0.01312208,0.193831,0.3360748,0.4780421,0.6208057,0.7634449,0.917593,0.0313158,1.447678,2.50493,3.07655,3.151463,3.456586,3.57397
232,0.0128684,0.1722078,0.2953582,0.41785,0.5410404,0.6627579,0.7969151,0.03084898,1.253988,2.26122,2.898606,3.143555,3.196701,3.271625
233,0.01295519,0.1524501,0.2572155,0.3619261,0.4675221,0.5694947,0.6850801,0.03041744,1.077129,2.003432,2.750135,3.024267,3.446348,3.586329
234,0.01293564,0.1337314,0.2214251,0.3090439,0.3987064,0.4816551,0.5796041,0.02976465,0.907371,1.697985,2.417798,2.83598,3.138461,3.330409
235,0.01273727,0.1167989,0.189558,0.2621427,0.3366528,0.4031916,0.48487,0.02928638,0.7545853,1.416825,2.056161,2.525164,3.002285,3.216165
236,0.01277781,0.102674,0.1621237,0.2217731,0.2835231,0.3359447,0.4039788,0.02887726,0.6240177,1.171607,1.705341,2.191092,2.602262,2.981758
237,0.01265717,0.09022999,0.1385412,0.1871557,0.2381134,0.2782001,0.3345537,0.02829313,0.5118814,0.9597387,1.40736,1.822737,2.265302,2.604406
238,0.01252317,0.08024359,0.1192846,0.1590738,0.2011304,0.2313151,0.2779098,0.02785587,0.4203091,0.785111,1.148442,1.501186,1.864516,2.164131
239,0.01229048,0.07176638,0.103405,0.1357327,0.1707692,0.192728,0.2316542,0.02714968,0.3454494,0.641705,0.9374719,1.224631,1.532341,1.802724
240,0.01220798,0.06511259,0.09097528,0.1175485,0.1468616,0.162231,0.1950531,0.02699614,0.2866769,0.5280933,0.7690754,1.004945,1.251754,1.472535
241,0.01235962,0.06039858,0.08141804,0.1034436,0.1277151,0.1386285,0.1664391,0.02664375,0.2401619,0.438508,0.6356206,0.8302751,1.033933,1.215863
242,0.01238108,0.05626678,0.07377434,0.09222603,0.1132932,0.1200967,0.1442547,0.02629328,0.2045774,0.3694696,0.5330319,0.6944256,0.8653374,1.017659
243,0.01206446,0.05301666,0.06778955,0.08334684,0.1013765,0.1051197,0.1264186,0.02570486,0.1764107,0.3147607,0.4515905,0.5877147,0.7327838,0.8602123
244,0.01228952,0.05075312,0.06335115,0.07679081,0.09281731,0.09443331,0.1136165,0.02579975,0.1555014,0.2743478,0.3903203,0.5069971,0.6319041,0.7405314
245,0.01215553,0.04909611,0.05999613,0.07209587,0.08659029,0.08653593,0.1039777,0.02564049,0.1405196,0.2451267,0.3469687,0.4497933,0.5607963,0.6560998
246,0.01226282,0.04786682,0.05803728,0.06906605,0.08246565,0.08158827,0.09751177,0.02570772,0.1304927,0.2251544,0.3170133,0.4096427,0.5113277,0.5971675
247,0.01250267,0.04719257,0.05653048,0.06706047,0.07977486,0.07826328,0.09348488,0.02584553,0.1240063,0.212307,0.298173,0.3848834,0.4801154,0.5598073
248,0.01231241,0.04672146,0.05579042,0.06573534,0.07791281,0.0757122,0.09070301,0.02570248,0.1196456,0.2041631,0.2855649,0.3681674,0.4589901,0.5344872
249,0.01233768,0.04639387,0.05506659,0.06474733,0.07662058,0.07419062,0.08885241,0.02562714,0.1166778,0.1988688,0.2777896,0.3578353,0.4454556,0.5192571
250,0.01222897,0.0463748,0.05503511,0.06451368,0.0763278,0.07402229,0.08849096,0.02569389,0.1163845,0.1981587,0.2770915,0.3570037,0.4447355,0.5178223
251,0.01211071,0.04656982,0.05536079,0.06515026,0.07720995,0.07520247,0.09000969,0.02553082,0.1190901,0.2031684,0.2842536,0.3666368,0.4570985,0.5320086
252,0.01223135,0.04697371,0.05616045,0.06637335,0.07872343,0.07725477,0.09224749,0.02549696,0.1231093,0.2110434,0.296124,0.3825054,0.476615,0.5554352
253,0.01219368,0.04723215,0.05691195,0.06738138,0.08003855,0.07914066,0.09446478,0.02544022,0.1267533,0.2185421,0.3072519,0.3971334,0.4950943,0.5770187
254,0.01214123,0.04756165,0.05721998,0.06817484,0.08105803,0.08071852,0.09615183,0.0253129,0.1297722,0.2246904,0.3166633,0.4095106,0.5106044,0.5948801
255,0.01214552,0.04791021,0.05784655,0.0691514,0.08248281,0.08250618,0.0983181,0.02513647,0.1334672,0.2318673,0.3276963,0.4243655,0.5294394,0.6173587
256,0.0122118,0.04835463,0.05904675,0.07083845,0.08461857,0.08546972,0.1018085,0.02511024,0.1391559,0.2429838,0.3445282,0.446569,0.5570827,0.650279
257,0.01213455,0.04918289,0.06063795,0.07294655,0.08751774,0.08977032,0.1067238,0.02486134,0.1471972,0.2589869,0.3688288,0.4789548,0.5973153,0.6978998
258,0.01210785,0.05002689,0.06212091,0.07561636,0.09102869,0.09460163,0.1121631,0.02447605,0.156826,0.2777491,0.3969564,0.5160718,0.6445394,0.7531075
259,0.01188993,0.05071068,0.06330729,0.07779074,0.09370136,0.09826994,0.1167045,0.02415085,0.1642694,0.2927294,0.4197254,0.5465221,0.6823077,0.7979188
260,0.01221848,0.05134392,0.06446218,0.07915545,0.0958128,0.1013117,0.1198692,0.02408838,0.1694751,0.3030825,0.4354305,0.5673466,0.7089949,0.8294077
261,0.01222992,0.05169582,0.06531048,0.08046627,0.09764576,0.1041503,0.1228986,0.02366924,0.1752486,0.314044,0.4518666,0.5888019,0.7366228,0.860846
262,0.01199913,0.05208969,0.06647921,0.0821228,0.1000276,0.1071749,0.1269412,0.02329874,0.181531,0.3266668,0.4715767,0.6147351,0.768271,0.8990879
263,0.01180267,0.052598,0.06738043,0.08411646,0.1027846,0.1111498,0.1315203,0.02291584,0.1893506,0.3426232,0.4954824,0.646265,0.8079596,0.9462872
264,0.01199913,0.05381155,0.0699234,0.08755922,0.1070538,0.1169286,0.1381063,0.02274275,0.2001667,0.3640018,0.5273895,0.688962,0.8615494,1.008842
265,0.01196909,0.05484486,0.07145786,0.08991289,0.1104856,0.1215487,0.1433492,0.02245474,0.2097807,0.3823609,0.55583,0.7267942,0.9074569,1.063517
