Wavelength [nm],HBST_398,599_2,599_4,599_6,599_8,599_10,599_12,TBS1,29N_2,29N_4,29N_6,29N_8,29N_10,29N_12,TBS2,131N_2,131N_4,131N_6,131N_8,131N_10,131N_12,TBS3,Nir599_2,Nir599_4,Nir599_6,Nir599_8,Nir599_10,Nir599_12,TBS4,F123A_2,F123A_4,F123A_6,F123A_8,F123A_10,F123A_12
190,-0.1551709,0.6249032,-0.1231599,0.1862445,0.2581096,0.9312286,0.950717,-0.4048939,0.2778296,0.9480395,0.6139989,0.3304172,0.4466119,0.3327074,-0.2866302,0.6757302,0.6253052,0.1524777,0.9652963,0.03743172,0.04545164,-0.01517963,0.3223329,-0.03797293,0.231554,0.2195444,-0.1758771,-0.01187563,0.03644466,0.02999735,0.6147528,-0.01721573,-0.1737018,-0.2899914,-0.06135559
191,-0.008505344,0.1515703,0.8856468,0.5937405,0.8678565,0.9146872,0.9110355,-0.3035512,0.5661149,0.9103584,0.9094253,0.2847948,0.4455862,0.2201362,-0.2106996,0.3124285,-0.02810764,0.07142639,-0.06143141,-0.04455805,-0.04505444,0.1243925,-0.02950048,0.01639652,-0.1624622,-0.0801034,-0.2648005,-0.317977,-0.1675763,-0.04043198,0.4387388,-0.08631468,-0.2365055,-0.3716168,-0.3384604
192,0.03855038,0.1708522,0.3117156,0.3018889,1.08708,0.7767205,0.608602,-0.1783385,1.084099,0.6103287,0.7725677,1.074302,0.2899508,0.1675291,-0.200901,0.4654827,0.4632158,0.1634684,0.3597636,0.1162405,0.07147646,0.04024029,0.1632318,0.06264782,0.3638191,0.2225008,-0.133461,-0.008285522,-0.00434351,0.1123881,0.5976067,0.0256772,-0.131876,-0.158608,-0.1600142
193,-0.0746336,0.3010297,0.2041197,0.6020598,0.4259686,0.90309,0.3590217,-0.1760917,0.1627269,0.2041197,1.20412,0.6020598,1.20412,0.7269983,-0.1760917,1.20412,0.7269983,0.90309,1.20412,0.5051498,0.4259686,-0.1180997,0.7269983,1.20412,0.90309,0.6020598,0.3010297,0.2041197,0.02802849,0.90309,0.5051498,0.7269983,0.1627269,0.09017658,0.2041197
194,-0.2188106,-0.06409025,0.4769239,0.2976708,0.7788582,0.4641118,0.7815866,-0.4765296,0.002782345,0.7889662,0.1615882,0.4987693,0.3002396,-0.1845751,-0.4746094,0.4684272,-0.1050806,-0.1720624,-0.2303538,-0.2987151,-0.3317261,-0.1206474,-0.15868,-0.2360444,-0.2611804,-0.1624689,-0.330698,-0.3002334,-0.3672028,0.06856489,-0.1208134,-0.3364334,-0.5139489,-0.5414181,-0.3976874
195,0.003713608,0.3577194,0.2490516,0.5727835,0.3397655,0.3025689,0.4598279,-0.2168841,0.1580119,0.638845,0.5802035,1.252108,1.284407,0.3728189,-0.1182647,0.7817144,1.256756,0.9703074,0.6695833,0.4887462,0.5794396,-0.003470421,1.262256,0.5796013,0.7928104,0.9571977,0.4932623,0.1881146,-0.04179049,0.6963172,0.5738196,0.6781983,0.4206071,0.1584435,0.1906705
196,-0.1131401,0.1365781,0.2557654,0.7393255,0.6043615,0.456645,0.4712095,-0.3881879,0.5808864,0.4279418,0.7448082,0.5385804,1.008216,0.2413735,-0.3405685,0.5793381,0.1903386,0.1455803,0.1213875,0.08284521,0.2251186,-0.255321,0.2539921,0.2450433,-0.007662773,-0.07951689,0.05238724,-0.0183382,-0.2940607,1.001722,0.4355407,0.2218757,-0.2184815,-0.1327171,-0.01277781
197,-0.0565033,0.4741626,0.2262492,0.7617002,1.069328,0.7805743,1.093315,-0.3934083,0.5571699,0.6288166,0.7197113,0.7446489,0.6994624,0.07799911,-0.3761678,1.053009,1.051614,0.2181497,0.4496803,0.4452958,0.03875494,-0.2878613,1.056054,0.3370733,0.06250286,0.2972136,0.01166201,-0.02858782,-0.1975641,0.4683318,0.5541387,0.0871129,0.02656174,-0.1751294,0.04321718
198,0.09394312,0.5844073,0.5947556,0.8537679,1.22087,1.250192,1.145392,-0.2944484,0.6304107,1.178991,0.3011451,0.3749452,0.2888932,0.0658803,-0.2503066,0.6709757,0.2403483,0.303205,0.1168289,0.08734322,0.01822042,-0.1358376,0.6247668,0.1134768,0.1186018,0.1620798,0.04228687,0.01855993,-0.1531854,1.212774,0.2220469,0.005590439,0.04702806,0.01523447,-0.03166819
199,0.0255146,0.349009,0.2102137,0.3701639,1.05866,1.020559,0.4808879,-0.3896461,0.856925,0.4879832,0.3461361,0.5719132,0.4744034,0.3007236,-0.3830109,0.439785,0.5120358,0.663528,0.1758075,0.3511777,0.1347322,-0.2214117,1.124706,0.3681264,0.1896386,0.1276379,0.1509061,0.0432663,-0.3036065,0.6185904,0.2712431,0.357244,0.1083236,0.08223391,0.1670847
