Wavelength [nm],TBS,90W_2,90W_4,90W_6,90W_8,90W_10,90W_12
190,0.02562571,0.6364679,0.6497512,0.5343919,1.315879,0.624558,1.028501
191,-0.1311278,0.2313399,0.4311881,1.27312,0.8385181,0.6879172,0.616787
192,0.07294369,0.3724241,1.27628,1.282452,0.9766107,0.9758573,0.7908111
193,-0.01848364,0.4586377,0.5166297,1.060698,0.6627574,0.8846064,1.361728
194,-0.0304141,0.5927215,0.3819294,0.8408422,0.6025095,0.9704032,0.7369218
195,-0.03447533,0.6903491,1.39144,1.398002,1.425891,1.382638,1.393168
196,-0.03932095,0.4734564,0.3417597,0.9833865,1.431089,0.7729907,0.5979524
197,0.01206446,0.8644857,0.6694765,1.222708,0.8961177,1.601686,0.9435229
198,-0.02472687,0.8179421,0.6866651,0.7340665,0.7785521,1.447062,0.6950626
199,0.01416874,0.8074341,0.8208418,0.8933191,1.024711,1.068247,1.036529
200,-0.01359034,0.5666537,0.606349,0.5373554,0.8529749,1.293139,0.9539561
201,-0.01570797,0.7736063,0.900588,1.291136,1.456088,1.271847,1.783616
202,-0.01734352,1.102668,1.405729,1.678526,1.215996,1.931538,1.785691
203,-0.006543636,1.209008,1.407193,1.576655,1.835406,1.726804,2.194877
204,-0.001749516,1.538315,1.773307,1.924057,2.495326,2.759612,1.940434
205,-0.000430107,1.950955,2.302627,2.441333,2.818798,2.933232,2.997214
206,0.000406742,2.028769,2.4362,2.382263,2.401454,3.014575,2.644757
207,-0.001330853,1.9992,2.155757,2.403705,2.468972,2.492196,2.91213
208,-0.000128269,2.097158,2.225163,2.40475,2.595161,2.503482,3.364998
209,-0.001312733,2.187773,2.40619,2.528214,2.563,2.732503,2.745743
210,-0.000332356,2.276528,2.466538,2.60594,3.095271,2.903181,3.302868
211,-0.000740051,2.283,2.587954,2.761449,3.194519,3.262267,3.443006
212,-0.000423908,2.33083,2.629508,2.796539,2.766315,3.101017,3.407412
213,-0.000408649,2.30582,2.496967,2.621478,2.98417,3.027369,3.568259
214,-0.00056839,2.296628,2.559722,2.695118,2.854844,2.887488,2.998948
215,-0.00030756,2.323673,2.656029,2.813161,2.941409,3.005162,3.283341
216,-0.000507832,2.284836,2.648138,2.80987,2.907306,2.939534,3.187652
217,-0.000339031,2.282021,2.743633,2.842635,2.95636,3.068523,3.306556
218,-0.000286579,2.280525,2.827086,2.959913,3.15969,3.251158,3.44487
219,-0.000331402,2.240657,2.85234,2.94539,3.039308,3.108752,3.334728
220,-0.000323772,2.156097,2.891377,2.914046,3.076918,3.069777,3.531512
221,-0.000202656,2.073691,2.855982,3.026712,3.075311,3.168065,3.358128
222,-0.000337124,2.000107,2.927081,3.149088,3.101319,3.333627,3.564265
223,-0.000248909,1.9295,2.849947,3.021416,3.031157,3.103624,3.270914
224,-0.000273705,1.835241,2.764647,2.959716,2.990963,3.086216,3.209592
225,-0.00034523,1.730826,2.737809,2.917518,3.001579,3.041066,3.204772
226,-0.000305176,1.624506,2.703504,2.932052,3.126972,3.053639,3.347902
227,-0.000290871,1.505362,2.639074,2.806633,3.002466,2.993524,3.322973
228,-0.000268936,1.380588,2.524138,2.899408,2.937771,3.046715,3.19352
229,-0.000398636,1.249066,2.364789,2.852613,3.022028,3.028502,3.297825
230,-0.000631809,1.104157,2.156684,2.748689,2.864941,2.960942,3.098239
231,-0.000284672,0.959331,1.90797,2.562223,2.803463,2.908379,3.032642
232,-0.000370979,0.8144784,1.641966,2.292806,2.668246,2.78899,2.948447
233,-0.000161171,0.6824627,1.384098,2.001189,2.448785,2.726069,2.926714
234,-0.000317574,0.5632882,1.146363,1.688254,2.154784,2.537092,2.816926
235,-0.000306606,0.4607463,0.9421539,1.390729,1.800121,2.163434,2.549365
236,-0.000318527,0.3762455,0.7709594,1.141629,1.487442,1.809676,2.163818
237,-0.000342369,0.3058076,0.6276112,0.9331012,1.214098,1.473915,1.779134
238,-7.87E-05,0.2498169,0.5133219,0.7646475,0.9952526,1.211854,1.46313
239,-0.000597954,0.2046218,0.4217882,0.6282692,0.817791,0.9942412,1.202643
240,-0.000166416,0.1704993,0.3510299,0.5232739,0.6809354,0.82656,1.003589
241,-0.000414848,0.1428967,0.295104,0.4402585,0.571682,0.6938024,0.8435006
