Wavelength [nm],H2O,prot_2,prot_4,prot_6,prot_8,prot_10,prot_12,prot_14
190,0.001262665,2.851739,3.140488,3.320683,3.616333,3.117385,3.604374,3.642633
191,0.001196861,2.625226,3.058273,2.890977,2.80731,3.802944,3.354391,2.931296
192,0.001061916,2.686647,2.778868,2.775572,3.108374,3.890499,3.588185,3.408034
193,0.000600338,2.775117,3.005566,3.051323,3.102476,3.999999,3.528445,3.403506
194,0.000579357,2.937528,3.13267,3.183121,3.315148,3.296762,3.479755,3.305367
195,0.000855923,2.665267,3.107739,3.10502,3.456743,3.37655,3.238984,3.191393
196,0.000411034,2.690342,3.13072,3.239365,3.619576,3.454396,3.40329,3.280133
197,0.000522614,2.534952,3.147831,3.547661,3.6351,3.774493,3.986832,3.674163
198,0.00056982,2.390379,3.274025,3.319265,3.61791,3.568183,3.919885,3.816527
199,0.000608921,2.19847,3.106954,3.375789,4,3.590237,3.425276,3.782563
200,0.000190258,2.015925,3.083881,3.14135,3.734375,3.43237,3.53734,3.520296
201,0.000553131,1.841503,2.909707,3.158905,3.295504,3.302357,3.507031,3.554
202,0.000461578,1.681253,2.75336,3.013539,3.353943,3.21594,3.366686,3.253351
203,8.73E-05,1.542455,2.706857,3.071108,3.362796,3.338705,3.246637,3.361672
204,0.000283241,1.424107,2.513378,2.927127,3.106491,3.138664,3.308628,3.203375
205,0.000349999,1.317223,2.371445,2.793814,3.017107,3.026718,3.098419,3.204833
206,0.000278473,1.224326,2.252039,2.738551,2.936343,3.04526,3.193547,3.325693
207,-2.81E-05,1.140966,2.114938,2.6984,2.965538,3.088351,3.03581,3.124407
208,0.000135899,1.057492,1.996248,2.602439,2.833543,3.031555,3.273967,3.253119
209,0.000271797,0.9798698,1.841942,2.452673,2.741577,2.967534,2.927781,2.883033
210,0.000290871,0.911068,1.712248,2.349144,2.61198,2.719251,2.848366,2.790333
211,6.63E-05,0.8527036,1.615088,2.274401,2.552136,2.693683,2.765834,2.785993
212,0.000126362,0.7997217,1.518554,2.152886,2.49167,2.61677,2.706346,2.729067
213,8.01E-05,0.7563715,1.441374,2.064248,2.425597,2.642349,2.715592,2.708278
214,0.000165463,0.7184176,1.374783,1.996148,2.444748,2.678263,2.730891,2.787644
215,6.53E-05,0.6832385,1.310311,1.923361,2.373034,2.644416,2.762424,2.771718
216,-1.67E-05,0.6504993,1.248266,1.841422,2.309971,2.582932,2.723959,2.800876
217,0.000125408,0.6217089,1.196658,1.773272,2.255019,2.570499,2.713578,2.818068
218,0.000172138,0.5940223,1.145523,1.702441,2.173835,2.523694,2.683835,2.749654
219,8.63E-05,0.5656314,1.092259,1.629264,2.107653,2.450981,2.690694,2.766418
220,0.000213623,0.5353818,1.035115,1.555434,2.02686,2.40899,2.638507,2.806207
221,0.000197887,0.5052304,0.9782858,1.473824,1.922186,2.311342,2.576893,2.73733
222,0.000109196,0.4759903,0.9226975,1.390595,1.823434,2.20444,2.525769,2.684792
223,1.91E-05,0.4482551,0.8693333,1.315167,1.731235,2.111527,2.426075,2.690875
224,0.000122547,0.4208751,0.8163605,1.23633,1.629067,1.999783,2.306634,2.564138
225,3.00E-05,0.3930545,0.7625918,1.155415,1.529317,1.88173,2.177449,2.435785
226,-7.44E-05,0.3635798,0.705812,1.071254,1.420701,1.759803,2.060508,2.314378
227,-2.81E-05,0.333612,0.647758,0.984118,1.308524,1.621424,1.909288,2.168684
228,0.000122547,0.3020186,0.5868196,0.8932161,1.188321,1.477882,1.739768,1.992783
229,-5.82E-05,0.2711873,0.5266099,0.8031621,1.070602,1.335536,1.578671,1.811693
230,0.000171661,0.2398415,0.4660645,0.711132,0.9511638,1.189822,1.407436,1.627779
231,2.72E-05,0.2096877,0.407546,0.6235762,0.8359551,1.047839,1.240514,1.439288
232,-1.86E-05,0.1804338,0.3506503,0.5376267,0.7229381,0.9088216,1.07742,1.25226
233,0.000244141,0.1537266,0.2985525,0.4589138,0.6185846,0.7812667,0.9274459,1.078765
234,-0.000116825,0.1282039,0.2494483,0.3848696,0.5209928,0.6604877,0.7846155,0.9157791
235,-7.87E-05,0.1059933,0.2062526,0.319459,0.4354582,0.5543041,0.6593966,0.7707057
236,-2.77E-05,0.08710432,0.1694503,0.26406,0.3618922,0.4633522,0.5519967,0.6463575
237,-0.00014925,0.07090902,0.1381269,0.2165809,0.2992492,0.3851962,0.4599786,0.5404696
238,-0.000216484,0.0574379,0.1125851,0.1776714,0.2477345,0.3216934,0.3841972,0.4532709
239,9.87E-05,0.04694462,0.09174395,0.1460562,0.205627,0.2692909,0.3223791,0.3818145
240,3.24E-05,0.03846216,0.07549715,0.1213822,0.172677,0.2286139,0.2737036,0.3254595
241,6.96E-05,0.03188229,0.06239557,0.1012754,0.1464434,0.1955028,0.234673,0.2801695
242,-0.000213146,0.02645922,0.05237436,0.08632469,0.1263523,0.1703968,0.2047281,0.2455635
243,-0.000113964,0.02220869,0.04455805,0.07431221,0.1105089,0.1504254,0.180563,0.2185726
244,7.87E-05,0.01930237,0.03868675,0.0652256,0.0981946,0.1350551,0.1627836,0.1977172
245,5.72E-06,0.0171833,0.03442144,0.05877781,0.08968878,0.1244092,0.1497326,0.1822619
246,-7.72E-05,0.01556873,0.03130817,0.05408144,0.08334351,0.1163931,0.1405587,0.1716275
247,-9.11E-05,0.01446629,0.02926445,0.05093575,0.07908392,0.1113276,0.1344028,0.1643534
248,-3.43E-05,0.01379108,0.02798223,0.048841,0.07642746,0.1075587,0.1299005,0.159235
249,-2.29E-05,0.01347256,0.0271349,0.04754496,0.07459641,0.1051383,0.1268549,0.1556797
250,-2.77E-05,0.01337624,0.02716255,0.0473156,0.07410622,0.1044674,0.1261454,0.1546035
251,-9.06E-06,0.0136075,0.02751827,0.04792404,0.07496452,0.1054063,0.1272593,0.1559262
252,-0.000222206,0.01388216,0.02845812,0.0491662,0.07641077,0.1072397,0.1293483,0.158618
253,-0.000102997,0.01446152,0.02925587,0.0505085,0.07805395,0.1089115,0.1319332,0.1613684
254,-3.34E-05,0.01490641,0.03006268,0.05182171,0.07948399,0.1106973,0.1338968,0.1634746
255,-0.000187874,0.01530504,0.03099394,0.05315161,0.08122778,0.1128459,0.1362991,0.1663227
256,-5.77E-05,0.01616621,0.03261662,0.0554471,0.08414841,0.1161728,0.1401916,0.1708112
257,3.39E-05,0.01718807,0.03475714,0.05860138,0.08829737,0.1213183,0.146317,0.1779752
258,0.000182152,0.018332,0.03715372,0.0622406,0.0930934,0.1273437,0.153296,0.1858974
259,-9.06E-06,0.01931286,0.03919792,0.0651536,0.09687471,0.1315503,0.1587567,0.1922898
260,-1.38E-05,0.0201993,0.04065371,0.06727695,0.0997262,0.1349869,0.1629486,0.1967111
261,-0.000150681,0.0209341,0.04203749,0.0695653,0.1024933,0.1384091,0.1670189,0.2014265
262,-0.000221252,0.02181053,0.0437336,0.07227707,0.1058922,0.1424203,0.1719308,0.2072191
263,-1.29E-05,0.02301121,0.04598856,0.07565022,0.1105576,0.1477494,0.1781487,0.2142777
264,7.92E-05,0.02455473,0.04889774,0.07995129,0.1159964,0.1545963,0.1862206,0.2238088
265,-8.82E-05,0.0258317,0.05121374,0.083745,0.1209679,0.1607165,0.1934419,0.2317543
266,-0.000384808,0.02656317,0.05301905,0.0862565,0.124341,0.1650147,0.1985621,0.2378016
267,3.15E-05,0.02789164,0.05526876,0.08960962,0.1282372,0.1701021,0.2044601,0.2445946
268,-0.000160217,0.02918339,0.05751991,0.09292746,0.1330037,0.1752086,0.211154,0.2521629
269,-0.000104904,0.03011703,0.05978727,0.09579182,0.1367664,0.1799912,0.217041,0.2584186
270,-0.000171185,0.03081942,0.06126785,0.09803343,0.1399298,0.18401,0.2210045,0.262989
271,-0.000159264,0.03168392,0.06269073,0.1007977,0.1430573,0.1875381,0.2255673,0.2690067
272,1.43E-06,0.03249407,0.06485081,0.1037054,0.1465259,0.1918297,0.2300076,0.2741685
273,-0.000161171,0.03358412,0.06619644,0.1057796,0.1493454,0.1958289,0.2358346,0.279541
274,-5.72E-05,0.03415298,0.06767082,0.108223,0.1527934,0.1991105,0.2394118,0.2840581
275,-6.10E-05,0.03479481,0.06942272,0.1101437,0.1554275,0.2021003,0.2427187,0.288681
276,-5.67E-05,0.03499651,0.07020855,0.1113605,0.1569862,0.204308,0.2453952,0.2913694
277,-9.30E-05,0.0353756,0.07021904,0.1120749,0.1583695,0.2062845,0.2470789,0.2929902
278,-0.000380039,0.03556871,0.07039309,0.1120591,0.1576123,0.204917,0.2459998,0.2918282
279,-0.00014782,0.03474808,0.06865168,0.1099725,0.1551933,0.2016706,0.2422948,0.2879806
280,-0.000400066,0.03368616,0.0676322,0.1078758,0.1522894,0.1984768,0.2377868,0.2834349
281,8.58E-06,0.03325605,0.0664897,0.1062269,0.1495476,0.195385,0.2341566,0.27844
282,-3.34E-06,0.0328145,0.06578779,0.1041322,0.147543,0.1921577,0.2305632,0.2742662
283,-0.000151157,0.03227282,0.06381321,0.1019549,0.1444011,0.1885662,0.2256942,0.2691894
284,1.91E-06,0.03080511,0.06091356,0.09787893,0.1387248,0.1821361,0.2171388,0.2592549
285,-0.000267506,0.02829647,0.05678177,0.09153605,0.1303148,0.1714115,0.204958,0.2444472
286,-2.77E-05,0.02588177,0.05229759,0.08400679,0.1205502,0.1590357,0.1904974,0.2277737
287,-0.000115871,0.02348709,0.04726601,0.07683706,0.1105762,0.146915,0.1765575,0.2110448
288,-0.000273228,0.02118587,0.04316902,0.07005548,0.1021056,0.136167,0.1628699,0.1962566
289,-0.000125408,0.01942825,0.0392189,0.06408215,0.09396791,0.1257677,0.151063,0.182591
290,0.000108719,0.0171423,0.03480959,0.05727196,0.08488226,0.1147285,0.1381807,0.166925
291,2.38E-06,0.01441193,0.03014374,0.05016756,0.07503366,0.1027269,0.1237478,0.1498361
292,-0.000155926,0.01217508,0.02549934,0.04338646,0.06595182,0.09117937,0.1101575,0.1339884
293,-0.000347138,0.009917259,0.02122974,0.03697062,0.05774927,0.08068514,0.09807777,0.1199951
294,-0.000229359,0.008417606,0.01813555,0.03182745,0.05116415,0.07291603,0.0884161,0.1088977
295,-1.72E-05,0.00690937,0.01572943,0.02843237,0.04598284,0.06638908,0.08064938,0.09999084
296,-0.000281811,0.005675793,0.01327419,0.02473831,0.04150915,0.06043911,0.07356882,0.0918808
297,-9.11E-05,0.005001545,0.01151085,0.02218771,0.03812695,0.0560708,0.06831455,0.08614397
298,0.0002141,0.004740715,0.01024342,0.02008533,0.03518057,0.05265379,0.06416798,0.08123159
299,-0.00022459,0.003631592,0.008947849,0.01774883,0.03239489,0.04920101,0.06030989,0.07641077
300,0.000112057,0.003111839,0.00823307,0.01692438,0.0304203,0.04677582,0.0575304,0.07326794
301,-0.00023365,0.002560616,0.007093906,0.01518679,0.02856064,0.04441833,0.05415392,0.06997108
302,-0.000209808,0.002186298,0.006438255,0.01447964,0.02706814,0.04246569,0.05253077,0.06756496
303,-0.000316143,0.002111912,0.005447388,0.01312637,0.02577448,0.04113579,0.05013418,0.06511688
304,-0.000380516,0.00190115,0.004984856,0.01247549,0.02473068,0.0394907,0.04897833,0.06314898
305,-0.000239849,0.00160265,0.004741192,0.01195288,0.0238843,0.03849983,0.04786301,0.0618
306,-9.30E-05,0.001248837,0.005075932,0.01163435,0.02359104,0.03790331,0.04662657,0.06077671
307,-8.44E-05,0.001202583,0.004520893,0.01124525,0.02279949,0.03703308,0.04570913,0.05971146
308,0.000196457,0.001253128,0.00425148,0.01093388,0.02250338,0.03638744,0.04497385,0.05875635
309,5.82E-05,0.00129509,0.004031181,0.01082182,0.02233458,0.03568506,0.04448223,0.05813265
310,-0.000123978,0.001255035,0.004082203,0.01046467,0.02172995,0.03556538,0.0440855,0.05735636
311,3.48E-05,0.001217365,0.004066944,0.01044273,0.02145481,0.03500557,0.04384708,0.05702829
312,-0.000236034,0.001022816,0.003877163,0.01002884,0.02136374,0.03467369,0.04305744,0.05636263
313,-0.000102043,0.000954628,0.003725529,0.01007748,0.02112341,0.03439903,0.04288149,0.05602169
314,-5.53E-05,0.001079082,0.004009247,0.01007891,0.02104282,0.03426218,0.04249954,0.05578041
315,-0.000298977,0.000825405,0.003623486,0.009589195,0.02080202,0.03381014,0.04186153,0.05522346
316,-0.000172615,0.000884533,0.003417492,0.009596348,0.02077341,0.03378153,0.04214239,0.05504656
317,-0.000188351,0.000519276,0.003298759,0.009213924,0.02064896,0.0332036,0.04152727,0.05454636
318,-0.000133991,0.000797272,0.003419876,0.009509087,0.0203619,0.03332281,0.04160023,0.05436945
319,-5.10E-05,0.001026154,0.003489017,0.009573936,0.02027273,0.0332408,0.04132795,0.05425501
320,0.000365257,0.001149654,0.003495216,0.009908676,0.02041531,0.03314495,0.04150009,0.0542841
321,-1.76E-05,0.000919819,0.003285885,0.009638309,0.02009726,0.03268099,0.04096127,0.05361128
322,-0.000255585,0.000905991,0.003526211,0.009262562,0.01988173,0.03234911,0.04065132,0.05346823
323,-0.000255585,0.000880241,0.003314972,0.009624004,0.01990938,0.03230476,0.04059267,0.05298901
324,-0.000263214,0.000566959,0.003248215,0.009400368,0.0197134,0.03227377,0.04039907,0.0527916
325,-0.000289917,0.000710964,0.003356934,0.009140491,0.0196104,0.03184462,0.04006147,0.05223894
326,-0.000139237,0.000727654,0.003265381,0.008856773,0.01950502,0.03163958,0.0399785,0.05211735
327,0.000100136,0.001309872,0.003679276,0.00949049,0.01997519,0.03203011,0.04014874,0.05231428
328,-0.000287533,0.000822067,0.003577709,0.008982182,0.01928806,0.0315218,0.0394516,0.05142593
329,4.43E-05,0.001154423,0.00366497,0.009515762,0.01950312,0.03148556,0.03956985,0.05162954
330,7.39E-05,0.000927448,0.003441811,0.00899744,0.01944971,0.03121424,0.03918076,0.0510664
331,0.000261307,0.000747204,0.003623486,0.009410381,0.0193882,0.03129148,0.03930092,0.05083275
332,-0.000439644,0.001039028,0.003130436,0.00858736,0.01891041,0.03086233,0.0384798,0.05041647
333,-4.48E-05,0.000650406,0.00317049,0.00878191,0.01940536,0.03082943,0.0384531,0.05015707
334,0.000229359,0.001225471,0.003842831,0.009470463,0.01919508,0.03132582,0.03905392,0.05062294
335,-0.000634193,-5.34E-05,0.002907276,0.008309841,0.01850653,0.03022957,0.03788328,0.04950476
336,-0.000209808,0.00057888,0.003096581,0.008728504,0.01863194,0.03051853,0.03819227,0.04957104
337,0.000530243,0.000919819,0.003996849,0.008724689,0.01881409,0.03093195,0.03797436,0.04997873
338,3.86E-05,0.001280785,0.00361681,0.009000301,0.01843929,0.0306282,0.03778028,0.0496254
339,-0.000193119,0.000588417,0.003783226,0.008671761,0.01840734,0.02984524,0.03756332,0.04892015
340,-0.000138283,0.000387192,0.003620625,0.008337021,0.0183506,0.02989292,0.03712606,0.04848576
341,-0.000152111,0.000422955,0.00343132,0.008304119,0.0183754,0.02997208,0.03638887,0.04839134
342,3.81E-05,0.000622273,0.003293991,0.008709431,0.01846695,0.02979517,0.03662348,0.04857779
343,-6.87E-05,0.000574589,0.003100395,0.008237362,0.01772976,0.02962923,0.03657436,0.04772615
344,-9.87E-05,0.0004282,0.003439903,0.008285046,0.01781225,0.02946281,0.03639507,0.04794884
345,-0.000243187,0.000684738,0.003624439,0.008622169,0.01824045,0.02939415,0.03596115,0.04783678
346,2.62E-05,0.001102924,0.003355503,0.008259296,0.01758862,0.02927589,0.03594637,0.04725981
347,-0.000677109,0.000640869,0.002958775,0.007875919,0.01698971,0.02856779,0.03548288,0.04609632
348,-0.000238419,0.00032568,0.003013611,0.007821083,0.0172925,0.02854156,0.03484106,0.0463376
