Wavelength [nm],H2O_2ml,prot_2,prot_4,prot_6,prot_8,prot_10,prot_12,prot_14,prot_16
190,0.000285149,2.143975,2.497007,2.52522,2.710521,2.758502,2.720148,3.148447,3.494797
191,4.96E-05,2.279636,2.704793,2.812265,2.885598,3.045971,2.961548,2.880626,3.271641
192,0.000145912,2.263532,2.922218,2.923517,3.067694,3.587021,3.113271,3.458671,3.763238
193,8.58E-05,2.245397,2.857677,2.924623,3.065952,3.577836,3.225653,3.577836,3.577836
194,-0.000209808,2.183194,2.890969,3.128743,3.06639,3.312298,3.27032,3.093606,3.312691
195,7.15E-06,2.116746,2.848851,3.106577,3.015789,3.34803,3.226686,3.389926,3.350217
196,-4.34E-05,1.995302,2.9601,3.153086,3.143634,3.491515,3.324238,3.256509,3.6311
197,-7.30E-05,1.85042,2.950864,3.216163,3.417112,3.382158,3.347075,3.453602,3.606217
198,-6.20E-05,1.701056,2.938879,3.220273,3.375792,3.700709,3.577341,3.383765,3.785641
199,-0.000180721,1.554636,2.835032,3.202629,3.225534,3.354422,3.428968,3.299397,3.691794
200,1.29E-05,1.418322,2.639005,3.0741,3.212558,3.256955,3.382479,3.335741,3.504882
201,-0.000113964,1.295742,2.476338,2.988918,3.151658,3.54009,3.355006,3.500196,3.425876
202,-5.63E-05,1.181448,2.277657,2.918564,3.066188,3.245038,3.213552,3.195335,3.481888
203,-0.000132561,1.083265,2.113384,2.773529,2.986339,3.0528,3.153833,3.25081,3.290972
204,-0.000141144,0.9962649,1.961019,2.699926,2.951383,3.085741,3.082092,3.08483,3.327877
205,-0.000230789,0.9221392,1.826371,2.548333,2.901437,3.025165,3.015247,3.165932,3.193427
206,-9.58E-05,0.8561077,1.693184,2.418723,2.771249,2.892905,2.94515,3.086846,3.118949
207,-0.000117779,0.7958107,1.580119,2.276388,2.647877,2.808353,2.898847,2.930515,3.049517
208,1.81E-05,0.7387781,1.4761,2.164867,2.583589,2.775436,2.86455,2.897753,2.992501
209,0.00010109,0.6859775,1.370875,2.03305,2.468094,2.751626,2.843218,2.836683,2.96674
210,7.20E-05,0.6368804,1.276372,1.902156,2.37114,2.663962,2.774124,2.824355,2.958626
211,-2.05E-05,0.5941749,1.190309,1.781372,2.250508,2.547771,2.649381,2.703808,2.804487
212,0.000108719,0.5565391,1.115461,1.678648,2.126874,2.446502,2.553895,2.652578,2.743981
213,6.29E-05,0.5256281,1.054339,1.589419,2.024694,2.359521,2.521119,2.585599,2.72587
214,-4.43E-05,0.4988565,1.002844,1.51614,1.959556,2.3125,2.512146,2.646768,2.788132
215,-6.82E-05,0.4742193,0.954699,1.451655,1.886818,2.249418,2.497364,2.676204,2.813171
216,-6.82E-05,0.4509254,0.9078279,1.381393,1.802994,2.16451,2.451134,2.637072,2.773623
217,-2.24E-05,0.4307346,0.8673687,1.32186,1.730402,2.08801,2.394848,2.593072,2.728192
218,-1.43E-06,0.4114227,0.8292599,1.265094,1.658401,2.013649,2.33716,2.538453,2.696138
219,5.72E-06,0.3919373,0.7902694,1.207342,1.587338,1.937601,2.251463,2.490865,2.654565
220,-6.15E-05,0.3708377,0.7478089,1.144967,1.505597,1.849501,2.166442,2.410994,2.615404
