Wavelength (nm),H2O,prot_2,prot_4,prot_8,prot_12,prot_16,prot_20,prot_24,prot_28,prot_32,prot_36
200,-6.84E-05,0.315230697,0.62334919,1.279406667,1.904638886,2.52183032,3.043913841,3.530505657,3.814746141,3.965479136,3.95724535
201,0.001568282,0.289490968,0.568465233,1.166307211,1.734002352,2.301595449,2.807204008,3.318270445,3.635368586,3.966420889,3.949713469
202,-0.001411131,0.260786563,0.515419543,1.056774974,1.593614459,2.108546972,2.598939419,3.067400694,3.474936485,3.799241304,3.894967079
203,-6.33E-05,0.237181976,0.470797628,0.971371293,1.459027648,1.93182075,2.390604496,2.824284554,3.226078749,3.657350302,3.814873457
204,-0.000655042,0.219457164,0.435187876,0.892219961,1.339319468,1.788749576,2.198797941,2.626832247,3.022078991,3.384587288,3.689373016
205,0.003220868,0.203251422,0.400413603,0.824435115,1.236001372,1.651877284,2.04057622,2.464230537,2.842754126,3.22462368,3.486199379
206,0.003196355,0.189606443,0.374473244,0.766205013,1.151375532,1.533416986,1.904328823,2.278115749,2.631089926,2.99170351,3.344107389
207,0.00142025,0.175184488,0.34386009,0.71107465,1.066657901,1.432008147,1.777212501,2.126829386,2.462237597,2.819833517,3.14827466
208,-0.000256299,0.163960621,0.32232073,0.662003636,0.994142354,1.323503256,1.64876914,1.965724349,2.278052807,2.609083176,2.920739889
209,0.00159195,0.152551636,0.298690528,0.61242342,0.922413349,1.229184866,1.529876828,1.831108451,2.122533798,2.428442478,2.708235741
210,0.001683283,0.141361162,0.278569937,0.568782449,0.858563125,1.142604113,1.422671437,1.701547503,1.97275579,2.260864258,2.543426991
211,-0.000325627,0.129334107,0.255945891,0.529051304,0.795844257,1.062964082,1.321018815,1.585322022,1.844437599,2.112437248,2.354645491
212,0.001494221,0.123934969,0.243033364,0.498640001,0.746737242,0.998988986,1.241780043,1.492200494,1.733571768,1.976383328,2.222331524
213,0.000786402,0.116471946,0.228695408,0.468398213,0.703823805,0.938110352,1.1711092,1.405815005,1.635262012,1.865202308,2.093595505
214,-0.000169779,0.110069685,0.216577932,0.441317439,0.663954556,0.888700426,1.106983066,1.329668045,1.548285723,1.765376329,1.988907218
215,0.000905451,0.105341427,0.206281751,0.421177924,0.631656528,0.843497634,1.052539945,1.263265729,1.469568014,1.683022499,1.890904427
216,-0.000405444,0.099086247,0.193799451,0.399590462,0.600598335,0.803353965,1.001186132,1.200942874,1.398536205,1.598138571,1.80046773
217,0.000187947,0.093952343,0.185634017,0.380915612,0.572709799,0.763584018,0.952683747,1.146438003,1.330567598,1.521376848,1.714584112
218,-0.000131481,0.090320662,0.177437976,0.364759147,0.546432793,0.729979932,0.910621345,1.092283845,1.271950841,1.453060031,1.63792789
219,0.000196959,0.085799426,0.169526488,0.346913904,0.520722866,0.693290174,0.866578758,1.042613506,1.208843946,1.383672595,1.556591511
220,-0.000292154,0.081816308,0.15885964,0.328923494,0.493232787,0.657991529,0.82194221,0.986748159,1.144051313,1.311686993,1.477888107
221,-0.000433063,0.077411227,0.151041746,0.310292482,0.46530956,0.622883678,0.77634728,0.93270123,1.081003666,1.237958312,1.391345501
222,-0.000348234,0.072384305,0.143863335,0.293299109,0.44010511,0.587648928,0.730664194,0.879363775,1.020766854,1.167656422,1.310612559
223,0.000846052,0.067973964,0.133594021,0.275945693,0.4137339,0.550478876,0.689451695,0.826971293,0.959259689,1.098015785,1.236180902
224,0.001330764,0.064042315,0.126601592,0.259088814,0.388933986,0.519058526,0.64672643,0.776838243,0.901845157,1.032004595,1.161494732
225,0.000841617,0.060712501,0.117865786,0.24108012,0.363902211,0.485690773,0.606527269,0.725719035,0.841389954,0.964581728,1.085630059
226,0.001110036,0.055688035,0.109098665,0.225493535,0.337284237,0.450468361,0.561873257,0.677206636,0.781855941,0.890855491,1.007197499
227,0.000321001,0.051873881,0.100804031,0.206040859,0.310248822,0.414471686,0.516586721,0.620665968,0.716127813,0.820215404,0.922871828
228,0.00121596,0.047332235,0.092273816,0.189899162,0.282779992,0.377847791,0.470794857,0.564896524,0.652693987,0.745528817,0.839543283
229,0.00085513,0.042830251,0.083656736,0.16974397,0.25479719,0.339968115,0.42365557,0.508522034,0.584656715,0.669628859,0.753966987
230,0.000400485,0.037576556,0.073572122,0.150869772,0.226127118,0.301679224,0.376183391,0.452592433,0.519521296,0.59312737,0.668137848
231,0.000318229,0.032936718,0.064437009,0.132241905,0.197320819,0.264507026,0.32890603,0.395918876,0.453237623,0.518898487,0.584618151
232,0.000804893,0.029100994,0.056629613,0.114331625,0.171842426,0.229048774,0.285219371,0.343366891,0.39368549,0.449252099,0.506233394
233,0.001075962,0.02416385,0.047855645,0.098209158,0.146883607,0.195432201,0.243025124,0.292771876,0.333943278,0.382061511,0.430716842
234,0.000469955,0.020229889,0.04079384,0.083018929,0.123288043,0.165485755,0.203991979,0.246835768,0.279714704,0.320107818,0.361509591
235,0.00108738,0.01922654,0.035244182,0.069835275,0.103890792,0.137945801,0.171830431,0.207449392,0.23273854,0.265991449,0.30105865
236,0.000321105,0.014912849,0.028702142,0.056812648,0.084659703,0.112931065,0.139529184,0.169535786,0.189656079,0.217090905,0.245898724
237,0.001207731,0.012703299,0.023661571,0.047198057,0.068489768,0.091882974,0.114506573,0.13878122,0.154010266,0.176641688,0.200531811
238,6.73E-05,0.009716818,0.018703263,0.037112691,0.055266779,0.074071631,0.091661118,0.112561449,0.123979084,0.142936215,0.161361769
239,0.000220345,0.008627817,0.01560789,0.031189088,0.045743324,0.060303032,0.074510179,0.092194617,0.100289822,0.115472987,0.131593064
240,0.001239868,0.007676602,0.01370706,0.025355266,0.037337974,0.050047126,0.061204698,0.075543657,0.081532039,0.094041951,0.107284464
241,0.000272484,0.005665202,0.010494458,0.020043639,0.029936319,0.040335931,0.050000452,0.061807178,0.066184804,0.076222248,0.08647304
242,-0.000161188,0.004786267,0.008984568,0.016429011,0.024418904,0.032807387,0.041366361,0.051991947,0.053994145,0.062268618,0.070593394
243,0.000540499,0.004784278,0.008087344,0.014016034,0.020938333,0.026912272,0.03446646,0.044156991,0.044471379,0.052076835,0.059908241
244,0.000932507,0.00392875,0.007673704,0.012434706,0.018125795,0.024407785,0.030471846,0.039023682,0.039569236,0.045566391,0.051076081
245,0.000927941,0.002669785,0.006543291,0.010017693,0.014662674,0.02077247,0.026102144,0.033772916,0.032653313,0.039351039,0.044742089
246,-0.000536337,0.002274306,0.004823094,0.008504547,0.013183982,0.017752992,0.023484994,0.030166483,0.029314127,0.035011705,0.039146751
247,-0.000204813,0.003114715,0.005056219,0.008332177,0.012444535,0.017340606,0.021921635,0.027908105,0.027569287,0.031940032,0.036361907
248,-0.000150009,0.002574572,0.004401435,0.008165889,0.012436038,0.016940536,0.020661261,0.026540522,0.026483646,0.030516831,0.035991263
249,0.001144579,0.00263577,0.005239974,0.007668171,0.011776372,0.016054759,0.020016016,0.025816403,0.024897277,0.030141233,0.033242863
250,0.000371182,0.002710261,0.00539322,0.007260905,0.011111066,0.01595995,0.019560182,0.02551855,0.023839042,0.028493484,0.032804791
251,0.000168499,0.002400999,0.004516457,0.007165918,0.011627185,0.014569534,0.020558685,0.025980026,0.024372766,0.030021081,0.033667449
252,0.000608773,0.002753165,0.004770852,0.0073834,0.011926807,0.015838878,0.019523004,0.026348025,0.025057208,0.031240074,0.034880295
253,0.000927941,0.002611941,0.004517843,0.008888886,0.012956402,0.017259227,0.021206042,0.027783876,0.026840342,0.031689767,0.036986142
254,0.000198824,0.002734877,0.00524883,0.008067223,0.013480141,0.017278513,0.02166203,0.028299596,0.027638745,0.033220984,0.037505094
255,-0.000486022,0.002842866,0.005641599,0.007811707,0.012771272,0.017842852,0.022450551,0.029008193,0.028337007,0.034205999,0.039268605
256,0.000285435,0.003644253,0.006453742,0.009712847,0.014769224,0.019622359,0.024339691,0.031324226,0.03083653,0.036870081,0.041443218
257,-0.000211644,0.00267166,0.004916732,0.009432262,0.01423866,0.019492898,0.02469326,0.033078659,0.032554336,0.038844455,0.044019949
258,-7.88E-05,0.002955938,0.005735703,0.010714011,0.015990378,0.021261495,0.027269265,0.03516572,0.034959883,0.041855287,0.046509996
259,0.000259895,0.003267186,0.00625059,0.011762727,0.017758843,0.022803186,0.029065289,0.037444986,0.037589509,0.044583034,0.050724756
260,-0.000538301,0.002634286,0.005363238,0.011006976,0.017235175,0.023292454,0.028723797,0.038347512,0.039250895,0.046256036,0.051846199
261,-0.000206573,0.002627879,0.006294186,0.012160396,0.018150005,0.024721127,0.029969545,0.040074933,0.040382914,0.04773283,0.055072024
262,7.44E-05,0.004231548,0.00653977,0.01336822,0.019661928,0.026512537,0.032790277,0.042714849,0.043163296,0.050595254,0.057471611
263,0.000867736,0.003998133,0.007474195,0.013415179,0.020652683,0.027605973,0.034111936,0.044676155,0.044840842,0.052426394,0.06107096
264,-0.000214386,0.003968639,0.007623542,0.014472614,0.021997549,0.029512458,0.036624763,0.047333274,0.048221055,0.056484688,0.064904742
265,0.001209652,0.004856939,0.007684639,0.015616315,0.022497442,0.031132046,0.038187444,0.049531545,0.051213562,0.059751343,0.067083403
266,-0.000354855,0.004183324,0.008623275,0.015644949,0.023836991,0.030872103,0.040087994,0.050446399,0.053100288,0.062986612,0.070727848
267,0.000863845,0.005744989,0.008976878,0.016081566,0.023796629,0.032552246,0.041793607,0.052627414,0.055745538,0.065134086,0.074212469
268,0.00104708,0.005550846,0.009526422,0.017125191,0.025305241,0.035230592,0.043708265,0.055730794,0.058320422,0.069119141,0.077298872
269,0.000191676,0.00570706,0.009374807,0.017944628,0.026714299,0.036398698,0.045337517,0.057965055,0.06031606,0.070649832,0.079826422
270,0.001560566,0.005617945,0.009814245,0.018069554,0.027701372,0.037005253,0.046184544,0.058249138,0.06282603,0.072950326,0.081512205
271,1.38E-05,0.004975486,0.010188561,0.018419322,0.028159402,0.037396882,0.047369391,0.061017986,0.064478539,0.075053968,0.085325979
272,0.002322501,0.006571358,0.012006634,0.021490205,0.03109253,0.041086935,0.050782193,0.063190125,0.067168631,0.078654058,0.089526258
273,0.000581633,0.004239128,0.010809964,0.01940256,0.030878441,0.040129896,0.050220955,0.063581832,0.067701541,0.078889236,0.089263059
274,0.000184011,0.004350264,0.011373526,0.020473281,0.03107251,0.041318845,0.051697377,0.065626621,0.069675453,0.08174365,0.091311105
275,0.000653957,0.006151964,0.010550522,0.02074787,0.03126305,0.041430373,0.052574791,0.066507742,0.070828661,0.083512612,0.093812883
276,0.001039218,0.005254202,0.011218422,0.02117984,0.031900246,0.042466607,0.053096429,0.067204498,0.072026014,0.08478225,0.094922088
277,0.000817549,0.005636171,0.010830265,0.021550428,0.03273844,0.042684402,0.053342801,0.068307653,0.073979229,0.085114814,0.096392952
278,-7.83E-05,0.006121588,0.012664545,0.021549042,0.032586034,0.043332413,0.054118361,0.068443276,0.073425449,0.085130312,0.096336558
279,-5.78E-05,0.006247833,0.010669811,0.020968867,0.031984638,0.042498808,0.053553998,0.067124069,0.072661638,0.084110834,0.094346851
