Wavelength (nm),H2O,nir05,nir10,nir15,nir20,nir25,nir30,nir35,nir40,nir40_prot05,nir40_prot10,nir40_prot20,nir40_prot30,nir40_prot40,nir40_prot60,nir40_prot80,nir40_prot100,nir40_prot120,nir40_prot160,nir40_prot200,nir40_prot240,nir40_prot280,nir40_prot320,nir40_prot360,nir40_prot400,nir40_prot440,nir40_prot480,H2O,H2O_prot20,H2O_prot40,H2O_prot60,H2O_prot80
200,0.001026452,4.782706738,4.636941433,4.787610531,5.055514812,4.987111568,4.813944817,5.641584396,4.87023592,4.802406788,5.253798962,5.254014015,10,10,5.997144222,5.1994524,4.976044655,4.994120598,5.168727398,5.018162727,5.48079586,5.642045975,4.784542084,4.85525322,4.833176136,5.213763237,4.783780575,0.013237193,1.159947872,2.413107872,3.373390913,3.972272396
201,0.002727506,4.385471821,5.266617775,5.166779995,4.694736004,4.931760788,5.235217571,4.432465076,4.753574848,5.158517838,5.035954475,4.812162876,5.367567062,4.900955677,4.67619133,4.94850111,4.847451687,5.239413738,5.862639904,5.223654747,4.902420521,5.146019459,5.491855145,5.22167778,10,5.521652222,4.669966221,0.014058491,1.04848671,2.209541321,3.087939501,3.849840641
202,0.001186238,4.476614475,4.699913502,4.824648857,4.664500237,4.696722984,4.537476063,4.929902554,4.624692917,5.11523962,4.821916103,4.768823147,6.004970551,4.690446377,10,4.983550549,4.842683315,4.703305244,4.772238731,5.09368515,5.208015919,4.668988228,4.991294384,5.16612339,4.839152813,5.825084686,10,0.012705991,0.949835479,2.007239103,2.830075502,3.523111343
203,0.001745603,4.486188889,4.645095348,4.786184788,4.532770157,4.864873409,4.958590031,4.529241562,4.793210983,4.685067654,5.662631512,5.74813652,5.433614731,5.231415272,10,5.802707195,5.530645847,4.912834167,5.502855778,5.450512886,5.145950794,4.785060406,5.022631168,4.852190971,4.708128929,5.134093761,4.865662575,0.009628332,0.863160253,1.825267434,2.614492416,3.352647066
204,0.002322085,4.720725536,4.920277596,4.575108051,4.537467003,4.575822353,4.82785368,4.657128811,4.528806686,4.746672153,4.903460026,5.302143574,5.522750854,4.841644764,4.891203403,5.102783203,4.787722588,5.122758389,5.066064835,4.568469524,5.65423727,4.942675591,5.455812931,5.58894825,5.620453358,4.784791946,4.987549305,0.010177245,0.793944418,1.679559112,2.387832642,3.056522608
205,0.002597983,4.484474659,4.48898983,4.690138817,4.661977768,4.604791164,4.745322704,6.110940933,5.438757896,5.136827469,4.882169724,5.182617664,4.647165298,5.094797611,5.286101341,6.161139488,5.510133266,5.483778954,5.033255577,5.287354469,5.482688904,5.440374851,6.161680698,4.893446445,5.046244621,10,10,0.009853698,0.730919361,1.549802303,2.228473425,2.824953794
206,0.003001811,4.623653412,4.937517643,5.316348076,10,5.691012859,10,5.071335793,5.907804012,10,10,10,4.798717499,10,10,10,10,10,10,10,10,10,10,10,5.511685371,10,10,0.008509959,0.678501189,1.439249396,2.051169872,2.646876812
207,0.003407423,4.589669228,4.534876823,4.59017086,5.143226624,4.961351395,5.107044697,4.816498756,4.965727329,4.791351318,5.058364868,4.838652611,4.803515911,10,4.822213173,10,5.197290897,5.29715538,10,4.77516222,5.626714706,5.431232452,4.995304108,10,5.241499901,10,5.151092529,0.007975118,0.628319919,1.335375905,1.903279662,2.465017557
208,0.001347849,4.630730152,4.994874954,5.0102458,4.701918602,4.756736755,4.521653652,4.720315456,4.752083302,5.094532967,5.265482426,4.850906372,4.675451279,4.907261848,5.65115881,5.134438515,4.929636002,4.871039867,5.034570217,5.454557896,10,10,5.495313644,10,5.289729118,4.61288166,10,0.008743487,0.57880497,1.23181355,1.756879687,2.282893419
209,0.001104742,4.679113388,4.622564793,10,5.079570293,4.679941177,5.051844597,4.765435696,4.826099873,5.286027431,10,4.998903275,4.894313335,5.345193863,4.865891933,4.885887623,5.441187859,10,5.478767872,5.565045357,10,10,5.238677502,10,5.475809574,10,5.039846897,0.007204236,0.53479898,1.138321996,1.625794888,2.107477665
