Wavelength [nm],H2O,Nir0.5,Nir1,Nir1.5,Nir2,Nir2.5,Nir3,Nir3.5,Nir4,Prot1,Prot2,Prot3,Prot4,Prot5,Prot6,Prot8,Prot10,Prot12,Prot16,Prot20,Prot24,Prot28,Prot32,Prot36,Prot42,Prot48,Prot54,Prot54
190,-0.005981445,2.521287,2.593543,2.620938,3.109206,3.434622,2.806643,3.114761,2.975044,3.143615,2.808629,3.093021,2.980171,2.744599,3.162264,2.741318,2.748372,2.775197,2.496026,2.743012,2.752958,2.462314,2.66464,2.321642,2.48531,2.464376,2.382832,2.394449
191,-0.005170822,2.712599,3.624666,3.318336,2.788868,2.871649,3.292335,2.858736,2.990652,3.306147,3.603383,3.323879,2.75334,3.288155,2.620627,3.008669,2.985327,2.827219,2.513535,2.827123,2.577429,2.653652,2.654984,2.52445,2.531322,2.520041,2.570666,2.360697
192,-0.003702164,2.66032,2.594314,2.629041,2.995435,2.695657,3.701086,2.7952,3.699079,3.401152,3.230247,3.102962,3.691408,3.406743,3.213303,3.091731,3.696995,2.998825,3.222904,3.099666,2.743687,2.621326,2.922758,2.796623,2.74565,2.920681,2.699105,2.552265
193,-0.003995895,2.826592,3.127622,2.87235,3.224532,3.224532,3.349471,3.127622,3.224532,3.349471,3.224532,3.224532,3.826592,3.127622,3.525562,3.826592,3.525562,3.525562,2.826592,2.981494,3.048441,2.981494,3.048441,2.826592,2.87235,2.923502,2.981494,2.712649
194,-0.003795147,2.96128,2.738677,2.922273,2.929181,3.013165,3.090799,3.457381,3.087173,3.456874,3.156069,3.920248,3.914366,3.936698,3.222029,3.301559,3.317911,3.907154,3.144458,3.322283,3.312304,3.069792,3.921038,2.881859,3.221045,2.917234,3.219423,2.741555
195,-0.003464222,2.855403,3.101116,3.15214,3.709453,3.220815,4,4,3.706863,3.996321,4,3.368061,3.493792,3.986606,3.713037,3.306308,3.525756,3.126423,2.994793,3.296424,3.041788,2.910184,3.182735,3.041494,2.984035,2.882972,3.029997,2.770472
196,-0.003232956,3.230828,3.063632,3.051691,3.4326,3.154635,3.730924,4,3.563633,3.767125,3.990217,3.508774,3.398581,4,3.737405,3.606397,3.577507,3.417242,3.300949,3.621907,3.369664,3.044245,3.02564,3.022775,2.986164,3.023811,2.944542,2.990168
197,-0.00311327,3.106805,3.16653,2.972005,3.26282,3.16822,3.493287,3.955297,3.31587,3.989745,4,4,4,3.949146,3.54084,3.842952,3.536094,3.797441,3.351904,4,3.298721,3.278031,3.203393,3.134354,3.111578,3.019353,2.997947,2.906025
198,-0.002711296,3.221403,3.148859,3.139088,3.257856,3.253037,3.293015,3.471645,3.204708,3.680196,3.999136,3.6483,3.958046,3.493551,3.995315,3.956136,3.851924,3.353204,3.728313,3.932829,3.644676,3.246395,3.523307,3.311918,3.431529,3.240992,3.302902,2.994692
199,-0.002295971,3.193207,3.101343,3.219398,3.275146,3.239961,3.304202,4,3.286902,4,4,3.550014,3.699604,3.96231,3.542765,3.46495,3.739541,3.504007,4,3.388434,3.276824,3.387231,3.223577,3.227623,3.191154,3.052182,3.121934,3.074622
200,-0.002265453,2.939559,3.125708,3.178396,3.176746,3.4644,3.514369,3.93158,3.499843,3.914806,3.976832,3.482393,3.685057,3.262685,3.611109,3.784305,3.939643,3.492798,3.935689,3.815253,4,3.5466,3.703102,3.299151,3.702409,3.287262,3.430385,3.085606
201,-0.001720905,3.04613,3.096353,3.264156,3.189259,3.584936,3.497283,3.768394,3.90629,3.654055,3.929575,4,3.531655,3.655258,3.582454,3.865246,3.405586,3.670854,3.423578,3.929226,3.579621,3.213688,3.131054,3.221869,3.143268,2.975613,3.205375,3.074462
202,-0.001749992,2.857663,2.937765,2.99686,3.341885,3.246323,3.332815,3.923469,3.462765,3.92465,3.900999,3.918297,3.964247,3.729283,3.634499,3.743643,3.775002,4,3.300964,3.635408,3.408684,3.489467,3.173409,3.153052,3.270921,3.046566,3.311326,3.007985
203,-0.00143528,2.793105,2.910469,3.047476,3.184558,3.121544,3.120401,3.197044,3.104559,3.252278,3.484157,3.487795,3.930027,3.926001,3.913453,4,3.911173,3.812172,3.721756,3.98323,3.987591,3.462059,3.420969,3.323599,3.457266,3.273997,3.559329,3.031086
204,-0.00141716,2.751529,2.833788,2.904853,3.101473,3.49781,3.298871,3.118164,3.178043,3.611461,3.621407,3.41841,3.666994,3.657457,3.775704,3.980912,3.973076,3.670208,3.873652,3.653954,3.489914,3.585112,3.678413,3.464713,3.481451,3.140934,3.239938,2.995043
205,-0.001171112,2.780921,2.791267,2.853682,3.028183,3.254799,3.114002,3.207322,3.165691,3.722848,3.396731,3.761974,3.560307,3.175093,3.746559,4,3.817375,3.625872,3.335884,3.925681,3.781328,3.400143,3.495374,3.272762,3.132773,3.101974,3.199256,2.9013
206,-0.001326561,2.618873,2.714067,2.737274,2.92727,2.878999,3.096644,3.001801,3.118354,3.097615,3.647216,3.685281,3.162348,3.306714,3.95294,3.813653,3.809332,3.51518,3.790837,3.916617,3.988825,3.780115,3.583641,3.071025,3.315149,3.100623,3.177565,2.953976
207,-0.001279831,2.539799,2.612897,2.729216,2.88053,2.859949,2.951533,2.921189,3.07243,3.083293,3.471175,3.289243,3.368887,3.295269,3.508675,3.65328,3.846826,3.731836,4,3.543909,3.716947,3.542205,3.524972,3.193435,3.304303,3.124247,2.98081,3.014666
208,-0.00107193,2.533059,2.619586,2.653797,2.794083,2.891627,2.880096,2.84914,2.888039,2.986026,3.288564,3.258774,3.436538,3.604226,3.399622,3.823877,3.588635,3.651376,3.872062,3.819957,3.640716,3.841887,3.596497,3.452933,3.196929,3.037597,3.568112,2.833906
209,-0.000804901,2.463019,2.522042,2.582834,2.680974,2.685939,2.859014,2.899197,2.823341,2.872602,2.97961,3.078104,3.386782,2.841116,3.347592,3.289254,3.162742,3.464153,3.540685,3.773449,3.937664,3.79337,3.974668,3.56903,3.545203,3.228864,3.738344,2.899408
210,-0.000896931,2.448743,2.459171,2.576958,2.563345,2.674087,2.763079,2.824362,2.814338,2.820519,2.883056,3.061312,3.365554,2.954347,3.082589,3.272769,3.396973,3.49176,3.217596,3.348997,3.786218,3.763028,3.870453,3.367428,3.828655,3.374855,3.353394,3.003009
211,-0.001050472,2.392042,2.426517,2.527989,2.607902,2.63041,2.723719,2.73382,2.757768,2.881967,2.797517,2.978607,2.948394,2.843708,2.922144,3.142931,3.338806,3.16433,3.320866,3.707559,3.33817,3.965489,3.870634,3.422432,3.751338,3.530561,3.746293,3.198522
212,-0.001070023,2.367629,2.438759,2.557287,2.647728,2.642957,2.768498,2.760856,2.820937,3.054323,2.942064,3.008739,2.906572,2.895339,3.066837,3.307399,3.127324,3.538042,3.560992,3.524914,3.752168,3.625397,3.663304,3.396668,3.15583,3.058798,3.319106,3.204234
213,-0.000862122,2.389313,2.457962,2.523687,2.613823,2.669806,2.699465,2.773962,2.795436,2.845354,2.918732,2.920947,3.052691,2.81891,3.039075,3.121544,3.109776,3.507432,3.350334,3.744722,4,3.37927,3.910002,3.549749,3.693861,3.437779,3.393558,3.004543
214,-0.000724316,2.393649,2.444168,2.486678,2.546135,2.686306,2.65783,2.70295,2.745949,2.73792,2.806202,2.825507,3.008792,2.815616,2.849081,2.960399,3.016139,3.107743,3.206257,3.513402,3.437821,3.575355,3.639908,3.677423,3.99697,4,3.84392,3.514121
215,-0.000890255,2.376595,2.443064,2.507743,2.522917,2.642423,2.660217,2.77402,2.825538,2.72788,2.865514,2.911074,2.894837,2.869964,2.912566,2.969309,2.908215,3.038413,3.140646,3.608964,3.083361,3.247378,3.527571,3.848818,3.803495,3.683538,3.77875,3.714149
216,-0.000975132,2.416864,2.507123,2.565681,2.602309,2.668509,2.704964,2.841265,2.903601,2.855487,2.835413,2.983249,2.937076,2.877429,3.038616,3.130459,3.138073,3.10434,3.338859,3.919075,3.790556,3.557505,3.936538,4,3.515683,3.438012,3.456346,3.365242
217,-0.000708103,2.415115,2.506224,2.545602,2.644036,2.655397,2.729891,2.839208,2.887532,2.850546,2.849606,2.949787,2.880265,2.926556,3.08258,3.072302,3.067224,3.168286,3.137669,3.359285,3.847664,3.438113,3.872678,3.982923,3.695835,3.882851,3.924045,3.498499
218,-0.00074625,2.448973,2.533203,2.574692,2.666849,2.699903,2.768746,2.815537,2.88637,2.866789,2.898469,2.927394,2.967701,2.864166,2.997816,3.18483,3.036009,3.200565,3.290761,3.422888,3.625707,3.249406,3.86474,4,4,3.952821,3.711271,3.396879
