Wavelength [nm],h2o,nir0.5,nir1,nir1.5,nir2,nir2.5,nir3,nir3.5,nir4,prot1,prot2,prot3,prot4,prot6,prot8,prot10,prot12,prot14,prot16,prot20,prot24,prot28,prot32,prot36,prot42,prot48,prot54,prot54
190,0.004668236,2.924905,3.108984,3.240842,3.705825,3.418124,2.713718,2.963475,2.862072,2.586556,2.618191,2.528458,2.42305,2.523012,2.47037,2.424753,2.361442,2.363303,2.286434,2.324603,2.256621,2.274993,2.361905,2.229826,2.249271,2.185507,2.228709,2.229386
191,0.003645897,3.026967,2.774187,3.182414,3.403297,3.266658,3.86743,3.875337,3.094215,2.830906,3.090108,2.726932,2.666451,2.729858,2.698366,2.665978,2.549807,2.615147,2.597593,2.512081,2.549635,2.44241,2.479588,2.508444,2.369649,2.426839,2.456601,2.411682
192,0.003156662,3.240288,3.087024,3.162706,3.933069,3.93108,3.047587,3.170381,3.095413,2.861897,2.94376,2.793234,2.76392,2.710009,2.685594,2.764126,2.660744,2.662107,2.44848,2.57714,2.50987,2.508095,2.492678,2.510173,2.42092,2.396408,2.50898,2.43507
193,0.002417564,3.269784,3.445876,3.348966,3.999999,3.999999,3.144846,3.269784,3.144846,2.871845,2.933992,2.871845,2.792663,2.769182,2.746906,2.769182,2.725717,2.686208,2.725717,2.705513,2.570815,2.600778,2.585538,2.529422,2.529422,2.516457,2.585538,2.516457
194,0.001730919,3.517558,3.278079,4,3.81422,3.422992,2.97064,3.115136,3.081365,2.977781,3.00844,2.759995,2.800537,2.707764,2.824422,2.760681,2.75942,2.76303,2.590981,2.590861,2.59516,2.577106,2.604686,2.61939,2.531718,2.556768,2.674638,2.554101
195,0.001514912,3.1661,3.476817,3.675112,3.562169,3.888461,3.261735,3.311206,3.432678,3.11453,3.114512,2.962253,2.908551,2.888122,2.980533,2.889869,2.788775,2.883739,2.868449,2.770406,2.866519,2.685597,2.723089,2.722108,2.66995,2.756603,2.664078,2.644067
196,0.001155376,3.268703,3.243218,3.412287,3.493619,3.764675,4,3.987599,3.922005,3.387004,3.382798,3.159495,3.029767,3.00566,3.034654,3.088218,2.985809,2.9584,2.908317,2.772349,2.91106,2.892811,2.826474,2.806069,2.804472,2.815657,2.794595,2.803065
197,0.000837326,3.558106,3.483061,3.788447,3.991983,3.997615,3.437526,3.173765,3.413822,3.154626,3.09411,3.056893,2.954868,2.975084,3.071378,2.97613,2.954319,2.926624,2.883326,2.819071,2.850736,2.7505,2.857882,2.798815,2.742712,2.762877,2.816232,2.708986
198,0.000578404,3.117562,3.140505,3.294074,3.402042,3.655644,3.469133,3.446966,3.893466,3.430739,3.432835,3.084876,3.133529,3.103149,3.169217,3.197954,3.142554,2.993165,3.015886,2.943768,2.860827,2.922532,2.88591,2.909929,2.877738,2.966219,2.943593,2.913408
199,0.000338078,3.148184,3.329099,3.302101,3.514977,3.650272,3.994185,3.964077,3.917754,3.428047,3.439091,3.195907,3.144308,3.110545,3.272345,3.077917,3.147526,3.072621,2.893841,2.927275,2.931046,2.957059,2.873388,2.907512,2.832931,2.856182,2.905307,2.850527
200,0.000301838,3.160578,3.384441,3.455363,3.885385,3.792723,3.463037,3.317903,3.236451,3.16475,3.212841,3.05759,3.18014,3.130496,3.173732,2.95254,3.001734,2.970685,2.944209,2.857892,2.874835,2.841004,2.837479,2.884364,2.759276,2.773189,2.857782,2.766105
201,0.000241756,3.07697,3.404157,3.230337,3.70634,3.569036,3.508943,3.551362,3.396987,3.305089,3.17155,3.078544,3.006217,3.021797,3.105443,3.065238,3.024048,3.05209,2.874747,2.803921,2.894453,2.882698,2.871667,2.896294,2.832431,2.817953,2.843438,2.746618
202,2.96E-05,2.959284,3.058835,3.204718,3.287218,4,3.654714,3.503868,3.178884,3.194106,3.078026,3.185106,3.000308,2.974347,3.166603,3.020966,2.966978,2.947824,2.9063,2.874006,2.85989,2.862842,2.821637,2.777214,2.765024,2.711176,2.811275,2.745287
203,-5.87E-05,2.875395,3.133185,3.22077,3.61658,4,3.633821,3.562958,3.220475,3.366867,3.095781,3.003836,2.978476,2.998428,3.156832,2.948203,2.931373,2.856513,2.797805,2.714379,2.786447,2.749375,2.794919,2.756553,2.706866,2.716809,2.703951,2.639175
204,-0.000236988,2.77936,2.931553,3.153586,3.134972,3.811202,3.894308,3.718282,3.266238,3.534499,3.225418,3.168526,3.071252,3.003803,3.2466,3.079689,2.981732,2.900819,2.904975,2.866246,2.860566,2.807514,2.802179,2.840151,2.788452,2.765985,2.796595,2.785448
