Wavelength (nm),h2o,nir0.5,nir1,nir1.5,nir2,nir2.5,nir3,nir3.5,nir4,prot1,prot2,prot3,prot4,prot6,prot8,prot10,prot12,prot14,prot16,prot20,prot24,prot28,prot32,prot36,prot42,prot48,prot54,prot60
199.9999847,-0.000136035,5.07723999,4.503559589,4.535358429,4.660544395,4.583476067,4.752619267,4.720835686,4.840166569,5.245841503,4.706553459,5.212100983,4.774388313,5.341509342,4.883414745,5.073642254,10,4.70072031,4.770884991,5.154976368,5.468698978,10,4.697444439,4.777026176,5.473266602,4.842720985,4.944508076,4.687693596
200.333313,-0.00098023,4.71431303,4.694168091,4.582067966,4.810511589,4.559676647,4.989225864,5.485723972,5.159229755,5.25675869,4.97820425,4.874434948,4.91890955,10,6.032325745,5.10961628,4.767201424,4.895913124,4.713349819,4.947228909,4.79920435,4.619858742,4.843186855,4.768983841,5.5519557,6.155025482,4.781961441,4.853060722
200.6666412,0.000193204,4.787651062,4.584825993,4.739051342,4.910691261,4.780977249,4.875173569,4.879077435,4.556555748,4.70938015,5.245857239,5.182215214,5.673041821,4.954274654,4.862913609,4.960042,4.919179916,5.373388767,4.752786636,5.194291115,4.812349796,4.921001911,5.758811474,4.913405895,5.053175926,10,5.435340405,4.847821236
200.9999847,-0.0012105,4.523712635,4.385427475,4.5822649,4.688614845,5.311651707,4.573860645,4.638994694,4.859987736,4.887841225,4.59696579,4.936825275,4.800848484,4.921797276,5.209333897,4.546470642,5.051700592,5.233721733,4.82929039,4.978739262,5.347405434,4.831017971,5.089151382,10,4.563182831,10,4.729567051,4.743494511
201.333313,-8.79E-05,4.684863091,4.43063736,4.487707138,4.692408562,4.74256897,4.743979454,10,4.839147091,5.526130676,4.648387909,4.821854591,5.695809841,4.688979149,4.812683582,4.915454865,4.895161152,5.047691822,4.862471104,4.744346142,5.485253811,4.600625992,5.010986328,4.798466682,4.839318752,4.671398163,4.781471252,4.551496506
201.6666412,-0.000256972,4.325567722,4.512622356,4.521882057,5.245056152,5.005671501,4.846186638,5.531603336,4.984275341,5.059173584,4.673701286,4.810855389,4.839215279,5.375820637,5.450813293,4.793156147,4.497949123,4.727139473,4.815137386,4.950252056,5.115465164,10,4.871369362,4.749025822,5.421502113,10,4.925303459,4.601285458
201.9999847,-0.00075697,4.653793812,4.583322525,4.850728989,5.384000301,4.695512772,5.064487457,5.921405315,4.892522812,4.687432289,5.053700924,5.122837067,5.57723856,4.930487156,4.870575905,4.869612694,10,4.575963974,4.807586193,4.754172325,5.425349712,10,4.847585678,5.095655441,4.834489822,10,5.019129276,4.692792892
202.333313,-0.000795162,4.749198437,4.499954224,4.734382153,4.882631779,4.613633633,4.998901844,5.073281288,4.597640514,5.169858456,4.667241573,5.163153172,5.196604729,5.072755337,4.775633812,5.149272442,4.695455551,4.599498749,4.892548084,5.011701584,4.8276124,10,4.994731426,5.219773769,10,5.20463562,4.82179451,4.876701832
202.6666565,0.000962081,4.61352396,4.736306667,4.655591965,4.771418095,4.657645702,4.99227953,4.997713566,4.687064171,4.771968365,5.150771141,4.802453995,5.071073055,4.975210667,5.807238579,4.708497047,4.668401241,4.744910717,4.697305202,4.785394192,4.844036579,4.779036045,4.577989101,4.71262455,4.733197689,4.832298279,4.72411871,4.561658859
202.9999847,6.39E-05,4.552531242,4.560112476,4.782072544,4.712790966,4.451818466,5.008747578,4.829312801,4.670684814,4.99518013,4.66891098,4.634466171,4.868294716,5.080243587,5.160610199,5.179557323,5.145614147,4.60648489,5.388162136,5.003686428,4.903273582,5.421280861,4.823659897,5.223703861,4.850104809,10,4.924650669,4.888621807
203.333313,-0.00049383,4.470785618,4.488667011,4.410645008,4.656217098,4.467355728,5.1242342,4.640627861,4.981635571,4.57702446,4.715547562,4.844114304,4.810553074,4.769299984,4.818634987,4.818332195,4.842329025,4.750101566,5.057162285,5.943500519,5.05600071,5.31403923,4.875108719,4.839137554,4.603287697,5.345180511,4.949550152,4.680890083
203.6666565,0.000207059,4.585311413,4.417328835,4.482724667,4.856865406,4.632856369,4.781594276,5.148563385,5.047807693,5.022093296,4.649921417,4.789615631,5.073775768,4.769671917,5.231692791,4.720831394,4.992015362,10,5.251744747,5.128737926,5.093533516,4.446840286,5.84819603,5.588098526,4.946519375,5.35273838,4.742086411,4.960972786
203.9999847,-0.002125001,4.601296425,4.570945263,4.764925957,4.858868122,4.82681179,4.693636417,4.949532986,4.669800282,4.74029541,4.876918316,10,4.827120304,4.726316452,10,4.768943787,5.276918411,5.686032295,5.273719311,4.777656555,4.859208584,5.305672169,5.226864338,4.720258713,4.804029942,5.03276968,5.179224491,10
204.333313,0.000552499,4.579403877,4.543327332,4.895878792,5.00133419,4.643846989,4.83793211,4.814065456,4.950203896,4.868224621,5.206108093,5.193701267,5.682333469,5.302476883,5.01320982,4.751290798,4.776928902,4.883298397,10,4.849543095,5.597603798,4.907481194,5.090662956,5.061666965,4.641017437,5.096923828,10,4.60581255
204.6666565,-0.000339646,4.424481392,4.571828842,4.398714542,4.728652,4.855255127,4.718798637,5.436723232,4.833295345,4.771945953,4.679077148,5.365969181,5.098324299,5.144304752,4.743767738,4.804635048,4.748517513,6.181259155,4.901898861,4.962452412,5.247894287,10,5.400914192,5.003048897,4.978745461,6.280887604,4.920851231,10
204.9999847,0.001532769,4.448905945,4.517238617,4.91996336,4.724899769,4.738573074,4.718964577,4.75620079,4.700399876,5.001067162,4.784320354,4.908726215,4.669001102,4.68416357,5.213121414,4.818147182,4.752993107,10,4.848739147,4.993032455,4.778526306,5.124974251,4.983478069,4.79447031,5.174288273,5.210882664,4.758483887,4.967555046
205.333313,0.001318352,4.531536579,4.588135242,4.707547188,4.724524975,4.737454414,4.751016617,4.490965366,4.966527462,5.302995682,4.737132549,5.020163059,4.491578579,4.563620567,5.198037624,4.746244907,4.975009918,4.75873661,4.782800674,4.951160908,5.115372658,10,4.732910156,6.076831818,4.819702625,4.989744663,5.226490974,4.851187229
205.6666565,0.000461196,4.53983736,4.747354507,4.476119041,4.765749454,4.684102535,4.63310957,4.786981583,4.824442387,5.032223225,4.902155876,4.861670017,4.915277004,4.756392479,5.096277237,4.775192261,4.962017059,4.774502754,4.881270409,4.707923412,4.78159523,4.913668156,4.654282093,10,5.168222904,4.963458538,10,4.703582287
205.9999847,-0.001042573,4.514668465,4.480638504,4.431579113,4.740682125,4.777263641,5.234671116,4.799026966,4.962403297,4.65831089,4.728985786,10,4.922036171,5.081032753,4.954494953,4.817935944,4.688270569,10,4.75520277,4.872997761,10,4.701666832,4.821274757,4.744585037,4.995765209,5.01157856,4.986374855,4.855510235
206.333313,0.000275747,4.436033249,4.681490421,4.589008331,4.759456158,4.639041901,4.580011845,5.040751934,4.723206997,5.121284485,4.687552452,5.087107182,4.958724022,4.550976276,4.856254578,4.752562523,4.784030914,4.796941757,5.076701164,5.095515251,10,10,10,4.69433403,4.871416092,5.144784927,5.028875351,5.025898457
206.6666565,0.00030937,4.548971653,4.33876276,5.095478058,4.652807713,4.789811134,4.773571014,4.765954971,5.1907897,10,5.057058334,4.810862064,5.145720959,5.018913269,5.503660679,5.008897305,5.191517353,4.742696285,4.714297771,4.719021797,4.826004982,5.583897114,5.351445198,5.286286831,5.047198772,5.959528923,4.799665451,5.033320904
206.9999847,0.000864519,4.569779396,10,4.953098297,4.835803509,4.764832497,4.838185787,4.636015892,4.804178715,4.943876266,10,5.534665585,4.880558968,10,5.870881557,10,10,4.819458485,5.06696701,5.479890823,4.968113422,4.90060091,5.153111458,10,10,5.689687729,10,10
207.333313,0.001050972,4.629247189,4.530480862,4.502208233,4.945531845,4.513884068,4.673081398,4.813437939,4.820185184,4.523480415,5.17647171,10,4.583202362,5.134771824,5.049163342,5.628780365,4.579156399,4.656470776,10,4.830138683,10,10,4.721624374,5.398751736,4.984664917,4.464747429,10,5.361734867
207.6666565,0.000775952,4.62430191,5.52825737,4.690207005,4.793413162,4.58742094,5.039439678,4.815941334,4.855574131,10,5.279624939,5.02933073,4.855392933,5.881501675,5.409157276,5.702247143,4.939981461,5.704584599,6.003220081,10,4.659549713,4.727953911,4.856893063,5.183924675,4.67634201,6.006641865,10,5.70008707
207.9999847,-0.000287032,4.420751572,4.704236031,4.407307625,4.802148819,4.520484447,6.017208576,4.804028988,10,4.471823692,5.045960426,10,5.002777576,6.014224052,4.893032074,10,5.212950706,5.080584526,4.746804237,4.886472702,5.486759186,10,5.140048981,10,4.87706852,4.912386417,5.185985565,10
208.333313,0.002031772,4.772795677,4.456788063,4.540020943,4.981105804,5.802220345,4.534401894,4.718909264,5.226355076,4.67882061,4.931611061,5.045632362,5.569555759,10,5.272699356,4.852347374,5.596029758,5.523297787,4.702607155,4.990977764,10,5.190481663,4.799948215,10,5.242746353,5.085121155,5.033075809,10
208.6666565,0.000489521,4.445046902,4.43481636,4.725459576,4.815445423,5.426355839,5.060673714,4.670398712,5.665525913,5.279164314,5.505708694,4.743044376,4.844461441,6.027911663,4.670008183,6.501435757,10,4.646785736,5.138849735,4.921508789,4.758384705,5.195089817,5.137131214,4.773002148,5.012428761,4.961270332,5.053289413,5.047469616
208.9999847,0.000378436,4.4306283,4.4460392,5.280002117,5.034771442,4.981199741,5.912512779,4.746569157,4.926499367,10,4.733489513,4.812610149,5.045320511,10,5.259820461,4.940559387,4.625277042,5.497517109,5.1447258,5.07742548,10,4.704129696,4.797466278,4.583649635,5.095597744,5.666415215,6.50797081,5.141522884
209.333313,-0.001998863,4.384454727,4.676884174,4.494784832,4.648278713,4.673298359,4.952684879,4.760682583,4.642688751,6.522449017,5.17606926,5.03750658,5.247320652,5.517072201,5.291090488,4.766599178,4.961163044,5.136497974,4.888625145,5.099345207,5.097115517,5.031924725,10,4.698840618,4.808928967,5.439466,5.234645367,5.401630878
209.6666565,0.000765242,4.422056198,4.579307556,4.703636646,5.146300793,4.539839745,10,4.586911678,5.150185108,4.759777069,4.739923477,4.917174339,4.817534924,5.29387188,4.789198399,5.199577808,4.993425846,4.771543026,4.756731033,5.124040604,10,4.948746204,4.856279373,5.164303303,5.143778801,10,5.316963673,4.905653477
209.9999847,0.000337943,4.399364471,4.400467396,4.433653831,5.629871845,4.809751034,4.677562237,4.607369423,4.981492996,4.865036964,5.629611015,5.215390682,4.861662388,5.099886417,5.073951721,5.052299023,10,4.873694897,10,10,4.854677677,4.589412689,5.317625523,5.278224468,4.753103733,5.629804134,5.351982117,10
