,H2O,MEF_0.5,MEF_1,MEF_1.5,MEF_2,MEF_2.5,MEF_3,MEF_3.5,MEF_4,MEF_4_prot_0.5,MEF_4_prot_1,MEF_4_prot_2,MEF_4_prot_3,MEF_4_prot_4,MEF_4_prot_5,MEF_4_prot_6,MEF_4_prot_8,MEF_4_prot_10,MEF_4_prot_12,MEF_4_prot_14,MEF_4_prot_16,MEF_4_prot_20,MEF_4_prot_24,MEF_4_prot_28,MEF_4_prot_32,MEF_4_prot_36,MEF_4_prot_40,MEF_4_prot_44,MEF_4_prot_48,MEF_4_prot_52,MEF_4_prot_56,MEF_4_prot_56
190,0.01218939,0.2672176,0.5469518,0.7813392,1.009392,1.221313,1.4168,1.608377,1.805005,2.102706,2.335813,2.620791,2.694583,2.913104,2.845527,2.851342,3.213573,3.213382,3.667682,3.674637,3.646365,3.676003,3.678289,3.180821,3.073211,3.197081,2.869244,3.668449,3.673201,3.667916,3.710218,3.089375
191,0.01106024,0.2325583,0.4809842,0.6888828,0.8916993,1.083384,1.268832,1.446582,1.666398,1.928191,2.157359,2.599751,2.618741,2.823828,2.745481,2.946854,2.794747,2.921244,3.044105,2.92289,3.583328,3.037719,3.387052,3.859612,3.561733,3.264387,2.942748,3.28081,3.571139,3.098494,3.383102,3.155021
192,0.009502411,0.2013264,0.4184766,0.600791,0.7795448,0.948483,1.114093,1.273058,1.481147,1.763275,1.983836,2.593318,2.913895,2.636727,2.832289,2.918793,2.766758,2.735292,2.957257,3.309275,3.071307,3.13268,3.610847,3.140397,2.95952,3.010728,3.206808,3.069279,3.432331,3.430146,3.610324,3.305249
193,0.008856773,0.173543,0.3624306,0.5199246,0.6763816,0.823853,0.9699812,1.112326,1.297389,1.57829,1.817802,2.621259,2.843107,2.905255,3.116108,3.019198,2.977806,3.241047,3.241047,3.241047,3.542078,3.417139,3.718169,3.718169,3.999999,3.542078,3.999999,3.320229,3.999999,3.718169,3.718169,3.999999
194,0.008321285,0.150795,0.31458,0.4507995,0.5876856,0.7176042,0.8439088,0.9677777,1.132998,1.40234,1.640351,2.473245,3.015311,3.137276,3.011035,4,3.193335,3.13251,3.49516,4,4,4,4,3.487789,3.977342,3.787574,3.785137,3.613798,3.480519,3.787403,3.608277,3.78436
195,0.007557392,0.1315231,0.2740827,0.3923841,0.5120678,0.6251955,0.7363577,0.8436294,0.9884644,1.239144,1.462338,2.298589,2.905781,2.994676,3.156147,3.16688,3.381642,3.149596,3.67972,3.968887,3.816084,3.976418,4,3.660847,3.37227,3.676738,3.844069,3.447257,3.679248,3.671359,3.5575,3.850527
196,0.007417679,0.1166177,0.2428608,0.3467202,0.4526696,0.5530043,0.6519222,0.7482662,0.8761849,1.108173,1.310561,2.100001,2.696805,3.000263,3.236574,3.245385,3.590428,3.15209,3.689612,3.225355,3.243714,3.509138,3.972159,3.37682,4,3.882746,3.727938,3.75392,3.729774,3.922214,4,3.904739
197,0.006888866,0.105186,0.2196221,0.3129497,0.4091029,0.4996285,0.5898323,0.6765084,0.7925363,1.004945,1.188174,1.917631,2.547132,2.969635,3.022913,3.001881,3.259934,3.102812,3.248139,3.405154,3.543443,4,3.650975,4,3.973804,3.556215,3.952247,3.925184,3.735894,3.979889,3.990957,4
198,0.006426334,0.09676027,0.202785,0.2886982,0.3778906,0.4620476,0.5458117,0.6261601,0.7344637,0.9275594,1.094566,1.763788,2.356194,2.78504,3.047519,3.137342,3.266327,3.301584,3.643097,3.343107,3.272901,3.897217,3.96571,3.946899,3.775315,3.978119,3.930373,3.791123,3.597003,3.803173,4,3.890589
199,0.006239891,0.09087563,0.191689,0.2732639,0.3580403,0.438303,0.5185795,0.5958433,0.6986556,0.8757467,1.025481,1.629072,2.182469,2.580937,2.876727,2.951248,3.214334,3.122921,3.18033,3.330131,3.251653,3.303551,3.33572,4,3.795765,3.396719,3.649524,4,4,3.960422,3.901929,3.370346
200,0.006032467,0.08670521,0.1856909,0.2651482,0.3479061,0.4261942,0.504487,0.5804882,0.6808548,0.8427658,0.9774914,1.524941,2.033843,2.444044,2.808125,3.020964,3.087551,3.243246,3.353994,3.345624,3.364569,3.243865,3.504543,3.971004,3.822245,3.590508,3.692379,3.929573,3.80069,3.598557,3.540002,3.877498
201,0.005899906,0.08487368,0.1835351,0.2625318,0.3445859,0.4229331,0.5011864,0.5775156,0.6775827,0.8265204,0.9496002,1.447766,1.918039,2.25679,2.643048,2.78454,3.085065,3.368717,3.178206,3.394708,3.424162,3.596262,3.431619,3.763822,3.958427,3.597464,3.800945,3.816908,4,4,4,3.912036
202,0.005813599,0.08410358,0.1838441,0.2640729,0.3467135,0.4262524,0.5056219,0.583024,0.6835327,0.820858,0.9314322,1.383861,1.809264,2.150461,2.482607,2.770508,3.023746,3.472095,3.357507,3.708566,3.554007,3.37686,3.528485,3.782925,3.691609,3.744067,3.71728,3.97606,3.942024,3.975663,3.80015,3.622991
203,0.005841255,0.08409595,0.1858315,0.2675052,0.3514738,0.4327922,0.513845,0.5927682,0.6949339,0.8212438,0.9205084,1.330611,1.714371,2.011092,2.335568,2.553261,2.898209,2.93919,2.968876,3.079824,2.944243,3.088072,3.238279,3.664714,3.385735,3.65776,3.34575,3.714987,4,3.831592,3.908294,3.551469
204,0.00538063,0.0845027,0.1883836,0.2717156,0.357389,0.4398866,0.5229888,0.6031604,0.7084126,0.8243198,0.9150376,1.292237,1.645356,1.929791,2.242838,2.474188,2.78239,2.979847,3.111763,3.024585,3.068696,3.247481,3.096565,3.592537,3.413737,3.915503,3.18062,3.690868,4,3.388415,3.54276,3.419874
205,0.005512714,0.0847168,0.1900754,0.2748151,0.3620396,0.4463887,0.5301485,0.611321,0.7183256,0.8267636,0.9100823,1.255646,1.583376,1.856588,2.141085,2.417483,2.770381,2.974285,3.091824,3.081846,3.028952,3.188784,3.134269,3.76092,3.522724,3.88105,3.451184,3.541126,3.846015,3.791214,3.841734,3.653531
206,0.005636215,0.08457088,0.1907086,0.276248,0.3638616,0.4487429,0.533011,0.6151805,0.7226267,0.823977,0.9015274,1.219826,1.520232,1.766178,2.032104,2.264253,2.638584,2.78865,2.888106,3.066146,2.836272,3.038934,3.089288,3.153539,3.423518,4,3.378163,3.568092,3.688765,3.291574,3.778278,3.719759
207,0.005465031,0.08391047,0.1898232,0.2754712,0.3626337,0.4474473,0.5320845,0.6139288,0.7213569,0.8156085,0.8879375,1.182294,1.459348,1.693377,1.948442,2.169491,2.605703,2.778934,2.914824,2.873724,2.848138,3.129179,3.302355,3.057383,3.393394,3.821409,3.228825,3.414346,3.798247,3.324975,3.834934,3.741058
208,0.005496979,0.08260202,0.1871514,0.2713013,0.3573833,0.4411678,0.525002,0.6060338,0.7112803,0.7987571,0.8646545,1.135861,1.392542,1.603662,1.840408,2.035107,2.426282,2.629361,2.696128,2.859814,2.795193,2.920193,3.03569,2.96198,3.033742,3.356573,3.393069,3.130898,3.545666,3.286967,3.503521,3.132314
209,0.005558491,0.07998276,0.1823707,0.2642474,0.348906,0.4299459,0.5115519,0.5909996,0.6935921,0.7746959,0.8359151,1.086909,1.326112,1.522351,1.745371,1.93915,2.345576,2.552886,2.756308,2.779103,2.842918,2.887577,2.84559,3.002169,3.124978,3.218502,3.166492,3.133192,3.771053,3.530552,3.744934,3.481416
210,0.005587101,0.07729673,0.1749816,0.2537994,0.3347893,0.4129996,0.4915333,0.5674906,0.6650162,0.7414851,0.7977576,1.026805,1.245787,1.425854,1.634907,1.8148,2.197537,2.452844,2.565255,2.613616,2.673107,2.67912,2.781282,2.765983,2.898653,2.972163,2.838382,2.96596,3.035116,2.968722,3.067298,3.154655
211,0.00569582,0.07320166,0.1663504,0.2407031,0.3172202,0.3917665,0.4661036,0.5381165,0.6308351,0.7012744,0.7545805,0.9673953,1.173736,1.342403,1.53335,1.712305,2.105005,2.377873,2.494054,2.622901,2.624563,2.733086,2.679614,2.806211,2.833438,2.94969,2.94917,2.984077,3.390681,3.121359,2.889585,3.397295
212,0.005669594,0.06839609,0.1556416,0.2247572,0.2966762,0.3659596,0.4357343,0.5029435,0.5898209,0.6557112,0.7053638,0.9060273,1.099622,1.260635,1.443536,1.618653,2.013274,2.308475,2.505599,2.632067,2.684581,2.802822,2.787306,2.841963,2.840437,2.950998,2.992694,3.005421,3.368124,3.292928,3.235497,3.499686
