,H2O_396,vel_0.5_396.5,vel_1_397,vel_1.5_397.5,vel_2_398,vel_2.5_398.5,vel_3_399,vel_3.5_399.5,vel_4_400,vel_4_400_prot_0.5,vel_4_400_prot_1,vel_4_400_prot_1.5,vel_4_400_prot_2,vel_4_400_prot_3,vel_4_400_prot_4,vel_4_400_prot_5,vel_4_400_prot_6,vel_4_400_prot_8,vel_4_400_prot_10,vel_4_400_prot_12,vel_4_400_prot_16,vel_4_400_prot_20,vel_4_400_prot_24,vel_4_400_prot_28,vel_4_400_prot_32,vel_4_400_prot_36,vel_4_400_prot_40,vel_4_400_prot_44,vel_4_400_prot_48,vel_4_400_prot_52,vel_4_400_prot_56,vel_4_400_prot_60
190,-0.000102043,2.886028,2.756222,2.811194,3.655971,3.348794,3.635804,3.664145,3.037314,3.65281,3.659516,3.68605,3.681469,2.797876,3.688865,2.987609,3.345161,3.18012,3.678113,3.031834,2.792312,2.676826,2.786916,2.867634,2.779069,2.750879,2.660871,3.189695,2.615832,2.750395,2.462043,2.7956
191,-0.000255585,2.803236,2.834742,3.05473,3.164498,2.777643,3.551336,3.158031,3.814271,3.544483,3.062193,3.154929,3.536043,3.317307,3.356574,3.208818,3.350995,3.515376,3.371216,3.352635,3.818355,3.835746,3.531713,3.065058,3.099052,3.2302,3.052281,3.515918,3.22257,3.354156,2.91471,3.121549
192,0.000106812,2.867357,3.007599,3.132095,3.132061,3.129423,3.437924,3.306773,3.913166,3.611243,3.905915,3.305947,3.615477,3.911863,3.906727,3.903866,3.909538,3.913522,3.433368,3.60851,3.439801,2.956558,3.136177,2.911967,3.913184,3.010475,3.006927,3.910314,3.132251,3.066994,3.132928,3.210767
193,-0.000290394,2.978968,2.906417,3.242209,3.066118,2.874232,3.175262,3.175262,3.71933,3.418301,3.321391,3.242209,3.175262,3.543239,3.71933,3.999999,3.543239,3.321391,3.242209,3.543239,3.543239,3.999999,3.543239,3.02036,3.242209,3.242209,3.321391,3.71933,3.418301,3.418301,3.175262,3.543239
194,0.000183582,3.023712,3.10156,3.396546,3.329665,3.11167,3.810256,3.32652,3.503713,3.806474,3.50646,3.202524,4,3.80946,3.796826,3.792951,4,3.326524,3.213518,3.625204,3.62895,3.249286,4,3.263278,4,3.619899,3.390631,3.799782,3.195083,3.3173,3.495348,3.791316
195,0.000179768,3.156909,3.174514,3.207479,3.455106,3.380178,3.862674,3.576404,4,3.860157,3.692537,3.568543,3.677746,4,3.686739,3.674541,3.971059,3.575801,4,3.681445,3.851946,3.861791,3.660908,3.56509,3.442894,3.307986,3.127176,3.668311,3.380227,3.30979,3.149149,3.372944
196,0.0001688,3.078085,3.621547,3.533472,3.313702,3.400295,3.975718,3.903414,3.977066,4,4,3.764355,4,3.998827,4,3.629632,3.377363,4,3.912989,3.75587,3.50242,3.228857,3.355999,3.767506,3.626379,3.437243,3.624827,3.350109,3.274493,3.220278,3.218638,3.520517
197,-7.53E-05,3.315224,3.324109,3.462691,3.497558,3.759379,3.371088,3.36867,3.622099,4,3.968093,3.984738,3.773473,3.999109,3.992487,3.979834,3.997456,3.948433,3.985385,4,3.692531,3.546885,3.383222,3.976814,3.55115,3.451103,3.40692,3.327333,3.557078,3.358428,3.290635,3.337829
198,1.29E-05,3.320415,3.237842,3.370073,3.700963,3.267266,3.335947,3.357444,3.631278,3.921159,3.695609,3.685497,4,3.982385,3.989923,3.960588,3.968271,4,3.663465,3.972793,3.988856,3.94844,3.83158,3.585689,3.713349,3.975481,3.573459,3.691878,3.299268,3.313553,3.66334,3.324055
199,-0.000154972,3.305964,3.276179,3.511948,3.65063,3.544579,3.599645,3.622355,3.998245,3.555037,4,4,3.95848,4,3.974493,3.708118,3.830405,4,3.870355,3.834715,3.66987,3.289937,3.639514,3.803444,3.783129,3.474027,3.210335,3.48854,3.26605,3.211274,3.361912,3.248206
200,-3.81E-05,3.324306,3.389061,3.785339,3.265338,3.414673,3.95325,3.562325,3.648005,3.975045,3.788724,3.967193,3.671995,4,3.842338,4,4,3.956015,3.939449,3.987038,3.54526,3.715899,3.410046,3.42699,3.44102,3.545894,3.23953,3.586367,3.280658,3.224665,3.679647,3.336299
201,-0.000129223,3.065119,3.156294,3.196879,3.175581,3.226426,3.308875,3.295084,3.465697,3.370981,3.649662,3.57764,3.539322,3.977707,3.970972,3.996119,3.706258,3.669704,3.614625,3.808411,3.482503,3.507308,3.751461,3.654891,3.61656,3.747685,3.642511,4,3.454645,3.327602,3.31813,3.647986
202,-0.000122547,2.885225,2.952168,3.004514,2.990622,3.128655,3.27896,3.180062,3.351675,3.495501,3.375426,3.20625,3.528857,3.732393,3.447445,3.925843,3.523701,3.852651,4,4,3.972909,3.692941,3.717743,3.753167,3.531177,3.651194,3.641129,3.90537,3.988452,3.504938,3.407026,3.56977
203,-0.000135899,2.813963,2.893527,2.935651,3.061951,3.154975,3.145571,3.104257,3.53826,3.599532,3.302497,3.373325,3.90511,3.520379,3.402201,3.777259,3.865701,3.99308,3.942374,3.864001,3.511223,3.835906,3.656238,3.732961,3.666702,3.39431,3.725118,3.516742,3.623275,3.4595,3.246069,3.383383
204,-0.000234127,2.761584,2.809566,2.902644,2.963761,3.282319,3.134914,3.141497,3.367414,3.394456,3.530084,3.224911,3.708269,3.751822,4,3.971381,3.558313,3.94029,3.696929,3.245718,3.613814,3.799912,3.869092,3.732506,3.759294,3.869501,3.837012,3.481299,3.492023,3.30647,3.312071,3.646172
205,-1.34E-05,2.741951,2.879446,2.973797,2.928024,3.076502,3.389943,3.235024,3.411661,3.429491,3.46443,3.368998,3.848105,3.902157,3.781288,3.74315,3.857348,3.960095,3.817097,3.580202,3.696447,3.312227,3.552242,3.346393,3.247416,3.333275,3.34551,3.38241,3.428825,3.108187,3.243069,3.158887
206,-7.68E-05,2.649305,2.775958,2.743247,2.82543,3.106934,3.017261,2.89182,3.30914,3.09819,3.128326,3.071484,3.074654,3.425783,3.392967,3.627489,3.475056,3.951629,3.927342,3.840491,3.738922,3.772161,3.803551,3.960863,3.463153,3.816298,3.459904,3.412571,3.920244,3.197018,3.264907,3.366721
207,-0.000123978,2.66997,2.767359,2.791826,2.908333,2.960176,2.993195,2.966182,3.204084,3.173313,3.397812,3.181042,3.277862,3.396017,3.172696,3.873303,3.900418,3.768027,3.680695,3.736144,3.621705,3.873688,3.324492,3.349092,3.25925,3.369928,3.340239,3.094687,3.267694,3.010298,3.17527,3.067708
208,-3.15E-05,2.575572,2.607599,2.633899,2.744594,2.900937,2.904892,2.901906,3.001503,3.018291,3.02993,3.000591,3.090297,3.043868,2.951727,3.134813,3.129701,3.019673,3.473888,3.694173,3.823237,3.167517,3.792598,3.575766,3.997303,3.821501,3.491211,3.498233,3.672115,3.442155,3.170643,3.239207
209,-0.000124931,2.453307,2.527385,2.578589,2.640746,2.758319,2.765289,2.742379,2.877156,2.823121,2.81111,2.842078,2.755545,2.906105,2.884968,3.030452,3.027196,3.003215,3.102501,3.204577,2.978257,3.464654,3.445055,3.985029,3.96838,4,4,3.752232,3.608966,3.819472,3.594789,3.367644
210,-0.00017643,2.445856,2.499638,2.625471,2.646327,2.709034,2.742761,2.732653,2.811419,2.808046,2.886522,2.898001,2.77625,2.937782,2.868824,2.926713,2.946458,3.014515,3.177,3.12159,3.152963,3.686774,3.724842,3.760664,3.657814,3.790077,3.895669,3.677103,3.408225,3.530134,4,3.647961
211,-8.77E-05,2.422259,2.496408,2.543172,2.555263,2.644957,2.67235,2.673825,2.770185,2.704068,2.75321,2.759658,2.695188,2.857127,2.80512,2.863563,2.843722,2.965001,2.945373,2.948309,3.165804,3.099452,3.552623,3.280305,3.447205,3.594145,3.870599,4,3.86773,4,3.66222,4
212,-9.30E-05,2.409532,2.446448,2.504101,2.55689,2.643065,2.641364,2.645108,2.771215,2.694744,2.683784,2.69045,2.704319,2.716606,2.706652,2.7883,2.730234,2.802886,3.014087,2.894794,2.912122,3.249249,3.269508,3.27549,3.286232,3.475323,3.75847,3.73148,3.59466,3.863511,3.624947,3.743985
213,-5.91E-05,2.396822,2.445269,2.511968,2.554016,2.652045,2.624042,2.682803,2.695873,2.735592,2.748451,2.71949,2.701623,2.768444,2.75139,2.851305,2.776609,2.806712,2.948647,2.910163,2.952384,3.094862,3.366751,3.360433,3.222866,3.241477,4,3.740216,3.90582,4,3.912378,3.73237
214,2.38E-05,2.362558,2.442058,2.479966,2.528329,2.574626,2.600782,2.659378,2.589201,2.633389,2.657061,2.692311,2.66761,2.698744,2.678957,2.768379,2.755297,2.714653,2.776421,2.813155,2.828918,2.921501,3.20504,3.22417,3.179858,3.226814,3.590927,3.458837,3.720779,3.714695,3.417013,3.62274
215,-0.000158787,2.394324,2.447241,2.475222,2.562005,2.624557,2.609863,2.575883,2.635978,2.701506,2.689665,2.741542,2.694962,2.726589,2.699551,2.749025,2.790492,2.79883,2.828359,2.786894,2.8725,3.079175,3.020231,3.242392,3.060253,3.131176,3.673457,3.7038,3.749218,3.615242,3.818982,3.73406
216,-0.000151157,2.424387,2.467294,2.50631,2.578667,2.607954,2.661105,2.654416,2.7061,2.720701,2.730248,2.735163,2.699006,2.763968,2.724732,2.818826,2.794743,2.792666,2.829789,2.824126,2.859836,3.070611,3.10657,3.222276,3.185529,3.240119,3.590063,3.547031,3.835078,3.622791,3.783233,3.728233
217,-0.000111103,2.451822,2.472614,2.547018,2.644196,2.643097,2.651572,2.700489,2.732786,2.725379,2.739964,2.756855,2.704881,2.818272,2.753526,2.789453,2.812683,2.759765,2.881213,2.838624,2.933986,3.025393,3.142365,2.991317,3.16516,3.22486,3.734499,3.546212,3.809984,3.516636,3.599286,3.703865
218,-0.000102997,2.455849,2.498775,2.562304,2.643412,2.653031,2.711921,2.699596,2.733584,2.781077,2.800687,2.801991,2.725985,2.799304,2.778952,2.818921,2.849279,2.849127,2.868243,2.90946,2.882136,3.002655,3.23787,3.127745,3.239311,3.26283,3.57452,3.59775,4,3.556828,3.615612,4
219,-0.000136375,2.478302,2.525533,2.588065,2.58146,2.642559,2.698708,2.686257,2.718238,2.750894,2.767257,2.734499,2.752005,2.781501,2.821945,2.827747,2.857637,2.850089,2.844183,2.874198,2.903954,3.044965,3.218828,3.094852,3.197788,3.281337,3.455903,3.336541,4,3.614821,3.881604,3.778256
220,-7.72E-05,2.51123,2.568264,2.598534,2.643348,2.674321,2.705239,2.774076,2.757566,2.766191,2.741876,2.73799,2.769361,2.794312,2.810777,2.86521,2.882284,2.895211,2.887855,2.926098,2.953265,3.071441,3.12383,3.151643,3.253826,3.173347,3.501471,3.537213,3.692415,3.553327,3.809937,3.526245
221,-2.34E-05,2.48401,2.558692,2.606415,2.673835,2.681255,2.71786,2.749167,2.827175,2.806393,2.810053,2.817793,2.806994,2.802123,2.841401,2.886011,2.908044,2.888571,2.897964,2.929272,3.005525,3.243584,3.150427,3.160567,3.255269,3.249809,3.331337,3.353691,3.734415,3.917618,3.610806,3.873439
222,-0.000164986,2.372963,2.549583,2.60102,2.646291,2.677111,2.706367,2.675464,2.767598,2.764782,2.782876,2.778075,2.780373,2.815845,2.838444,2.893051,2.85379,2.852734,2.912887,2.881167,2.956349,3.122179,3.052661,3.090193,3.094621,3.135259,3.247763,3.410965,3.483269,3.64499,3.468817,3.495647
223,-0.000136375,2.111945,2.538247,2.591319,2.620286,2.64391,2.672646,2.695108,2.761178,2.734472,2.745713,2.761202,2.780473,2.791238,2.757066,2.8267,2.827239,2.862615,2.879951,2.899441,2.92376,2.963043,3.066507,3.042931,3.032663,3.103123,3.151508,3.329794,3.223502,3.312116,3.336645,3.349078
224,-0.000172138,1.732461,2.48626,2.574104,2.614574,2.679864,2.650733,2.693777,2.724453,2.741825,2.785123,2.739955,2.75903,2.779468,2.802379,2.791719,2.813317,2.868078,2.836477,2.888117,3.000982,2.968935,3.036324,3.009201,3.001302,3.122606,3.163907,3.41343,3.414796,3.354485,3.337188,3.36826
225,-0.000117302,1.36277,2.326406,2.556363,2.613728,2.623448,2.690725,2.687139,2.746615,2.726152,2.778462,2.741245,2.755407,2.778982,2.768403,2.776587,2.832643,2.873379,2.851061,2.883506,2.917699,2.948332,3.021044,3.061101,3.031914,3.107937,3.110812,3.433611,3.500705,3.239193,3.569266,3.334634
226,-4.34E-05,1.042428,1.970294,2.46817,2.636377,2.651401,2.661627,2.730587,2.806591,2.711601,2.797715,2.757691,2.743315,2.76381,2.783795,2.804571,2.851803,2.901151,2.914723,2.92546,2.973444,3.075068,3.049216,3.04115,3.080777,3.104844,3.195146,3.397573,3.551214,3.57205,3.711662,3.530493
227,-0.000116825,0.7884641,1.546838,2.157987,2.496778,2.65083,2.629536,2.701073,2.742435,2.739447,2.7915,2.77559,2.759809,2.761891,2.783952,2.822412,2.821669,2.858078,2.841533,2.896493,2.950252,2.973365,3.133778,3.10943,3.060246,3.098037,3.292547,3.412361,3.520305,3.491415,3.631319,3.549326
228,-6.82E-05,0.5878439,1.170202,1.70588,2.170171,2.466596,2.610177,2.689971,2.729591,2.70083,2.719053,2.702651,2.718798,2.733495,2.78129,2.745569,2.790336,2.841141,2.820484,2.869716,2.880188,3.069138,3.045983,3.032297,3.008197,3.034325,3.123135,3.245242,3.304425,3.35531,3.562943,3.565886
229,-5.91E-05,0.4364896,0.8740549,1.294479,1.721152,2.071253,2.318852,2.513115,2.613869,2.598816,2.626947,2.616909,2.620071,2.655021,2.68541,2.70029,2.744941,2.736753,2.782399,2.761515,2.841773,2.924754,2.891857,2.999896,2.945574,2.919931,3.097425,3.281968,3.130264,3.170284,3.277053,3.201988
230,-0.000185013,0.3211327,0.6448612,0.9629736,1.292331,1.607284,1.872497,2.134441,2.319475,2.336688,2.36185,2.364551,2.363339,2.429328,2.451245,2.494671,2.510519,2.570832,2.622475,2.6696,2.80341,2.84329,2.869938,2.921713,2.949784,2.91134,3.072483,3.122573,3.193357,3.172016,3.20549,3.38295
231,-7.63E-06,0.2365279,0.4749556,0.7133126,0.9606957,1.207357,1.421146,1.653518,1.857018,1.88307,1.900753,1.91608,1.924736,1.971634,2.027828,2.074837,2.128487,2.211113,2.280684,2.371451,2.492309,2.645405,2.70082,2.802395,2.791074,2.822581,2.962851,3.142542,3.073232,2.970044,3.019491,3.075044
232,-0.000108242,0.1730995,0.34693,0.523665,0.7078185,0.8920622,1.055767,1.240951,1.410657,1.430834,1.445919,1.466731,1.475835,1.514195,1.575606,1.628734,1.673462,1.772316,1.859889,1.950884,2.114325,2.290635,2.452214,2.610672,2.684699,2.759567,2.935156,2.984314,3.05862,3.022632,3.188417,3.34312
233,4.24E-05,0.1275997,0.2548008,0.3859687,0.521616,0.660265,0.7817364,0.9211292,1.051015,1.068039,1.080839,1.098375,1.107329,1.144129,1.196561,1.245446,1.284085,1.371374,1.458536,1.53898,1.705776,1.888542,2.043816,2.189089,2.321758,2.431262,2.583359,2.621693,2.713887,2.838127,2.888193,2.963821
234,-0.000113487,0.09400368,0.1865673,0.2843156,0.3840251,0.486743,0.5771646,0.6806512,0.7777615,0.792593,0.8022814,0.8176589,0.8286109,0.8581223,0.9011555,0.9454761,0.9783788,1.053147,1.127963,1.202993,1.345192,1.50782,1.655032,1.792615,1.929492,2.063612,2.21177,2.316174,2.423148,2.520127,2.660759,2.79549
235,-0.000123024,0.07008076,0.1375623,0.2112098,0.2845759,0.3612266,0.4282203,0.5051007,0.5775371,0.5894103,0.5979972,0.6100507,0.6202888,0.6456318,0.6803665,0.7165837,0.7458434,0.8084974,0.8708277,0.9340167,1.057269,1.193961,1.322761,1.44086,1.557731,1.675331,1.789158,1.894857,2.004001,2.088677,2.209613,2.292797
236,-7.68E-05,0.05303001,0.1032004,0.1595516,0.2142715,0.2727299,0.322865,0.3799906,0.4343367,0.4440117,0.4517493,0.4614577,0.4700451,0.4915056,0.5198779,0.5494323,0.5738063,0.6253948,0.678462,0.7303319,0.8356194,0.9464092,1.055237,1.154913,1.252769,1.353715,1.448698,1.543578,1.628586,1.714384,1.81441,1.916512
237,-0.000106335,0.04084778,0.07846069,0.1220808,0.1635795,0.2080879,0.2468667,0.2893224,0.330534,0.3379803,0.3447123,0.3522248,0.3602376,0.3771729,0.3999481,0.424242,0.443923,0.486608,0.5298347,0.5724187,0.6592975,0.7491374,0.8401408,0.918561,1.000872,1.084057,1.165007,1.241341,1.310942,1.390104,1.4716,1.543868
238,-8.01E-05,0.03234768,0.06118298,0.09606266,0.1280479,0.1636472,0.1940155,0.2262683,0.257762,0.2638025,0.2696071,0.275454,0.2824736,0.2960739,0.3142877,0.3341413,0.350585,0.3850322,0.4207821,0.4549303,0.5270963,0.6002479,0.6744294,0.7390347,0.8062501,0.8759904,0.9386783,1.00518,1.061864,1.125891,1.196698,1.254214
239,-8.68E-05,0.02633142,0.04867363,0.07733583,0.1027236,0.1310873,0.1555514,0.1806498,0.2055368,0.210125,0.2149634,0.2192945,0.2256875,0.2364573,0.2509818,0.2671723,0.2804708,0.3083582,0.3376651,0.3649497,0.4248948,0.4830294,0.5443387,0.5970678,0.6503835,0.7075596,0.7595997,0.8123541,0.8602653,0.9109983,0.969121,1.017823
