Wavelength [nm],H2O_396,vel_0.5,vel_1,vel_1.5,vel_2,vel_2.5,vel_3,vel_3.5,vel_4,prot_1,prot_2,prot_3,prot_4,prot_6,prot_8,prot_10,prot_12,prot_16,prot_20,prot_24,prot_28,prot_32,prot_36,prot_42,prot_48,prot_54,prot_60
190,-0.000462532,2.859471,3.03327,2.877902,3.621359,2.851532,3.163454,3.323939,2.887877,3.171349,3.167633,2.931157,3.30289,3.005756,3.163424,2.859109,2.74695,2.683358,2.721733,3.131937,3.030654,2.404863,2.550332,2.52098,2.781396,2.463117,2.47015
191,-0.000161171,2.704311,2.971579,3.000983,2.866205,3.321524,3.215531,3.232088,3.312368,3.495414,3.21893,3.777896,3.53139,3.815094,3.223905,3.033703,3.100122,2.960401,3.039466,3.524914,3.036187,2.806206,3.022501,2.767381,2.971884,2.765954,2.967348
192,5.91E-05,2.930334,3.184831,3.889383,3.881748,3.580133,3.187206,2.981844,3.583271,3.593222,3.181365,3.897906,3.182848,3.04953,2.88813,3.105627,3.113763,2.987198,2.843106,2.987226,3.112668,2.712107,2.988461,2.743745,2.847321,2.685678,2.660389
193,-0.00026083,2.999912,3.397852,3.221761,3.397852,3.999912,3.522791,3.522791,3.999912,3.300942,3.999912,3.300942,3.999912,3.397852,3.300942,3.522791,3.096822,3.04567,3.522791,3.397852,2.920731,2.999912,2.920731,2.853785,3.04567,2.795793,2.920731
194,5.53E-05,2.948129,3.305914,4,4,3.235047,3.605056,3.483959,4,4,3.598772,3.782656,3.235634,3.174377,3.23571,3.307912,3.607419,3.479963,3.380968,3.172328,3.308234,2.964138,3.043813,3.238422,3.127835,2.909755,3.002094
195,0.000463009,3.541548,3.538864,3.83745,3.659648,4,3.661094,3.84039,3.985024,3.507174,3.838885,3.437889,4,3.459886,3.358951,3.652168,3.35486,3.176493,3.530979,3.237818,3.126705,3.037242,3.141548,3.053178,3.135182,3.060769,3.064082
196,-1.19E-05,3.105065,3.441199,3.986563,4,3.984343,3.612319,3.605335,3.601675,3.332813,3.392965,3.736904,3.485805,3.580984,3.21476,3.184289,3.427725,3.204994,3.156961,3.11872,3.080236,3.315019,3.171671,3.065591,3.073183,2.977592,3.08913
197,0.000179768,3.2476,3.751144,3.510028,3.901082,3.942817,3.740182,4,4,4,3.517726,3.62827,3.777752,3.352488,3.546126,4,3.586011,3.316986,3.487778,3.160787,3.468719,3.318395,3.337516,3.207693,3.401269,3.21457,3.132797
198,5.05E-05,3.246004,3.529115,3.613091,3.701869,3.954803,3.535282,3.949745,3.919664,3.896534,3.926777,3.540706,3.519142,3.650409,3.285274,3.602132,3.928838,3.536534,3.370953,3.120976,3.314856,3.075594,3.164793,3.278415,3.267,3.216468,3.186155
199,0.000240803,3.358637,3.984725,3.778746,3.952303,3.801192,3.97077,3.573208,3.398729,3.436143,3.398783,3.339558,3.437539,3.349046,3.460063,3.560318,3.374404,3.022832,3.243378,3.189379,3.436004,3.22632,3.176082,3.262306,3.313738,3.184317,3.102167
