ratio1	delta1	std1	ratio2	delta2	std2	fit_1_x	fit_1_y	fit_2_x	fit_2_y
0	0	0	0	0	0	0	0	0	0
0.15	0.002108	0.000303	0.15	0.003462	0.00072	0.204082	0.001841	0.204082	0.003869
0.3	0.003514	0.000365	0.3	0.006607	0.000484	0.408163	0.003598	0.408163	0.007635
0.45	0.003308	0.001255	0.45	0.008779	0.000601	0.612245	0.005225	0.612245	0.011214
0.6	0.005291	0.000121	0.6	0.012331	0.000132	0.816327	0.00665	0.816327	0.014439
0.75	0.006089	0.000828	0.75	0.014069	0.000242	1.020408	0.0078	1.020408	0.017037
0.9	0.007902	0.00097	0.9	0.015357	0.000604	1.22449	0.008645	1.22449	0.018793
1.05	0.008063	0.000286	1.05	0.017424	2.70E-05	1.428571	0.009224	1.428571	0.019825
1.2	0.007239	0.000591	1.2	0.01705	0.001904	1.632653	0.009614	1.632653	0.020422
1.35	0.00938	0.0021	1.35	0.021118	0.001986	1.836735	0.009881	1.836735	0.020788
1.5	0.009104	0.000437	1.5	0.020187	0.000452	2.040816	0.010071	2.040816	0.021029
1.8	0.009749	0.001061	1.8	0.020463	0.001823	2.244898	0.010211	2.244898	0.021197
2.1	0.009609	0.000719	2.1	0.021422	0.000117	2.44898	0.010318	2.44898	0.02132
2.4	0.009928	0.000468	2.4	0.021076	0	2.653061	0.010401	2.653061	0.021415
2.7	0.010809	0.001488	2.7	0.021559	0.001709	2.857143	0.010467	2.857143	0.021489
3	0.010783	0.002326	3	0.020764	0.000418	3.061224	0.010522	3.061224	0.021548
3.6	0.009487	0.000502	3.6	0.021078	0	3.265306	0.010567	3.265306	0.021597
4.2	0.010855	0.000631	4.2	0.021099	0.000863	3.469388	0.010605	3.469388	0.021638
4.8	0.010288	0.000779	4.8	0.021976	0.000397	3.673469	0.010638	3.673469	0.021673
5.4	0.010267	0.000812	6	0.021002	0.000504	3.877551	0.010666	3.877551	0.021703
6	0.011464	7.40E-05				4.081633	0.010691	4.081633	0.021729
						4.285714	0.010712	4.285714	0.021751
						4.489796	0.010732	4.489796	0.021771
						4.693878	0.010749	4.693878	0.021789
						4.897959	0.010764	4.897959	0.021805
						5.102041	0.010778	5.102041	0.021819
						5.306122	0.01079	5.306122	0.021832
						5.510204	0.010802	5.510204	0.021844
						5.714286	0.010812	5.714286	0.021855
						5.918367	0.010822	5.918367	0.021865
						6.122449	0.010831	6.122449	0.021874
						6.326531	0.010839	6.326531	0.021882
						6.530612	0.010846	6.530612	0.02189
						6.734694	0.010854	6.734694	0.021897
						6.938776	0.01086	6.938776	0.021904
						7.142857	0.010866	7.142857	0.02191
						7.346939	0.010872	7.346939	0.021916
						7.55102	0.010877	7.55102	0.021921
						7.755102	0.010882	7.755102	0.021927
						7.959184	0.010887	7.959184	0.021931
						8.163265	0.010892	8.163265	0.021936
						8.367347	0.010896	8.367347	0.02194
						8.571429	0.0109	8.571429	0.021944
						8.77551	0.010904	8.77551	0.021948
						8.979592	0.010907	8.979592	0.021952
						9.183673	0.010911	9.183673	0.021956
						9.387755	0.010914	9.387755	0.021959
						9.591837	0.010917	9.591837	0.021962
						9.795918	0.01092	9.795918	0.021965
						10	0.010923	10	0.021968
