ratio20	delta20	std20	ratio30	delta30	std30	fit_20_x	fit_30_y	fit_30_x	fit_30_y
0	0	0	0	0	0	0	0	0	0
0.15	0.003805	0.000886	0.166667	0.007056	0.000201	0.03012	0.000823	0.022297	0.001154
0.3	0.006887	0.00051	0.333333	0.014223	0.001034	0.060241	0.001618	0.044593	0.002278
0.45	0.009391	0.000459	0.5	0.019444	0.001184	0.090361	0.002388	0.06689	0.003372
0.6	0.012065	0.000788	0.666667	0.024588	8.70E-05	0.120482	0.003132	0.089186	0.004438
0.75	0.011732	0.000549	0.833333	0.026859	0.000744	0.150602	0.003852	0.111483	0.005474
0.9	0.014446	0.000543	1	0.02898	0.000794	0.180723	0.004546	0.133779	0.006482
1.05	0.01686	0.000571	1.166667	0.030536	0.000351	0.210843	0.005218	0.156076	0.007461
1.2	0.018721	0.000346	1.333333	0.032363	0.001403	0.240964	0.005866	0.178372	0.008412
1.35	0.018599	0.000951	1.5	0.034258	0.001028	0.271084	0.006492	0.200669	0.009335
1.5	0.020376	0.001305	1.666667	0.03428	0.001276	0.301205	0.007096	0.222965	0.010232
1.8	0.022327	0.000983	2	0.03802	0.000873	0.331325	0.00768	0.245262	0.011102
2.1	0.021995	0.000762	2.333333	0.040519	0.001478	0.361446	0.008243	0.267559	0.011945
2.4	0.023812	0.000903	2.666667	0.038435	0.002098	0.391566	0.008787	0.289855	0.012764
2.7	0.02513	0.000106	3	0.038766	0.000492	0.421687	0.009312	0.312152	0.013557
3	0.023732	0.001074	3.333333	0.039234	0.00161	0.451807	0.009819	0.334448	0.014326
3.6	0.024914	0.000761	3.733333	0.038351	0.003685	0.481928	0.010308	0.356745	0.015071
4.2	0.026644	0.000905	4.4	0.041858	0.001349	0.512048	0.01078	0.379041	0.015793
4.8	0.027914	0.001162	5.066667	0.044715	0.003443	0.542169	0.011237	0.401338	0.016493
5.4	0.028947	0.001936				0.572289	0.011677	0.423634	0.01717
6	0.025449	0.00306				0.60241	0.012102	0.445931	0.017827
						0.63253	0.012513	0.468227	0.018463
						0.662651	0.012911	0.490524	0.019078
						0.692771	0.013294	0.512821	0.019675
						0.722892	0.013665	0.535117	0.020252
						0.753012	0.014024	0.557414	0.020812
						0.783133	0.014371	0.57971	0.021353
						0.813253	0.014706	0.602007	0.021878
						0.843373	0.015031	0.624303	0.022387
						0.873494	0.015345	0.6466	0.022879
						0.903614	0.015649	0.668896	0.023357
						0.933735	0.015943	0.691193	0.023819
						0.963855	0.016228	0.713489	0.024268
						0.993976	0.016504	0.735786	0.024702
						1.024096	0.016772	0.758082	0.025124
						1.054217	0.017031	0.780379	0.025532
